"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val/test_score/AMC23__MAX"
"0","0.125","0.125","0.125","0.1","0.1","0.1","0.025","0.025","0.025"
"4","0.15","0.15","0.15","0.175","0.175","0.175","0.05","0.05","0.05"
"8","0.2","0.2","0.2","0.225","0.225","0.225","0.225","0.225","0.225"
"12","0.225","0.225","0.225","0.225","0.225","0.225","0.25","0.25","0.25"
"16","0.3","0.3","0.3","0.175","0.175","0.175","0.2","0.2","0.2"
"20","0.25","0.25","0.25","0.2","0.2","0.2","0.2","0.2","0.2"
"24","0.25","0.25","0.25","0.15","0.15","0.15","0.2","0.2","0.2"
"28","0.175","0.175","0.175","0.2","0.2","0.2","0.175","0.175","0.175"
"32","0.175","0.175","0.175","0.225","0.225","0.225","0.175","0.175","0.175"
"36","0.2","0.2","0.2","0.2","0.2","0.2","0.15","0.15","0.15"
"40","0.2","0.2","0.2","0.225","0.225","0.225","0.275","0.275","0.275"
"44","0.25","0.25","0.25","0.2","0.2","0.2","0.275","0.275","0.275"
"48","0.225","0.225","0.225","0.2","0.2","0.2","0.25","0.25","0.25"
"52","0.175","0.175","0.175","0.225","0.225","0.225","0.275","0.275","0.275"
"56","0.15","0.15","0.15","0.15","0.15","0.15","0.225","0.225","0.225"
"60","0.3","0.3","0.3","0.15","0.15","0.15","0.3","0.3","0.3"
"64","0.25","0.25","0.25","0.175","0.175","0.175","0.275","0.275","0.275"
"68","0.3","0.3","0.3","0.25","0.25","0.25","0.275","0.275","0.275"
"72","0.225","0.225","0.225","0.2","0.2","0.2","0.3","0.3","0.3"
"76","0.25","0.25","0.25","0.25","0.25","0.25","0.225","0.225","0.225"
"80","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3"
"84","0.275","0.275","0.275","0.2","0.2","0.2","0.2","0.2","0.2"
"88","0.175","0.175","0.175","0.275","0.275","0.275","0.275","0.275","0.275"
"92","0.225","0.225","0.225","0.275","0.275","0.275","0.35","0.35","0.35"
"96","0.2","0.2","0.2","0.225","0.225","0.225","0.325","0.325","0.325"
"100","0.15","0.15","0.15","0.2","0.2","0.2","0.325","0.325","0.325"
