"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val/test_score/MATH500__MAX"
"0","0.278","0.278","0.278","0.252","0.252","0.252","0.232","0.232","0.232"
"4","0.352","0.352","0.352","0.338","0.338","0.338","0.344","0.344","0.344"
"8","0.484","0.484","0.484","0.448","0.448","0.448","0.474","0.474","0.474"
"12","0.49","0.49","0.49","0.458","0.458","0.458","0.45","0.45","0.45"
"16","0.482","0.482","0.482","0.466","0.466","0.466","0.466","0.466","0.466"
"20","0.49","0.49","0.49","0.478","0.478","0.478","0.472","0.472","0.472"
"24","0.508","0.508","0.508","0.48","0.48","0.48","0.502","0.502","0.502"
"28","0.522","0.522","0.522","0.48","0.48","0.48","0.492","0.492","0.492"
"32","0.5","0.5","0.5","0.516","0.516","0.516","0.494","0.494","0.494"
"36","0.504","0.504","0.504","0.496","0.496","0.496","0.526","0.526","0.526"
"40","0.51","0.51","0.51","0.498","0.498","0.498","0.528","0.528","0.528"
"44","0.512","0.512","0.512","0.484","0.484","0.484","0.514","0.514","0.514"
"48","0.544","0.544","0.544","0.492","0.492","0.492","0.546","0.546","0.546"
"52","0.538","0.538","0.538","0.502","0.502","0.502","0.53","0.53","0.53"
"56","0.536","0.536","0.536","0.52","0.52","0.52","0.522","0.522","0.522"
"60","0.524","0.524","0.524","0.532","0.532","0.532","0.548","0.548","0.548"
"64","0.552","0.552","0.552","0.53","0.53","0.53","0.512","0.512","0.512"
"68","0.548","0.548","0.548","0.54","0.54","0.54","0.51","0.51","0.51"
"72","0.556","0.556","0.556","0.52","0.52","0.52","0.508","0.508","0.508"
"76","0.544","0.544","0.544","0.562","0.562","0.562","0.528","0.528","0.528"
"80","0.552","0.552","0.552","0.528","0.528","0.528","0.526","0.526","0.526"
"84","0.554","0.554","0.554","0.532","0.532","0.532","0.54","0.54","0.54"
"88","0.536","0.536","0.536","0.548","0.548","0.548","0.56","0.56","0.56"
"92","0.532","0.532","0.532","0.546","0.546","0.546","0.542","0.542","0.542"
"96","0.538","0.538","0.538","0.568","0.568","0.568","0.536","0.536","0.536"
"100","0.558","0.558","0.558","0.548","0.548","0.548","0.572","0.572","0.572"
"104","0.534","0.534","0.534","0.538","0.538","0.538","0.546","0.546","0.546"
"108","0.56","0.56","0.56","0.554","0.554","0.554","0.546","0.546","0.546"
"112","0.562","0.562","0.562","0.542","0.542","0.542","0.544","0.544","0.544"
"116","0.538","0.538","0.538","0.548","0.548","0.548","0.562","0.562","0.562"
"120","0.556","0.556","0.556","0.552","0.552","0.552","0.558","0.558","0.558"
"124","0.534","0.534","0.534","0.57","0.57","0.57","0.55","0.55","0.55"
"128","0.554","0.554","0.554","0.574","0.574","0.574","0.588","0.588","0.588"
"132","0.562","0.562","0.562","0.548","0.548","0.548","0.574","0.574","0.574"
"136","0.56","0.56","0.56","0.568","0.568","0.568","0.542","0.542","0.542"
"140","0.572","0.572","0.572","0.554","0.554","0.554","0.542","0.542","0.542"
"144","0.554","0.554","0.554","0.538","0.538","0.538","0.57","0.57","0.57"
"148","0.546","0.546","0.546","0.57","0.57","0.57","0.562","0.562","0.562"
"152","0.548","0.548","0.548","0.552","0.552","0.552","0.538","0.538","0.538"
"156","0.558","0.558","0.558","0.568","0.568","0.568","0.548","0.548","0.548"
"160","0.534","0.534","0.534","0.544","0.544","0.544","0.574","0.574","0.574"
"164","0.558","0.558","0.558","0.546","0.546","0.546","0.56","0.56","0.56"
"168","0.558","0.558","0.558","0.556","0.556","0.556","0.582","0.582","0.582"
"172","0.544","0.544","0.544","0.558","0.558","0.558","0.59","0.59","0.59"
"176","0.552","0.552","0.552","0.592","0.592","0.592","0.58","0.58","0.58"
"180","0.54","0.54","0.54","0.546","0.546","0.546","0.554","0.554","0.554"
"184","0.552","0.552","0.552","0.558","0.558","0.558","0.588","0.588","0.588"
"188","0.568","0.568","0.568","0.564","0.564","0.564","0.566","0.566","0.566"
"192","0.548","0.548","0.548","0.568","0.568","0.568","0.562","0.562","0.562"
"196","0.57","0.57","0.57","0.572","0.572","0.572","0.568","0.568","0.568"
"200","0.542","0.542","0.542","0.56","0.56","0.56","0.57","0.57","0.57"
"204","0.558","0.558","0.558","0.578","0.578","0.578","0.578","0.578","0.578"
"208","0.568","0.568","0.568","0.564","0.564","0.564","0.57","0.57","0.57"
"212","0.562","0.562","0.562","0.572","0.572","0.572","0.588","0.588","0.588"
"216","0.56","0.56","0.56","0.576","0.576","0.576","0.57","0.57","0.57"
"220","0.574","0.574","0.574","0.564","0.564","0.564","0.57","0.57","0.57"
"224","0.576","0.576","0.576","0.56","0.56","0.56","0.582","0.582","0.582"
"228","0.578","0.578","0.578","0.576","0.576","0.576","0.588","0.588","0.588"
"232","0.576","0.576","0.576","0.57","0.57","0.57","0.59","0.59","0.59"
"236","0.572","0.572","0.572","0.572","0.572","0.572","0.584","0.584","0.584"
"240","0.566","0.566","0.566","0.57","0.57","0.57","0.592","0.592","0.592"
"244","0.574","0.574","0.574","0.558","0.558","0.558","0.592","0.592","0.592"
"248","0.582","0.582","0.582","0.572","0.572","0.572","0.61","0.61","0.61"
"252","0.592","0.592","0.592","0.562","0.562","0.562","0.576","0.576","0.576"
"256","0.568","0.568","0.568","0.566","0.566","0.566","0.606","0.606","0.606"
"260","0.572","0.572","0.572","0.568","0.568","0.568","0.574","0.574","0.574"
"264","0.58","0.58","0.58","0.562","0.562","0.562","0.57","0.57","0.57"
"268","0.568","0.568","0.568","0.568","0.568","0.568","0.566","0.566","0.566"
"272","0.558","0.558","0.558","0.554","0.554","0.554","0.564","0.564","0.564"
"276","0.55","0.55","0.55","0.576","0.576","0.576","0.584","0.584","0.584"
"280","0.56","0.56","0.56","0.574","0.574","0.574","0.576","0.576","0.576"
"284","0.59","0.59","0.59","0.558","0.558","0.558","0.57","0.57","0.57"
"288","0.558","0.558","0.558","0.578","0.578","0.578","0.58","0.58","0.58"
"292","0.576","0.576","0.576","0.574","0.574","0.574","0.568","0.568","0.568"
"296","0.552","0.552","0.552","0.564","0.564","0.564","0.598","0.598","0.598"
"300","0.556","0.556","0.556","0.572","0.572","0.572","0.596","0.596","0.596"
"304","0.574","0.574","0.574","0.584","0.584","0.584","0.592","0.592","0.592"
"308","0.558","0.558","0.558","0.576","0.576","0.576","0.594","0.594","0.594"
"312","0.566","0.566","0.566","0.576","0.576","0.576","0.602","0.602","0.602"
"316","0.572","0.572","0.572","0.584","0.584","0.584","0.584","0.584","0.584"
"320","0.542","0.542","0.542","0.564","0.564","0.564","0.596","0.596","0.596"
"324","0.576","0.576","0.576","0.582","0.582","0.582","0.57","0.57","0.57"
"328","0.588","0.588","0.588","0.582","0.582","0.582","0.564","0.564","0.564"
"332","0.556","0.556","0.556","0.588","0.588","0.588","0.592","0.592","0.592"
"336","0.588","0.588","0.588","0.584","0.584","0.584","0.564","0.564","0.564"
"340","0.57","0.57","0.57","0.578","0.578","0.578","0.566","0.566","0.566"
"344","0.574","0.574","0.574","","","","0.576","0.576","0.576"
"348","0.59","0.59","0.59","","","","0.556","0.556","0.556"
"352","0.564","0.564","0.564","","","","0.568","0.568","0.568"
"356","0.572","0.572","0.572","","","","0.578","0.578","0.578"
"360","0.574","0.574","0.574","","","","0.588","0.588","0.588"
"364","0.586","0.586","0.586","","","","0.574","0.574","0.574"
"368","0.586","0.586","0.586","","","","0.572","0.572","0.572"
"372","0.596","0.596","0.596","","","","0.588","0.588","0.588"
"376","0.564","0.564","0.564","","","","0.584","0.584","0.584"
"380","0.586","0.586","0.586","","","","0.592","0.592","0.592"
"384","0.568","0.568","0.568","","","","0.582","0.582","0.582"
"388","0.564","0.564","0.564","","","","0.592","0.592","0.592"
"392","0.588","0.588","0.588","","","","0.596","0.596","0.596"
"396","0.582","0.582","0.582","","","","0.564","0.564","0.564"
"400","0.582","0.582","0.582","","","","0.578","0.578","0.578"
"404","0.56","0.56","0.56","","","","0.584","0.584","0.584"
"408","0.57","0.57","0.57","","","","0.574","0.574","0.574"
"412","0.572","0.572","0.572","","","","0.574","0.574","0.574"
"416","0.588","0.588","0.588","","","","0.586","0.586","0.586"
"420","0.604","0.604","0.604","","","","0.58","0.58","0.58"
"424","0.576","0.576","0.576","","","","0.564","0.564","0.564"
"428","0.586","0.586","0.586","","","","0.556","0.556","0.556"
"432","0.598","0.598","0.598","","","","0.546","0.546","0.546"
"436","0.584","0.584","0.584","","","","0.568","0.568","0.568"
"440","0.594","0.594","0.594","","","","0.56","0.56","0.56"
"444","0.562","0.562","0.562","","","","0.556","0.556","0.556"
"448","0.58","0.58","0.58","","","","","",""
"452","0.576","0.576","0.576","","","","","",""
"456","0.578","0.578","0.578","","","","","",""
"460","0.574","0.574","0.574","","","","","",""
"464","0.54","0.54","0.54","","","","","",""
"468","0.574","0.574","0.574","","","","","",""
"472","0.57","0.57","0.57","","","","","",""
"476","0.584","0.584","0.584","","","","","",""
"480","0.574","0.574","0.574","","","","","",""
"484","0.562","0.562","0.562","","","","","",""
"488","0.61","0.61","0.61","","","","","",""
"492","0.568","0.568","0.568","","","","","",""
"496","0.57","0.57","0.57","","","","","",""
"500","0.578","0.578","0.578","","","","","",""
"504","0.572","0.572","0.572","","","","","",""
