"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/AMC23__MAX"
"0","336.2","336.2","336.2","419.25","419.25","419.25","371","371","371"
"4","427.1666666666667","427.1666666666667","427.1666666666667","550.7142857142857","550.7142857142857","550.7142857142857","527.5","527.5","527.5"
"8","448.375","448.375","448.375","382.6666666666667","382.6666666666667","382.6666666666667","717.8888888888889","717.8888888888889","717.8888888888889"
"12","406.22222222222223","406.22222222222223","406.22222222222223","393.77777777777777","393.77777777777777","393.77777777777777","419.6","419.6","419.6"
"16","492.5833333333333","492.5833333333333","492.5833333333333","433.42857142857144","433.42857142857144","433.42857142857144","354.75","354.75","354.75"
"20","651.1","651.1","651.1","609.25","609.25","609.25","478.375","478.375","478.375"
"24","591.6","591.6","591.6","289.5","289.5","289.5","418.25","418.25","418.25"
"28","688.8571428571429","688.8571428571429","688.8571428571429","494.875","494.875","494.875","395.85714285714283","395.85714285714283","395.85714285714283"
"32","608.5714285714286","608.5714285714286","608.5714285714286","563","563","563","442.85714285714283","442.85714285714283","442.85714285714283"
"36","485.875","485.875","485.875","702","702","702","648.6666666666666","648.6666666666666","648.6666666666666"
"40","611.375","611.375","611.375","521.7777777777778","521.7777777777778","521.7777777777778","602.4545454545455","602.4545454545455","602.4545454545455"
"44","474.6","474.6","474.6","754.125","754.125","754.125","660","660","660"
"48","1037.7777777777778","1037.7777777777778","1037.7777777777778","671.5","671.5","671.5","493.3","493.3","493.3"
