"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/GSM8k__MAX"
"0","178.9100418410042","178.9100418410042","178.9100418410042","177.9740566037736","177.9740566037736","177.9740566037736","176.15452538631345","176.15452538631345","176.15452538631345"
"4","181.97704918032787","181.97704918032787","181.97704918032787","182.32161687170475","182.32161687170475","182.32161687170475","179.25042016806722","179.25042016806722","179.25042016806722"
"8","194.5888429752066","194.5888429752066","194.5888429752066","197.8781779661017","197.8781779661017","197.8781779661017","185.45793397231097","185.45793397231097","185.45793397231097"
"12","194.08989898989898","194.08989898989898","194.08989898989898","198.9075376884422","198.9075376884422","198.9075376884422","187.13604060913707","187.13604060913707","187.13604060913707"
"16","194.90578999018646","194.90578999018646","194.90578999018646","196.86377097729516","196.86377097729516","196.86377097729516","184.8422649140546","184.8422649140546","184.8422649140546"
"20","193.63069306930694","193.63069306930694","193.63069306930694","195.81684622918706","195.81684622918706","195.81684622918706","180.67069486404833","180.67069486404833","180.67069486404833"
"24","191.39014778325122","191.39014778325122","191.39014778325122","192.48475909537856","192.48475909537856","192.48475909537856","180.7218875502008","180.7218875502008","180.7218875502008"
"28","196.4633431085044","196.4633431085044","196.4633431085044","198.82692307692307","198.82692307692307","198.82692307692307","182.2534791252485","182.2534791252485","182.2534791252485"
"32","198.89278752436647","198.89278752436647","198.89278752436647","193.8792599805258","193.8792599805258","193.8792599805258","185.42015968063873","185.42015968063873","185.42015968063873"
"36","200.99129593810446","200.99129593810446","200.99129593810446","201.91926070038912","201.91926070038912","201.91926070038912","185.24850894632206","185.24850894632206","185.24850894632206"
"40","203.8915547024952","203.8915547024952","203.8915547024952","199.19294809010773","199.19294809010773","199.19294809010773","184.06120434353406","184.06120434353406","184.06120434353406"
"44","201.74541947926713","201.74541947926713","201.74541947926713","212.25503355704697","212.25503355704697","212.25503355704697","182.37343599615014","182.37343599615014","182.37343599615014"
"48","204.06711409395973","204.06711409395973","204.06711409395973","204.3759541984733","204.3759541984733","204.3759541984733","183.3471153846154","183.3471153846154","183.3471153846154"
"52","204.56463878326997","204.56463878326997","204.56463878326997","203.54580520732884","203.54580520732884","203.54580520732884","183.85214007782102","183.85214007782102","183.85214007782102"
"56","209.93358633776091","209.93358633776091","209.93358633776091","208.9769008662175","208.9769008662175","208.9769008662175","182.1689189189189","182.1689189189189","182.1689189189189"
"60","206.29044465468306","206.29044465468306","206.29044465468306","203.74474187380497","203.74474187380497","203.74474187380497","182.62571428571428","182.62571428571428","182.62571428571428"
"64","207.44706994328922","207.44706994328922","207.44706994328922","214.03370786516854","214.03370786516854","214.03370786516854","176.8379408960915","176.8379408960915","176.8379408960915"
"68","208.96492890995262","208.96492890995262","208.96492890995262","212.38798856053384","212.38798856053384","212.38798856053384","175.6948669201521","175.6948669201521","175.6948669201521"
"72","209.30243445692884","209.30243445692884","209.30243445692884","216.96324222431667","216.96324222431667","216.96324222431667","177.3119698397738","177.3119698397738","177.3119698397738"
"76","204.6166822867854","204.6166822867854","204.6166822867854","216.98109640831757","216.98109640831757","216.98109640831757","172.25473484848484","172.25473484848484","172.25473484848484"
"80","208.05223880597015","208.05223880597015","208.05223880597015","227.20398481973436","227.20398481973436","227.20398481973436","174.29577464788733","174.29577464788733","174.29577464788733"
"84","204.10056390977442","204.10056390977442","204.10056390977442","223.85849056603774","223.85849056603774","223.85849056603774","173.04815864022663","173.04815864022663","173.04815864022663"
"88","204.2600561272217","204.2600561272217","204.2600561272217","241.25579240037072","241.25579240037072","241.25579240037072","173.7986641221374","173.7986641221374","173.7986641221374"
"92","201.38090737240077","201.38090737240077","201.38090737240077","243.91973559962227","243.91973559962227","243.91973559962227","176.01883239171374","176.01883239171374","176.01883239171374"
