"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/MATH500__MAX"
"0","326.2517985611511","326.2517985611511","326.2517985611511","343.93650793650795","343.93650793650795","343.93650793650795","330.62068965517244","330.62068965517244","330.62068965517244"
"4","324.77840909090907","324.77840909090907","324.77840909090907","346.094674556213","346.094674556213","346.094674556213","340.68023255813955","340.68023255813955","340.68023255813955"
"8","325.78512396694214","325.78512396694214","325.78512396694214","323.67410714285717","323.67410714285717","323.67410714285717","322.7721518987342","322.7721518987342","322.7721518987342"
"12","343.9510204081633","343.9510204081633","343.9510204081633","334.0305676855895","334.0305676855895","334.0305676855895","328.8888888888889","328.8888888888889","328.8888888888889"
"16","326.68879668049794","326.68879668049794","326.68879668049794","304.6480686695279","304.6480686695279","304.6480686695279","304.09442060085837","304.09442060085837","304.09442060085837"
"20","328.49795918367346","328.49795918367346","328.49795918367346","319.25941422594144","319.25941422594144","319.25941422594144","300.77966101694915","300.77966101694915","300.77966101694915"
"24","340.28740157480314","340.28740157480314","340.28740157480314","333.1041666666667","333.1041666666667","333.1041666666667","327.26693227091636","327.26693227091636","327.26693227091636"
"28","360.9808429118774","360.9808429118774","360.9808429118774","336.8208333333333","336.8208333333333","336.8208333333333","354.2317073170732","354.2317073170732","354.2317073170732"
"32","369.096","369.096","369.096","378.28682170542635","378.28682170542635","378.28682170542635","359.2631578947368","359.2631578947368","359.2631578947368"
"36","356.55555555555554","356.55555555555554","356.55555555555554","391.02016129032256","391.02016129032256","391.02016129032256","368.42585551330797","368.42585551330797","368.42585551330797"
