"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.omi2.020_rlctx.4.8k_math.8k_orzbase_0415_1540 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.015.omi2.015_rlctx.4.8k_math.8k_orzbase_0415_1539 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.omi2.010_rlctx.4.8k_orzbase_math.8k_0415_1537 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","460.4225352112676","460.4225352112676","460.4225352112676","504.8032786885246","504.8032786885246","504.8032786885246","535.943661971831","535.943661971831","535.943661971831"
"4","519.8505747126437","519.8505747126437","519.8505747126437","522.2027027027027","522.2027027027027","522.2027027027027","519.0365853658536","519.0365853658536","519.0365853658536"
"8","485.39784946236557","485.39784946236557","485.39784946236557","480.1720430107527","480.1720430107527","480.1720430107527","546.0103092783505","546.0103092783505","546.0103092783505"
"12","493.8349514563107","493.8349514563107","493.8349514563107","520.3301886792453","520.3301886792453","520.3301886792453","536.2718446601941","536.2718446601941","536.2718446601941"
"16","551.448275862069","551.448275862069","551.448275862069","534.2868852459017","534.2868852459017","534.2868852459017","530.7758620689655","530.7758620689655","530.7758620689655"
"20","588.8571428571429","588.8571428571429","588.8571428571429","573.9487179487179","573.9487179487179","573.9487179487179","583.664","583.664","583.664"
"24","585.6833333333333","585.6833333333333","585.6833333333333","566.7213114754098","566.7213114754098","566.7213114754098","600.2950819672132","600.2950819672132","600.2950819672132"
"28","596.130081300813","596.130081300813","596.130081300813","572.5185185185185","572.5185185185185","572.5185185185185","573.1818181818181","573.1818181818181","573.1818181818181"
"32","682.925","682.925","682.925","649.6044776119403","649.6044776119403","649.6044776119403","644.4380165289256","644.4380165289256","644.4380165289256"
"36","636.2380952380952","636.2380952380952","636.2380952380952","711.4351145038167","711.4351145038167","711.4351145038167","635.170731707317","635.170731707317","635.170731707317"
"40","627.0232558139535","627.0232558139535","627.0232558139535","689.3333333333334","689.3333333333334","689.3333333333334","701.9032258064516","701.9032258064516","701.9032258064516"
"44","666.8551724137931","666.8551724137931","666.8551724137931","664.4758064516129","664.4758064516129","664.4758064516129","644.4692307692308","644.4692307692308","644.4692307692308"
"48","661.179104477612","661.179104477612","661.179104477612","717.8787878787879","717.8787878787879","717.8787878787879","685.3333333333334","685.3333333333334","685.3333333333334"
"52","653.0289855072464","653.0289855072464","653.0289855072464","718.608","718.608","718.608","636.8861788617886","636.8861788617886","636.8861788617886"
"56","702","702","702","812.156462585034","812.156462585034","812.156462585034","704.2173913043479","704.2173913043479","704.2173913043479"
"60","709.8992805755396","709.8992805755396","709.8992805755396","827.021897810219","827.021897810219","827.021897810219","709.0370370370371","709.0370370370371","709.0370370370371"
"64","735.2805755395683","735.2805755395683","735.2805755395683","800.6013986013986","800.6013986013986","800.6013986013986","715.9461538461538","715.9461538461538","715.9461538461538"
"68","705.4338235294117","705.4338235294117","705.4338235294117","813.4652777777778","813.4652777777778","813.4652777777778","671.8161764705883","671.8161764705883","671.8161764705883"
"72","726.5357142857143","726.5357142857143","726.5357142857143","790.8478260869565","790.8478260869565","790.8478260869565","657.6769230769231","657.6769230769231","657.6769230769231"
