"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/AMC23__MAX"
"0","0.1","0.1","0.1","0.075","0.075","0.075","0.075","0.075","0.075","0.125","0.125","0.125"
"4","0.1","0.1","0.1","0.1","0.1","0.1","0.175","0.175","0.175","0.2","0.2","0.2"
"8","0.2","0.2","0.2","0.15","0.15","0.15","0.175","0.175","0.175","0.125","0.125","0.125"
"12","0.175","0.175","0.175","0.175","0.175","0.175","0.2","0.2","0.2","0.15","0.15","0.15"
"16","0.2","0.2","0.2","0.075","0.075","0.075","0.125","0.125","0.125","0.25","0.25","0.25"
"20","0.2","0.2","0.2","0.125","0.125","0.125","0.2","0.2","0.2","0.25","0.25","0.25"
"24","0.225","0.225","0.225","0.15","0.15","0.15","0.125","0.125","0.125","0.175","0.175","0.175"
"28","0.275","0.275","0.275","0.15","0.15","0.15","0.15","0.15","0.15","0.25","0.25","0.25"
"32","0.25","0.25","0.25","0.2","0.2","0.2","0.2","0.2","0.2","0.15","0.15","0.15"
"36","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.175","0.175","0.175"
"40","0.175","0.175","0.175","0.2","0.2","0.2","0.2","0.2","0.2","0.275","0.275","0.275"
"44","0.25","0.25","0.25","0.225","0.225","0.225","0.175","0.175","0.175","0.225","0.225","0.225"
"48","0.275","0.275","0.275","0.175","0.175","0.175","0.15","0.15","0.15","0.2","0.2","0.2"
"52","0.275","0.275","0.275","0.2","0.2","0.2","0.15","0.15","0.15","0.2","0.2","0.2"
"56","0.3","0.3","0.3","0.175","0.175","0.175","0.15","0.15","0.15","0.175","0.175","0.175"
"60","0.35","0.35","0.35","0.225","0.225","0.225","0.25","0.25","0.25","0.175","0.175","0.175"
"64","0.275","0.275","0.275","0.3","0.3","0.3","0.15","0.15","0.15","0.2","0.2","0.2"
