"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/MATH500__MAX"
"0","0.228","0.228","0.228","0.27","0.27","0.27","0.26","0.26","0.26","0.27","0.27","0.27"
"4","0.378","0.378","0.378","0.432","0.432","0.432","0.356","0.356","0.356","0.398","0.398","0.398"
"8","0.486","0.486","0.486","0.482","0.482","0.482","0.422","0.422","0.422","0.454","0.454","0.454"
"12","0.502","0.502","0.502","0.472","0.472","0.472","0.426","0.426","0.426","0.48","0.48","0.48"
"16","0.512","0.512","0.512","0.498","0.498","0.498","0.436","0.436","0.436","0.48","0.48","0.48"
"20","0.536","0.536","0.536","0.51","0.51","0.51","0.438","0.438","0.438","0.478","0.478","0.478"
"24","0.54","0.54","0.54","0.494","0.494","0.494","0.452","0.452","0.452","0.49","0.49","0.49"
"28","0.528","0.528","0.528","0.502","0.502","0.502","0.452","0.452","0.452","0.474","0.474","0.474"
"32","0.512","0.512","0.512","0.52","0.52","0.52","0.47","0.47","0.47","0.486","0.486","0.486"
"36","0.524","0.524","0.524","0.53","0.53","0.53","0.468","0.468","0.468","0.494","0.494","0.494"
"40","0.528","0.528","0.528","0.528","0.528","0.528","0.468","0.468","0.468","0.5","0.5","0.5"
"44","0.524","0.524","0.524","0.518","0.518","0.518","0.466","0.466","0.466","0.48","0.48","0.48"
"48","0.522","0.522","0.522","0.486","0.486","0.486","0.472","0.472","0.472","0.508","0.508","0.508"
"52","0.522","0.522","0.522","0.494","0.494","0.494","0.462","0.462","0.462","0.494","0.494","0.494"
"56","0.53","0.53","0.53","0.524","0.524","0.524","0.472","0.472","0.472","0.492","0.492","0.492"
"60","0.548","0.548","0.548","0.51","0.51","0.51","0.472","0.472","0.472","0.518","0.518","0.518"
"64","0.568","0.568","0.568","0.512","0.512","0.512","0.504","0.504","0.504","0.508","0.508","0.508"
"68","0.554","0.554","0.554","0.506","0.506","0.506","0.486","0.486","0.486","0.534","0.534","0.534"
