"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val/test_score/OlympiadBench__MAX"
"0","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.07726597325408618","0.07726597325408618","0.07726597325408618","0.1025260029717682","0.1025260029717682","0.1025260029717682"
"4","0.1515601783060921","0.1515601783060921","0.1515601783060921","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.10104011887072809","0.10104011887072809","0.10104011887072809"
"8","0.1485884101040119","0.1485884101040119","0.1485884101040119","0.14413075780089152","0.14413075780089152","0.14413075780089152","0.12035661218424963","0.12035661218424963","0.12035661218424963","0.1263001485884101","0.1263001485884101","0.1263001485884101"
"12","0.17830609212481427","0.17830609212481427","0.17830609212481427","0.16047548291233285","0.16047548291233285","0.16047548291233285","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.13075780089153047","0.13075780089153047","0.13075780089153047"
"16","0.1664190193164933","0.1664190193164933","0.1664190193164933","0.16344725111441308","0.16344725111441308","0.16344725111441308","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.15304606240713226","0.15304606240713226","0.15304606240713226"
"20","0.16196136701337296","0.16196136701337296","0.16196136701337296","0.1589895988112927","0.1589895988112927","0.1589895988112927","0.1411589895988113","0.1411589895988113","0.1411589895988113","0.14710252600297177","0.14710252600297177","0.14710252600297177"
"24","0.16790490341753342","0.16790490341753342","0.16790490341753342","0.17979197622585438","0.17979197622585438","0.17979197622585438","0.1352154531946508","0.1352154531946508","0.1352154531946508","0.1664190193164933","0.1664190193164933","0.1664190193164933"
"28","0.18424962852897475","0.18424962852897475","0.18424962852897475","0.17682020802377416","0.17682020802377416","0.17682020802377416","0.1352154531946508","0.1352154531946508","0.1352154531946508","0.15304606240713226","0.15304606240713226","0.15304606240713226"
"32","0.19167904903417535","0.19167904903417535","0.19167904903417535","0.18424962852897475","0.18424962852897475","0.18424962852897475","0.13967310549777118","0.13967310549777118","0.13967310549777118","0.16196136701337296","0.16196136701337296","0.16196136701337296"
"36","0.1812778603268945","0.1812778603268945","0.1812778603268945","0.17830609212481427","0.17830609212481427","0.17830609212481427","0.1575037147102526","0.1575037147102526","0.1575037147102526","0.16939078751857356","0.16939078751857356","0.16939078751857356"
"40","0.1812778603268945","0.1812778603268945","0.1812778603268945","0.1723625557206538","0.1723625557206538","0.1723625557206538","0.15304606240713226","0.15304606240713226","0.15304606240713226","0.15304606240713226","0.15304606240713226","0.15304606240713226"
"44","0.19167904903417535","0.19167904903417535","0.19167904903417535","0.18424962852897475","0.18424962852897475","0.18424962852897475","0.13967310549777118","0.13967310549777118","0.13967310549777118","0.1649331352154532","0.1649331352154532","0.1649331352154532"
"48","0.18722139673105498","0.18722139673105498","0.18722139673105498","0.1827637444279346","0.1827637444279346","0.1827637444279346","0.1515601783060921","0.1515601783060921","0.1515601783060921","0.16344725111441308","0.16344725111441308","0.16344725111441308"
"52","0.1827637444279346","0.1827637444279346","0.1827637444279346","0.17979197622585438","0.17979197622585438","0.17979197622585438","0.1575037147102526","0.1575037147102526","0.1575037147102526","0.17087667161961367","0.17087667161961367","0.17087667161961367"
"56","0.1827637444279346","0.1827637444279346","0.1827637444279346","0.19465081723625557","0.19465081723625557","0.19465081723625557","0.16196136701337296","0.16196136701337296","0.16196136701337296","0.17830609212481427","0.17830609212481427","0.17830609212481427"
"60","0.1723625557206538","0.1723625557206538","0.1723625557206538","0.20059435364041606","0.20059435364041606","0.20059435364041606","0.16344725111441308","0.16344725111441308","0.16344725111441308","0.1738484398216939","0.1738484398216939","0.1738484398216939"
"64","0.17533432392273401","0.17533432392273401","0.17533432392273401","0.18722139673105498","0.18722139673105498","0.18722139673105498","0.16196136701337296","0.16196136701337296","0.16196136701337296","0.17533432392273401","0.17533432392273401","0.17533432392273401"
"68","0.1976225854383358","0.1976225854383358","0.1976225854383358","0.1812778603268945","0.1812778603268945","0.1812778603268945","0.17682020802377416","0.17682020802377416","0.17682020802377416","0.1664190193164933","0.1664190193164933","0.1664190193164933"
"72","0.1887072808320951","0.1887072808320951","0.1887072808320951","0.18722139673105498","0.18722139673105498","0.18722139673105498","0.1649331352154532","0.1649331352154532","0.1649331352154532","0.19465081723625557","0.19465081723625557","0.19465081723625557"
"76","0.1961367013372957","0.1961367013372957","0.1961367013372957","0.1961367013372957","0.1961367013372957","0.1961367013372957","0.1515601783060921","0.1515601783060921","0.1515601783060921","0.18424962852897475","0.18424962852897475","0.18424962852897475"
"80","0.1664190193164933","0.1664190193164933","0.1664190193164933","0.1961367013372957","0.1961367013372957","0.1961367013372957","0.16344725111441308","0.16344725111441308","0.16344725111441308","0.17682020802377416","0.17682020802377416","0.17682020802377416"
"84","0.1827637444279346","0.1827637444279346","0.1827637444279346","0.1887072808320951","0.1887072808320951","0.1887072808320951","0.1649331352154532","0.1649331352154532","0.1649331352154532","0.17830609212481427","0.17830609212481427","0.17830609212481427"
"88","0.1887072808320951","0.1887072808320951","0.1887072808320951","0.19910846953937592","0.19910846953937592","0.19910846953937592","0.1589895988112927","0.1589895988112927","0.1589895988112927","0.19465081723625557","0.19465081723625557","0.19465081723625557"
"92","0.2050520059435364","0.2050520059435364","0.2050520059435364","0.19316493313521546","0.19316493313521546","0.19316493313521546","0.16790490341753342","0.16790490341753342","0.16790490341753342","0.18573551263001487","0.18573551263001487","0.18573551263001487"
"96","0.1961367013372957","0.1961367013372957","0.1961367013372957","0.19910846953937592","0.19910846953937592","0.19910846953937592","0.16196136701337296","0.16196136701337296","0.16196136701337296","0.18424962852897475","0.18424962852897475","0.18424962852897475"
"100","0.1901931649331352","0.1901931649331352","0.1901931649331352","0.19910846953937592","0.19910846953937592","0.19910846953937592","0.17979197622585438","0.17979197622585438","0.17979197622585438","0.1723625557206538","0.1723625557206538","0.1723625557206538"
"104","0.19316493313521546","0.19316493313521546","0.19316493313521546","0.1961367013372957","0.1961367013372957","0.1961367013372957","0.17830609212481427","0.17830609212481427","0.17830609212481427","0.18573551263001487","0.18573551263001487","0.18573551263001487"
"108","0.17682020802377416","0.17682020802377416","0.17682020802377416","0.2050520059435364","0.2050520059435364","0.2050520059435364","0.17979197622585438","0.17979197622585438","0.17979197622585438","0.1723625557206538","0.1723625557206538","0.1723625557206538"
"112","0.18573551263001487","0.18573551263001487","0.18573551263001487","0.1961367013372957","0.1961367013372957","0.1961367013372957","0.16344725111441308","0.16344725111441308","0.16344725111441308","0.1901931649331352","0.1901931649331352","0.1901931649331352"
"116","0.1887072808320951","0.1887072808320951","0.1887072808320951","0.19167904903417535","0.19167904903417535","0.19167904903417535","0.1738484398216939","0.1738484398216939","0.1738484398216939","0.18722139673105498","0.18722139673105498","0.18722139673105498"
"120","0.19465081723625557","0.19465081723625557","0.19465081723625557","0.18424962852897475","0.18424962852897475","0.18424962852897475","0.1738484398216939","0.1738484398216939","0.1738484398216939","0.17830609212481427","0.17830609212481427","0.17830609212481427"
"124","0.20208023774145617","0.20208023774145617","0.20208023774145617","0.19465081723625557","0.19465081723625557","0.19465081723625557","0.17533432392273401","0.17533432392273401","0.17533432392273401","0.19316493313521546","0.19316493313521546","0.19316493313521546"
"128","0.18424962852897475","0.18424962852897475","0.18424962852897475","0.2139673105497771","0.2139673105497771","0.2139673105497771","0.18573551263001487","0.18573551263001487","0.18573551263001487","0.16790490341753342","0.16790490341753342","0.16790490341753342"
"132","0.19465081723625557","0.19465081723625557","0.19465081723625557","0.1887072808320951","0.1887072808320951","0.1887072808320951","0.17087667161961367","0.17087667161961367","0.17087667161961367","0.16196136701337296","0.16196136701337296","0.16196136701337296"
"136","0.19465081723625557","0.19465081723625557","0.19465081723625557","0.19910846953937592","0.19910846953937592","0.19910846953937592","0.16344725111441308","0.16344725111441308","0.16344725111441308","0.16939078751857356","0.16939078751857356","0.16939078751857356"
