"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/AMC23__MAX"
"0","102.25","102.25","102.25","84.33333333333333","84.33333333333333","84.33333333333333","99.33333333333333","99.33333333333333","99.33333333333333","294.6","294.6","294.6"
"4","236","236","236","363.75","363.75","363.75","406.2857142857143","406.2857142857143","406.2857142857143","334.75","334.75","334.75"
"8","419.75","419.75","419.75","330.3333333333333","330.3333333333333","330.3333333333333","386.85714285714283","386.85714285714283","386.85714285714283","264.8","264.8","264.8"
"12","391","391","391","288.42857142857144","288.42857142857144","288.42857142857144","341.375","341.375","341.375","292.6666666666667","292.6666666666667","292.6666666666667"
"16","363.375","363.375","363.375","337","337","337","280.4","280.4","280.4","455.8","455.8","455.8"
"20","360.75","360.75","360.75","449.8","449.8","449.8","418.875","418.875","418.875","422.4","422.4","422.4"
"24","390.22222222222223","390.22222222222223","390.22222222222223","318.5","318.5","318.5","307","307","307","243.57142857142858","243.57142857142858","243.57142857142858"
"28","564.0909090909091","564.0909090909091","564.0909090909091","292.6666666666667","292.6666666666667","292.6666666666667","565.3333333333334","565.3333333333334","565.3333333333334","370.6","370.6","370.6"
"32","409.2","409.2","409.2","421.5","421.5","421.5","335.25","335.25","335.25","231","231","231"
"36","351.125","351.125","351.125","532.375","532.375","532.375","403.875","403.875","403.875","403.2857142857143","403.2857142857143","403.2857142857143"
"40","387.14285714285717","387.14285714285717","387.14285714285717","410.125","410.125","410.125","340.25","340.25","340.25","537.0909090909091","537.0909090909091","537.0909090909091"
"44","397.6","397.6","397.6","410.77777777777777","410.77777777777777","410.77777777777777","433","433","433","332.55555555555554","332.55555555555554","332.55555555555554"
"48","440.09090909090907","440.09090909090907","440.09090909090907","375.2857142857143","375.2857142857143","375.2857142857143","457","457","457","303.5","303.5","303.5"
"52","399.45454545454544","399.45454545454544","399.45454545454544","439.375","439.375","439.375","336.1666666666667","336.1666666666667","336.1666666666667","752.875","752.875","752.875"
"56","448.25","448.25","448.25","288.14285714285717","288.14285714285717","288.14285714285717","444","444","444","304.2857142857143","304.2857142857143","304.2857142857143"
"60","621.5714285714286","621.5714285714286","621.5714285714286","399.77777777777777","399.77777777777777","399.77777777777777","613.7","613.7","613.7","450.42857142857144","450.42857142857144","450.42857142857144"
"64","383.27272727272725","383.27272727272725","383.27272727272725","459.6666666666667","459.6666666666667","459.6666666666667","294.6666666666667","294.6666666666667","294.6666666666667","582.75","582.75","582.75"
