"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/GSM8k__MAX"
"0","126.6006600660066","126.6006600660066","126.6006600660066","133.61881188118812","133.61881188118812","133.61881188118812","135.45526315789473","135.45526315789473","135.45526315789473","129.13709677419354","129.13709677419354","129.13709677419354"
"4","131.78959025470652","131.78959025470652","131.78959025470652","132.75027382256297","132.75027382256297","132.75027382256297","135.09203296703296","135.09203296703296","135.09203296703296","132.43966547192355","132.43966547192355","132.43966547192355"
"8","142.26427879961278","142.26427879961278","142.26427879961278","143.7921951219512","143.7921951219512","143.7921951219512","142.94456066945608","142.94456066945608","142.94456066945608","141.32532532532534","141.32532532532534","141.32532532532534"
"12","149.04048964218455","149.04048964218455","149.04048964218455","150.90549662487945","150.90549662487945","150.90549662487945","148.3212058212058","148.3212058212058","148.3212058212058","145.89536031589338","145.89536031589338","145.89536031589338"
"16","150.46904315196997","150.46904315196997","150.46904315196997","154.75072463768117","154.75072463768117","154.75072463768117","151.9937888198758","151.9937888198758","151.9937888198758","149.87781036168133","149.87781036168133","149.87781036168133"
"20","151.23894637817497","151.23894637817497","151.23894637817497","156.65351299326275","156.65351299326275","156.65351299326275","156.69254341164452","156.69254341164452","156.69254341164452","152.8921568627451","152.8921568627451","152.8921568627451"
"24","152.3807728557964","152.3807728557964","152.3807728557964","159.54937679769895","159.54937679769895","159.54937679769895","158.44467005076143","158.44467005076143","158.44467005076143","154.5377176015474","154.5377176015474","154.5377176015474"
"28","152.7632805219012","152.7632805219012","152.7632805219012","159.544061302682","159.544061302682","159.544061302682","160.8284263959391","160.8284263959391","160.8284263959391","155.06614785992218","155.06614785992218","155.06614785992218"
"32","155.75586854460093","155.75586854460093","155.75586854460093","161.77756471716202","161.77756471716202","161.77756471716202","164.4044044044044","164.4044044044044","164.4044044044044","157.353515625","157.353515625","157.353515625"
"36","155.87078651685394","155.87078651685394","155.87078651685394","165.4303317535545","165.4303317535545","165.4303317535545","163.69838056680163","163.69838056680163","163.69838056680163","159.15555555555557","159.15555555555557","159.15555555555557"
"40","156.55898876404495","156.55898876404495","156.55898876404495","164.31805157593124","164.31805157593124","164.31805157593124","163.84231536926148","163.84231536926148","163.84231536926148","159.56135265700482","159.56135265700482","159.56135265700482"
"44","156.56441149212233","156.56441149212233","156.56441149212233","164.28219696969697","164.28219696969697","164.28219696969697","161.64910536779325","161.64910536779325","161.64910536779325","159.91674733785092","159.91674733785092","159.91674733785092"
"48","156.15828677839852","156.15828677839852","156.15828677839852","164.04","164.04","164.04","162.720675944334","162.720675944334","162.720675944334","158.23342939481267","158.23342939481267","158.23342939481267"
"52","157.17936802973978","157.17936802973978","157.17936802973978","167.60640301318267","167.60640301318267","167.60640301318267","163.9045275590551","163.9045275590551","163.9045275590551","161.37990430622008","161.37990430622008","161.37990430622008"
"56","155.7409470752089","155.7409470752089","155.7409470752089","165.51649387370406","165.51649387370406","165.51649387370406","167.6003956478734","167.6003956478734","167.6003956478734","160.62309160305344","160.62309160305344","160.62309160305344"
"60","156.70517560073938","156.70517560073938","156.70517560073938","167.81273408239701","167.81273408239701","167.81273408239701","173.7980392156863","173.7980392156863","173.7980392156863","160.24952198852773","160.24952198852773","160.24952198852773"
"64","155.23277467411546","155.23277467411546","155.23277467411546","166.4469696969697","166.4469696969697","166.4469696969697","168.54182879377433","168.54182879377433","168.54182879377433","162.46005774783447","162.46005774783447","162.46005774783447"
"68","156.3550792171482","156.3550792171482","156.3550792171482","169.21585482330468","169.21585482330468","169.21585482330468","167.4323017408124","167.4323017408124","167.4323017408124","162.28334956183056","162.28334956183056","162.28334956183056"
"72","154.30454967502322","154.30454967502322","154.30454967502322","167.79336492890997","167.79336492890997","167.79336492890997","169.07536231884058","169.07536231884058","169.07536231884058","164.74326923076924","164.74326923076924","164.74326923076924"
"76","157.84828862164662","157.84828862164662","157.84828862164662","161.02669208770257","161.02669208770257","161.02669208770257","174.0418695228822","174.0418695228822","174.0418695228822","162.27576335877862","162.27576335877862","162.27576335877862"
"80","156.09514925373134","156.09514925373134","156.09514925373134","162.79012345679013","162.79012345679013","162.79012345679013","172.78034682080926","172.78034682080926","172.78034682080926","165.94847328244273","165.94847328244273","165.94847328244273"
"84","157.00926784059314","157.00926784059314","157.00926784059314","162.35700757575756","162.35700757575756","162.35700757575756","171.378612716763","171.378612716763","171.378612716763","169.49377990430622","169.49377990430622","169.49377990430622"
"88","156.45353159851302","156.45353159851302","156.45353159851302","161.47908745247148","161.47908745247148","161.47908745247148","170.01936108422072","170.01936108422072","170.01936108422072","168.04106972301815","168.04106972301815","168.04106972301815"
