"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/MATH500__MAX"
"0","264.2894736842105","264.2894736842105","264.2894736842105","231.65925925925927","231.65925925925927","231.65925925925927","217.64615384615385","217.64615384615385","217.64615384615385","222.7925925925926","222.7925925925926","222.7925925925926"
"4","238.41798941798942","238.41798941798942","238.41798941798942","232.65740740740742","232.65740740740742","232.65740740740742","203.57865168539325","203.57865168539325","203.57865168539325","216.0603015075377","216.0603015075377","216.0603015075377"
"8","229.25925925925927","229.25925925925927","229.25925925925927","235.22821576763485","235.22821576763485","235.22821576763485","211.12322274881515","211.12322274881515","211.12322274881515","220.55066079295153","220.55066079295153","220.55066079295153"
"12","248.98804780876495","248.98804780876495","248.98804780876495","248.8177966101695","248.8177966101695","248.8177966101695","233.33333333333334","233.33333333333334","233.33333333333334","232.52083333333334","232.52083333333334","232.52083333333334"
"16","252.31640625","252.31640625","252.31640625","274.4578313253012","274.4578313253012","274.4578313253012","263.7889908256881","263.7889908256881","263.7889908256881","252.125","252.125","252.125"
"20","269.2238805970149","269.2238805970149","269.2238805970149","274.2470588235294","274.2470588235294","274.2470588235294","262.04566210045664","262.04566210045664","262.04566210045664","252.69456066945608","252.69456066945608","252.69456066945608"
"24","280.72592592592594","280.72592592592594","280.72592592592594","273.251012145749","273.251012145749","273.251012145749","270.716814159292","270.716814159292","270.716814159292","262.50204081632654","262.50204081632654","262.50204081632654"
"28","262.81439393939394","262.81439393939394","262.81439393939394","276.33466135458167","276.33466135458167","276.33466135458167","263.49557522123894","263.49557522123894","263.49557522123894","257.71308016877634","257.71308016877634","257.71308016877634"
"32","278.015625","278.015625","278.015625","275.3615384615385","275.3615384615385","275.3615384615385","270.1404255319149","270.1404255319149","270.1404255319149","266.86008230452677","266.86008230452677","266.86008230452677"
"36","270.7748091603053","270.7748091603053","270.7748091603053","301.5698113207547","301.5698113207547","301.5698113207547","292.2735042735043","292.2735042735043","292.2735042735043","267.45344129554655","267.45344129554655","267.45344129554655"
"40","276.6515151515151","276.6515151515151","276.6515151515151","292.9469696969697","292.9469696969697","292.9469696969697","289.491452991453","289.491452991453","289.491452991453","267.568","267.568","267.568"
"44","277.76335877862596","277.76335877862596","277.76335877862596","282.5907335907336","282.5907335907336","282.5907335907336","275.20171673819743","275.20171673819743","275.20171673819743","268.21666666666664","268.21666666666664","268.21666666666664"
"48","270.9425287356322","270.9425287356322","270.9425287356322","294.6666666666667","294.6666666666667","294.6666666666667","295.5169491525424","295.5169491525424","295.5169491525424","264.25984251968504","264.25984251968504","264.25984251968504"
"52","277.808429118774","277.808429118774","277.808429118774","291.4655870445344","291.4655870445344","291.4655870445344","303.02597402597405","303.02597402597405","303.02597402597405","264.7813765182186","264.7813765182186","264.7813765182186"
"56","283.77358490566036","283.77358490566036","283.77358490566036","307.35496183206106","307.35496183206106","307.35496183206106","294.728813559322","294.728813559322","294.728813559322","274.9471544715447","274.9471544715447","274.9471544715447"
