"Step","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.040.10B_math.8k_0413_1104 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.030.10B_math.8k_0413_1048 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.010.10B_math.8k_0413_0050 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.omi.020.10B_math.8k_0413_0050 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","288.484375","288.484375","288.484375","264.0952380952381","264.0952380952381","264.0952380952381","274.8269230769231","274.8269230769231","274.8269230769231","287.9710144927536","287.9710144927536","287.9710144927536"
"4","318.4117647058824","318.4117647058824","318.4117647058824","294.7906976744186","294.7906976744186","294.7906976744186","302.4848484848485","302.4848484848485","302.4848484848485","265.02941176470586","265.02941176470586","265.02941176470586"
"8","328.54","328.54","328.54","321.2061855670103","321.2061855670103","321.2061855670103","340.2345679012346","340.2345679012346","340.2345679012346","313.01176470588234","313.01176470588234","313.01176470588234"
"12","402.75","402.75","402.75","353.1666666666667","353.1666666666667","353.1666666666667","397.6375","397.6375","397.6375","362.75","362.75","362.75"
"16","372.2142857142857","372.2142857142857","372.2142857142857","403.90909090909093","403.90909090909093","403.90909090909093","421.6860465116279","421.6860465116279","421.6860465116279","361.6990291262136","361.6990291262136","361.6990291262136"
"20","380.76146788990826","380.76146788990826","380.76146788990826","408.803738317757","408.803738317757","408.803738317757","425.66315789473686","425.66315789473686","425.66315789473686","377.3636363636364","377.3636363636364","377.3636363636364"
"24","404.8053097345133","404.8053097345133","404.8053097345133","467.2892561983471","467.2892561983471","467.2892561983471","428.5164835164835","428.5164835164835","428.5164835164835","432.35714285714283","432.35714285714283","432.35714285714283"
"28","400.3467741935484","400.3467741935484","400.3467741935484","425.56302521008405","425.56302521008405","425.56302521008405","389.27472527472526","389.27472527472526","389.27472527472526","401.22330097087377","401.22330097087377","401.22330097087377"
"32","423.7674418604651","423.7674418604651","423.7674418604651","463.03225806451616","463.03225806451616","463.03225806451616","429.24468085106383","429.24468085106383","429.24468085106383","380.3119266055046","380.3119266055046","380.3119266055046"
"36","404.74590163934425","404.74590163934425","404.74590163934425","424.59166666666664","424.59166666666664","424.59166666666664","430.74528301886795","430.74528301886795","430.74528301886795","419.1929824561403","419.1929824561403","419.1929824561403"
