"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/AMC23__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0.15","0.15","0.15","0.1","0.1","0.1","0.2","0.2","0.2","0.125","0.125","0.125"
"12","0.175","0.175","0.175","0.15","0.15","0.15","0.1","0.1","0.1","0.125","0.125","0.125"
"16","0.225","0.225","0.225","0.25","0.25","0.25","0.2","0.2","0.2","0.175","0.175","0.175"
"20","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2"
"24","0.175","0.175","0.175","0.125","0.125","0.125","0.25","0.25","0.25","0.225","0.225","0.225"
"28","0.225","0.225","0.225","0.15","0.15","0.15","0.2","0.2","0.2","0.3","0.3","0.3"
"32","0.275","0.275","0.275","0.25","0.25","0.25","0.15","0.15","0.15","0.175","0.175","0.175"
"36","0.225","0.225","0.225","0.225","0.225","0.225","0.2","0.2","0.2","0.275","0.275","0.275"
"40","0.3","0.3","0.3","0.25","0.25","0.25","0.2","0.2","0.2","0.2","0.2","0.2"
"44","0.3","0.3","0.3","0.25","0.25","0.25","0.2","0.2","0.2","0.275","0.275","0.275"
"48","0.35","0.35","0.35","0.2","0.2","0.2","0.25","0.25","0.25","0.325","0.325","0.325"
"52","0.375","0.375","0.375","0.25","0.25","0.25","0.225","0.225","0.225","0.325","0.325","0.325"
"56","0.25","0.25","0.25","0.25","0.25","0.25","0.2","0.2","0.2","0.3","0.3","0.3"
"60","0.35","0.35","0.35","0.3","0.3","0.3","0.225","0.225","0.225","0.325","0.325","0.325"
"64","0.325","0.325","0.325","0.225","0.225","0.225","0.175","0.175","0.175","0.4","0.4","0.4"
"68","0.3","0.3","0.3","0.275","0.275","0.275","0.15","0.15","0.15","0.225","0.225","0.225"
"72","0.275","0.275","0.275","0.25","0.25","0.25","0.375","0.375","0.375","0.375","0.375","0.375"
"76","0.3","0.3","0.3","0.325","0.325","0.325","0.3","0.3","0.3","0.35","0.35","0.35"
"80","0.225","0.225","0.225","0.325","0.325","0.325","0.275","0.275","0.275","0.4","0.4","0.4"
"84","0.325","0.325","0.325","0.25","0.25","0.25","0.225","0.225","0.225","0.375","0.375","0.375"
"88","0.3","0.3","0.3","0.2","0.2","0.2","0.175","0.175","0.175","0.375","0.375","0.375"
"92","0.275","0.275","0.275","0.3","0.3","0.3","0.225","0.225","0.225","0.275","0.275","0.275"
"96","0.25","0.25","0.25","0.275","0.275","0.275","0.3","0.3","0.3","0.275","0.275","0.275"
"100","0.3","0.3","0.3","0.325","0.325","0.325","0.325","0.325","0.325","0.475","0.475","0.475"
"104","0.35","0.35","0.35","0.25","0.25","0.25","0.425","0.425","0.425","0.35","0.35","0.35"
"108","0.375","0.375","0.375","0.35","0.35","0.35","0.25","0.25","0.25","","",""
"112","","","","","","","0.4","0.4","0.4","","",""
"116","","","","","","","0.225","0.225","0.225","","",""
