"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/MATH500__MAX"
"0","0.03","0.03","0.03","0.018","0.018","0.018","0.016","0.016","0.016","0.038","0.038","0.038"
"4","0.074","0.074","0.074","0.05","0.05","0.05","0.062","0.062","0.062","0.078","0.078","0.078"
"8","0.344","0.344","0.344","0.32","0.32","0.32","0.302","0.302","0.302","0.354","0.354","0.354"
"12","0.382","0.382","0.382","0.366","0.366","0.366","0.354","0.354","0.354","0.422","0.422","0.422"
"16","0.414","0.414","0.414","0.398","0.398","0.398","0.382","0.382","0.382","0.464","0.464","0.464"
"20","0.45","0.45","0.45","0.412","0.412","0.412","0.392","0.392","0.392","0.468","0.468","0.468"
"24","0.434","0.434","0.434","0.446","0.446","0.446","0.402","0.402","0.402","0.466","0.466","0.466"
"28","0.496","0.496","0.496","0.422","0.422","0.422","0.412","0.412","0.412","0.514","0.514","0.514"
"32","0.482","0.482","0.482","0.444","0.444","0.444","0.414","0.414","0.414","0.514","0.514","0.514"
"36","0.506","0.506","0.506","0.472","0.472","0.472","0.424","0.424","0.424","0.522","0.522","0.522"
"40","0.544","0.544","0.544","0.468","0.468","0.468","0.424","0.424","0.424","0.532","0.532","0.532"
"44","0.516","0.516","0.516","0.478","0.478","0.478","0.444","0.444","0.444","0.526","0.526","0.526"
"48","0.512","0.512","0.512","0.5","0.5","0.5","0.452","0.452","0.452","0.548","0.548","0.548"
"52","0.53","0.53","0.53","0.476","0.476","0.476","0.464","0.464","0.464","0.542","0.542","0.542"
"56","0.576","0.576","0.576","0.526","0.526","0.526","0.472","0.472","0.472","0.53","0.53","0.53"
"60","0.542","0.542","0.542","0.524","0.524","0.524","0.45","0.45","0.45","0.55","0.55","0.55"
"64","0.566","0.566","0.566","0.532","0.532","0.532","0.458","0.458","0.458","0.582","0.582","0.582"
"68","0.556","0.556","0.556","0.54","0.54","0.54","0.476","0.476","0.476","0.578","0.578","0.578"
"72","0.562","0.562","0.562","0.528","0.528","0.528","0.464","0.464","0.464","0.554","0.554","0.554"
"76","0.574","0.574","0.574","0.534","0.534","0.534","0.51","0.51","0.51","0.57","0.57","0.57"
"80","0.576","0.576","0.576","0.566","0.566","0.566","0.464","0.464","0.464","0.552","0.552","0.552"
"84","0.57","0.57","0.57","0.538","0.538","0.538","0.494","0.494","0.494","0.566","0.566","0.566"
"88","0.558","0.558","0.558","0.532","0.532","0.532","0.49","0.49","0.49","0.546","0.546","0.546"
"92","0.588","0.588","0.588","0.546","0.546","0.546","0.492","0.492","0.492","0.562","0.562","0.562"
"96","0.592","0.592","0.592","0.566","0.566","0.566","0.47","0.47","0.47","0.578","0.578","0.578"
"100","0.566","0.566","0.566","0.552","0.552","0.552","0.508","0.508","0.508","0.59","0.59","0.59"
"104","0.58","0.58","0.58","0.548","0.548","0.548","0.51","0.51","0.51","0.58","0.58","0.58"
"108","0.592","0.592","0.592","0.562","0.562","0.562","0.504","0.504","0.504","","",""
"112","","","","","","","0.502","0.502","0.502","","",""
"116","","","","","","","0.498","0.498","0.498","","",""
