"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val/test_score/OlympiadBench__MAX"
"0","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376"
"4","0.008915304606240713","0.008915304606240713","0.008915304606240713","0.004457652303120356","0.004457652303120356","0.004457652303120356","0.008915304606240713","0.008915304606240713","0.008915304606240713","0.02823179791976226","0.02823179791976226","0.02823179791976226"
"8","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.09212481426448738","0.09212481426448738","0.09212481426448738","0.06686478454680535","0.06686478454680535","0.06686478454680535","0.12184249628528974","0.12184249628528974","0.12184249628528974"
"12","0.12927191679049035","0.12927191679049035","0.12927191679049035","0.1188707280832095","0.1188707280832095","0.1188707280832095","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.1263001485884101","0.1263001485884101","0.1263001485884101"
"16","0.12035661218424963","0.12035661218424963","0.12035661218424963","0.10698365527488855","0.10698365527488855","0.10698365527488855","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.14561664190193166","0.14561664190193166","0.14561664190193166"
"20","0.1277860326894502","0.1277860326894502","0.1277860326894502","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.12035661218424963","0.12035661218424963","0.12035661218424963","0.14710252600297177","0.14710252600297177","0.14710252600297177"
"24","0.15453194650817237","0.15453194650817237","0.15453194650817237","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.13075780089153047","0.13075780089153047","0.13075780089153047","0.1738484398216939","0.1738484398216939","0.1738484398216939"
"28","0.1589895988112927","0.1589895988112927","0.1589895988112927","0.13967310549777118","0.13967310549777118","0.13967310549777118","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.17533432392273401","0.17533432392273401","0.17533432392273401"
"32","0.17533432392273401","0.17533432392273401","0.17533432392273401","0.1575037147102526","0.1575037147102526","0.1575037147102526","0.1426448736998514","0.1426448736998514","0.1426448736998514","0.18722139673105498","0.18722139673105498","0.18722139673105498"
"36","0.17533432392273401","0.17533432392273401","0.17533432392273401","0.13818722139673106","0.13818722139673106","0.13818722139673106","0.14413075780089152","0.14413075780089152","0.14413075780089152","0.18722139673105498","0.18722139673105498","0.18722139673105498"
"40","0.19316493313521546","0.19316493313521546","0.19316493313521546","0.16939078751857356","0.16939078751857356","0.16939078751857356","0.15601783060921248","0.15601783060921248","0.15601783060921248","0.2199108469539376","0.2199108469539376","0.2199108469539376"
"44","0.16939078751857356","0.16939078751857356","0.16939078751857356","0.1723625557206538","0.1723625557206538","0.1723625557206538","0.15601783060921248","0.15601783060921248","0.15601783060921248","0.20208023774145617","0.20208023774145617","0.20208023774145617"
"48","0.18722139673105498","0.18722139673105498","0.18722139673105498","0.1589895988112927","0.1589895988112927","0.1589895988112927","0.13818722139673106","0.13818722139673106","0.13818722139673106","0.2050520059435364","0.2050520059435364","0.2050520059435364"
"52","0.1901931649331352","0.1901931649331352","0.1901931649331352","0.18722139673105498","0.18722139673105498","0.18722139673105498","0.13967310549777118","0.13967310549777118","0.13967310549777118","0.19910846953937592","0.19910846953937592","0.19910846953937592"
"56","0.2139673105497771","0.2139673105497771","0.2139673105497771","0.18722139673105498","0.18722139673105498","0.18722139673105498","0.13670133729569092","0.13670133729569092","0.13670133729569092","0.23179791976225855","0.23179791976225855","0.23179791976225855"
"60","0.2213967310549777","0.2213967310549777","0.2213967310549777","0.17682020802377416","0.17682020802377416","0.17682020802377416","0.15453194650817237","0.15453194650817237","0.15453194650817237","0.2303120356612184","0.2303120356612184","0.2303120356612184"
"64","0.20356612184249628","0.20356612184249628","0.20356612184249628","0.19316493313521546","0.19316493313521546","0.19316493313521546","0.1575037147102526","0.1575037147102526","0.1575037147102526","0.22734026745913818","0.22734026745913818","0.22734026745913818"
"68","0.22288261515601784","0.22288261515601784","0.22288261515601784","0.1887072808320951","0.1887072808320951","0.1887072808320951","0.1485884101040119","0.1485884101040119","0.1485884101040119","0.2199108469539376","0.2199108469539376","0.2199108469539376"
"72","0.21693907875185736","0.21693907875185736","0.21693907875185736","0.18722139673105498","0.18722139673105498","0.18722139673105498","0.17979197622585438","0.17979197622585438","0.17979197622585438","0.21545319465081725","0.21545319465081725","0.21545319465081725"
"76","0.21099554234769688","0.21099554234769688","0.21099554234769688","0.20059435364041606","0.20059435364041606","0.20059435364041606","0.16344725111441308","0.16344725111441308","0.16344725111441308","0.2050520059435364","0.2050520059435364","0.2050520059435364"
"80","0.20802377414561665","0.20802377414561665","0.20802377414561665","0.1827637444279346","0.1827637444279346","0.1827637444279346","0.1812778603268945","0.1812778603268945","0.1812778603268945","0.22288261515601784","0.22288261515601784","0.22288261515601784"
"84","0.21842496285289748","0.21842496285289748","0.21842496285289748","0.1901931649331352","0.1901931649331352","0.1901931649331352","0.1649331352154532","0.1649331352154532","0.1649331352154532","0.2139673105497771","0.2139673105497771","0.2139673105497771"
"88","0.20950965824665677","0.20950965824665677","0.20950965824665677","0.19316493313521546","0.19316493313521546","0.19316493313521546","0.18424962852897475","0.18424962852897475","0.18424962852897475","0.21545319465081725","0.21545319465081725","0.21545319465081725"
"92","0.2213967310549777","0.2213967310549777","0.2213967310549777","0.1976225854383358","0.1976225854383358","0.1976225854383358","0.16047548291233285","0.16047548291233285","0.16047548291233285","0.22734026745913818","0.22734026745913818","0.22734026745913818"
"96","0.2303120356612184","0.2303120356612184","0.2303120356612184","0.2065378900445765","0.2065378900445765","0.2065378900445765","0.17533432392273401","0.17533432392273401","0.17533432392273401","0.2199108469539376","0.2199108469539376","0.2199108469539376"
"100","0.22734026745913818","0.22734026745913818","0.22734026745913818","0.1976225854383358","0.1976225854383358","0.1976225854383358","0.16790490341753342","0.16790490341753342","0.16790490341753342","0.21545319465081725","0.21545319465081725","0.21545319465081725"
"104","0.24665676077265974","0.24665676077265974","0.24665676077265974","0.2288261515601783","0.2288261515601783","0.2288261515601783","0.1961367013372957","0.1961367013372957","0.1961367013372957","0.20059435364041606","0.20059435364041606","0.20059435364041606"
"108","0.237741456166419","0.237741456166419","0.237741456166419","0.22734026745913818","0.22734026745913818","0.22734026745913818","0.17533432392273401","0.17533432392273401","0.17533432392273401","","",""
"112","","","","","","","0.1901931649331352","0.1901931649331352","0.1901931649331352","","",""
"116","","","","","","","0.1976225854383358","0.1976225854383358","0.1976225854383358","","",""
