"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/AMC23__MAX"
"8","535.8333333333334","535.8333333333334","535.8333333333334","805","805","805","460.625","460.625","460.625","1133.2","1133.2","1133.2"
"12","711.2857142857143","711.2857142857143","711.2857142857143","543","543","543","378.25","378.25","378.25","1034.4","1034.4","1034.4"
"16","963.7777777777778","963.7777777777778","963.7777777777778","597.1","597.1","597.1","415.875","415.875","415.875","1135.5714285714287","1135.5714285714287","1135.5714285714287"
"20","1352.625","1352.625","1352.625","1095.125","1095.125","1095.125","524.625","524.625","524.625","1382.25","1382.25","1382.25"
"24","905.4285714285714","905.4285714285714","905.4285714285714","1197.6","1197.6","1197.6","466","466","466","2082.1111111111113","2082.1111111111113","2082.1111111111113"
"28","1675","1675","1675","859.5","859.5","859.5","871.5","871.5","871.5","2126","2126","2126"
"32","1162.090909090909","1162.090909090909","1162.090909090909","1697.2","1697.2","1697.2","406.3333333333333","406.3333333333333","406.3333333333333","2179","2179","2179"
"36","1997.6666666666667","1997.6666666666667","1997.6666666666667","1401","1401","1401","519.5","519.5","519.5","1568.7272727272727","1568.7272727272727","1568.7272727272727"
"40","1603","1603","1603","1977.9","1977.9","1977.9","435.375","435.375","435.375","1315.125","1315.125","1315.125"
"44","1805.75","1805.75","1805.75","2181.5","2181.5","2181.5","745.25","745.25","745.25","2392.2727272727275","2392.2727272727275","2392.2727272727275"
"48","1919","1919","1919","2076.375","2076.375","2076.375","876.7","876.7","876.7","1925.7692307692307","1925.7692307692307","1925.7692307692307"
"52","1766.5333333333333","1766.5333333333333","1766.5333333333333","2383.6","2383.6","2383.6","1152.4444444444443","1152.4444444444443","1152.4444444444443","2157.6923076923076","2157.6923076923076","2157.6923076923076"
"56","1345.1","1345.1","1345.1","2701.7","2701.7","2701.7","1393.25","1393.25","1393.25","1814.0833333333333","1814.0833333333333","1814.0833333333333"
"60","1789.4285714285713","1789.4285714285713","1789.4285714285713","2794.1666666666665","2794.1666666666665","2794.1666666666665","2109.222222222222","2109.222222222222","2109.222222222222","2360.230769230769","2360.230769230769","2360.230769230769"
"64","1589.6923076923076","1589.6923076923076","1589.6923076923076","1855.6666666666667","1855.6666666666667","1855.6666666666667","2199.5714285714284","2199.5714285714284","2199.5714285714284","2653.8125","2653.8125","2653.8125"
"68","1736","1736","1736","1921.1818181818182","1921.1818181818182","1921.1818181818182","2224.3333333333335","2224.3333333333335","2224.3333333333335","1844.4444444444443","1844.4444444444443","1844.4444444444443"
"72","1858.5454545454545","1858.5454545454545","1858.5454545454545","2118.9","2118.9","2118.9","2189.4666666666667","2189.4666666666667","2189.4666666666667","2381.0666666666666","2381.0666666666666","2381.0666666666666"
"76","1724.0833333333333","1724.0833333333333","1724.0833333333333","2154","2154","2154","1489.3333333333333","1489.3333333333333","1489.3333333333333","2457.3571428571427","2457.3571428571427","2457.3571428571427"
"80","1357.2222222222222","1357.2222222222222","1357.2222222222222","2073.4615384615386","2073.4615384615386","2073.4615384615386","2355.090909090909","2355.090909090909","2355.090909090909","2686.875","2686.875","2686.875"
"84","1836.076923076923","1836.076923076923","1836.076923076923","2407.8","2407.8","2407.8","2392.8888888888887","2392.8888888888887","2392.8888888888887","2152.5333333333333","2152.5333333333333","2152.5333333333333"
"88","1875.0833333333333","1875.0833333333333","1875.0833333333333","1666.75","1666.75","1666.75","1504.857142857143","1504.857142857143","1504.857142857143","2450.4","2450.4","2450.4"
"92","2202.2727272727275","2202.2727272727275","2202.2727272727275","2316.4166666666665","2316.4166666666665","2316.4166666666665","2484.222222222222","2484.222222222222","2484.222222222222","2599.090909090909","2599.090909090909","2599.090909090909"
"96","2065.1","2065.1","2065.1","2135.3636363636365","2135.3636363636365","2135.3636363636365","2635.5833333333335","2635.5833333333335","2635.5833333333335","2252.5454545454545","2252.5454545454545","2252.5454545454545"
"100","1925.4166666666667","1925.4166666666667","1925.4166666666667","3247.076923076923","3247.076923076923","3247.076923076923","2654.230769230769","2654.230769230769","2654.230769230769","4379.578947368421","4379.578947368421","4379.578947368421"
"104","2658.5","2658.5","2658.5","2848.2","2848.2","2848.2","2350.5882352941176","2350.5882352941176","2350.5882352941176","3419.8571428571427","3419.8571428571427","3419.8571428571427"
"108","3737","3737","3737","2768.5714285714284","2768.5714285714284","2768.5714285714284","2723.7","2723.7","2723.7","","",""
"112","","","","","","","2614.625","2614.625","2614.625","","",""
"116","","","","","","","3161.1111111111113","3161.1111111111113","3161.1111111111113","","",""
