"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/GSM8k__MAX"
"0","107.13333333333334","107.13333333333334","107.13333333333334","152.5","152.5","152.5","146.63636363636363","146.63636363636363","146.63636363636363","159.53846153846155","159.53846153846155","159.53846153846155"
"4","149.62","149.62","149.62","204.46153846153845","204.46153846153845","204.46153846153845","178.8","178.8","178.8","239.15","239.15","239.15"
"8","242.21255060728745","242.21255060728745","242.21255060728745","238.91771019677995","238.91771019677995","238.91771019677995","242.54198473282443","242.54198473282443","242.54198473282443","266.34090909090907","266.34090909090907","266.34090909090907"
"12","265.68475452196384","265.68475452196384","265.68475452196384","253.85679903730446","253.85679903730446","253.85679903730446","243.1758389261745","243.1758389261745","243.1758389261745","407.53764705882355","407.53764705882355","407.53764705882355"
"16","347.2307692307692","347.2307692307692","347.2307692307692","264.6208476517755","264.6208476517755","264.6208476517755","227.89145496535798","227.89145496535798","227.89145496535798","469.1980728051392","469.1980728051392","469.1980728051392"
"20","397.4720168954593","397.4720168954593","397.4720168954593","280.8679245283019","280.8679245283019","280.8679245283019","213.63036303630363","213.63036303630363","213.63036303630363","541.0761209593327","541.0761209593327","541.0761209593327"
"24","406.72864864864863","406.72864864864863","406.72864864864863","322.56223175965664","322.56223175965664","322.56223175965664","204.08240534521158","204.08240534521158","204.08240534521158","582.0357507660879","582.0357507660879","582.0357507660879"
"28","374.4221525600836","374.4221525600836","374.4221525600836","353.38023630504836","353.38023630504836","353.38023630504836","205.18309859154928","205.18309859154928","205.18309859154928","571.947261663286","571.947261663286","571.947261663286"
"32","359.10985626283366","359.10985626283366","359.10985626283366","388.721875","388.721875","388.721875","214.35828877005346","214.35828877005346","214.35828877005346","540.6232741617357","540.6232741617357","540.6232741617357"
"36","383.447","383.447","383.447","416.69592476489026","416.69592476489026","416.69592476489026","221.45891141942369","221.45891141942369","221.45891141942369","528.0627450980393","528.0627450980393","528.0627450980393"
"40","423.218253968254","423.218253968254","423.218253968254","531.546370967742","531.546370967742","531.546370967742","233.4071729957806","233.4071729957806","233.4071729957806","564.0401529636712","564.0401529636712","564.0401529636712"
"44","445.7917485265226","445.7917485265226","445.7917485265226","634.656188605108","634.656188605108","634.656188605108","263.7931747673216","263.7931747673216","263.7931747673216","624.8783524904214","624.8783524904214","624.8783524904214"
"48","453.9272369714848","453.9272369714848","453.9272369714848","668.74203187251","668.74203187251","668.74203187251","312.63693599160547","312.63693599160547","312.63693599160547","650.8835418671799","650.8835418671799","650.8835418671799"
"52","489.2982791586998","489.2982791586998","489.2982791586998","750.9980732177264","750.9980732177264","750.9980732177264","352.4129301355579","352.4129301355579","352.4129301355579","669.116970278044","669.116970278044","669.116970278044"
"56","492.8893129770992","492.8893129770992","492.8893129770992","742.6345776031434","742.6345776031434","742.6345776031434","377.4829721362229","377.4829721362229","377.4829721362229","671.0905624404195","671.0905624404195","671.0905624404195"
