"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/MATH500__MAX"
"0","373.53333333333336","373.53333333333336","373.53333333333336","235.55555555555554","235.55555555555554","235.55555555555554","162.25","162.25","162.25","299.57894736842104","299.57894736842104","299.57894736842104"
"4","311.6216216216216","311.6216216216216","311.6216216216216","289.88","289.88","289.88","276.4516129032258","276.4516129032258","276.4516129032258","363.20512820512823","363.20512820512823","363.20512820512823"
"8","380.11046511627904","380.11046511627904","380.11046511627904","355.88125","355.88125","355.88125","354.70198675496687","354.70198675496687","354.70198675496687","545.1242937853108","545.1242937853108","545.1242937853108"
"12","520.6073298429319","520.6073298429319","520.6073298429319","445.09289617486337","445.09289617486337","445.09289617486337","393.0169491525424","393.0169491525424","393.0169491525424","937.1374407582938","937.1374407582938","937.1374407582938"
"16","831.8309178743962","831.8309178743962","831.8309178743962","484.38693467336685","484.38693467336685","484.38693467336685","393.4188481675393","393.4188481675393","393.4188481675393","1195.2629310344828","1195.2629310344828","1195.2629310344828"
"20","1151.4933333333333","1151.4933333333333","1151.4933333333333","608.4417475728155","608.4417475728155","608.4417475728155","359.015306122449","359.015306122449","359.015306122449","1339.645299145299","1339.645299145299","1339.645299145299"
"24","1022.8617511520737","1022.8617511520737","1022.8617511520737","919.3721973094171","919.3721973094171","919.3721973094171","425.5422885572139","425.5422885572139","425.5422885572139","1389.0557939914163","1389.0557939914163","1389.0557939914163"
"28","1059.9596774193549","1059.9596774193549","1059.9596774193549","1096.9383886255923","1096.9383886255923","1096.9383886255923","389.20873786407765","389.20873786407765","389.20873786407765","1506.3112840466927","1506.3112840466927","1506.3112840466927"
"32","924.207468879668","924.207468879668","924.207468879668","1081.581081081081","1081.581081081081","1081.581081081081","405.0096618357488","405.0096618357488","405.0096618357488","1424.4669260700389","1424.4669260700389","1424.4669260700389"
"36","949.703557312253","949.703557312253","949.703557312253","1119.6059322033898","1119.6059322033898","1119.6059322033898","460.9433962264151","460.9433962264151","460.9433962264151","1250.2567049808429","1250.2567049808429","1250.2567049808429"
