"Step","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.030.10B_math.8k_orzbase_0419_0102 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.020.10B_math.8k_orzbase_0419_0026 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.010.10B_math.8k_orzbase_0419_0023 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.openr1.040.10B_math.8k_orzbase_0418_2334 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","521","521","521","300","300","300","414","414","414","296","296","296"
"4","490.5","490.5","490.5","364.3333333333333","364.3333333333333","364.3333333333333","703.8333333333334","703.8333333333334","703.8333333333334","607.2105263157895","607.2105263157895","607.2105263157895"
"8","587.3013698630137","587.3013698630137","587.3013698630137","625.4354838709677","625.4354838709677","625.4354838709677","494.4","494.4","494.4","970.2317073170732","970.2317073170732","970.2317073170732"
"12","851.1609195402299","851.1609195402299","851.1609195402299","641.9625","641.9625","641.9625","690.1410256410256","690.1410256410256","690.1410256410256","1370.5647058823529","1370.5647058823529","1370.5647058823529"
"16","1223.5925925925926","1223.5925925925926","1223.5925925925926","796.2777777777778","796.2777777777778","796.2777777777778","568.4788732394367","568.4788732394367","568.4788732394367","1723.8367346938776","1723.8367346938776","1723.8367346938776"
"20","1282.1744186046512","1282.1744186046512","1282.1744186046512","1197.9285714285713","1197.9285714285713","1197.9285714285713","559.9382716049382","559.9382716049382","559.9382716049382","1973.6262626262626","1973.6262626262626","1973.6262626262626"
"24","1495.25","1495.25","1495.25","1237.2619047619048","1237.2619047619048","1237.2619047619048","631.2613636363636","631.2613636363636","631.2613636363636","2297.846153846154","2297.846153846154","2297.846153846154"
"28","1538.1214953271028","1538.1214953271028","1538.1214953271028","1452.3829787234042","1452.3829787234042","1452.3829787234042","581.0126582278481","581.0126582278481","581.0126582278481","2103.169491525424","2103.169491525424","2103.169491525424"
"32","1384.584745762712","1384.584745762712","1384.584745762712","1823.867924528302","1823.867924528302","1823.867924528302","700.4375","700.4375","700.4375","1919.2777777777778","1919.2777777777778","1919.2777777777778"
"36","1541.2966101694915","1541.2966101694915","1541.2966101694915","1768.8709677419354","1768.8709677419354","1768.8709677419354","646.7113402061856","646.7113402061856","646.7113402061856","1760.7460317460318","1760.7460317460318","1760.7460317460318"
