"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/AMC23__MAX"
"0","0.05","0.05","0.05","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025"
"4","0.05","0.05","0.05","0.025","0.025","0.025","0.05","0.05","0.05","0.05","0.05","0.05"
"8","0.05","0.05","0.05","0.025","0.025","0.025","0.025","0.025","0.025","0.075","0.075","0.075"
"12","0.05","0.05","0.05","0.025","0.025","0.025","0.025","0.025","0.025","0.05","0.05","0.05"
"16","0.05","0.05","0.05","0.05","0.05","0.05","0.025","0.025","0.025","0.05","0.05","0.05"
"20","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"24","0.05","0.05","0.05","0.05","0.05","0.05","0.075","0.075","0.075","0.05","0.05","0.05"
"28","0.125","0.125","0.125","0.075","0.075","0.075","0.1","0.1","0.1","0.075","0.075","0.075"
"32","0.125","0.125","0.125","0.125","0.125","0.125","0.1","0.1","0.1","0.1","0.1","0.1"
"36","0.15","0.15","0.15","0.175","0.175","0.175","0.075","0.075","0.075","0.05","0.05","0.05"
"40","0.125","0.125","0.125","0.15","0.15","0.15","0.075","0.075","0.075","0.1","0.1","0.1"
"44","0.1","0.1","0.1","0.175","0.175","0.175","0.075","0.075","0.075","0.175","0.175","0.175"
"48","0.075","0.075","0.075","0.15","0.15","0.15","0.175","0.175","0.175","0.15","0.15","0.15"
"52","0.075","0.075","0.075","0.15","0.15","0.15","0.125","0.125","0.125","0.1","0.1","0.1"
"56","0.1","0.1","0.1","0.15","0.15","0.15","0.125","0.125","0.125","0.1","0.1","0.1"
"60","0.125","0.125","0.125","0.1","0.1","0.1","0.175","0.175","0.175","0.125","0.125","0.125"
"64","0.1","0.1","0.1","0.125","0.125","0.125","0.175","0.175","0.175","0.1","0.1","0.1"
"68","0.075","0.075","0.075","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125","0.125"
"72","0.1","0.1","0.1","0.125","0.125","0.125","0.2","0.2","0.2","0.125","0.125","0.125"
"76","0.15","0.15","0.15","0.075","0.075","0.075","0.125","0.125","0.125","0.125","0.125","0.125"
"80","0.075","0.075","0.075","0.15","0.15","0.15","0.1","0.1","0.1","0.1","0.1","0.1"
