"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/GSM8k__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","0","0","0","0","0","0","0","0","0","0","0"
"12","0","0","0","0","0","0","0","0","0","0","0","0"
"16","0","0","0","0","0","0","0","0","0","0","0","0"
"20","0","0","0","0","0","0","0","0","0","0","0","0"
"24","0","0","0","0","0","0","0","0","0","0","0","0"
"28","0","0","0","0","0","0","0","0","0","0","0","0"
"32","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.003032600454890068","0.003032600454890068","0.003032600454890068","0.0037907505686125853","0.0037907505686125853","0.0037907505686125853","0","0","0"
"36","0.008339651250947688","0.008339651250947688","0.008339651250947688","0.009855951478392721","0.009855951478392721","0.009855951478392721","0.017437452615617893","0.017437452615617893","0.017437452615617893","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"40","0.05079605761940864","0.05079605761940864","0.05079605761940864","0.02880970432145565","0.02880970432145565","0.02880970432145565","0.04927975739196361","0.04927975739196361","0.04927975739196361","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"44","0.12964366944655042","0.12964366944655042","0.12964366944655042","0.09173616376042457","0.09173616376042457","0.09173616376042457","0.10386656557998483","0.10386656557998483","0.10386656557998483","0.00530705079605762","0.00530705079605762","0.00530705079605762"
