"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/MATH500__MAX"
"0","0.002","0.002","0.002","0.01","0.01","0.01","0.002","0.002","0.002","0.006","0.006","0.006"
"4","0.002","0.002","0.002","0.008","0.008","0.008","0.002","0.002","0.002","0.002","0.002","0.002"
"8","0.008","0.008","0.008","0.008","0.008","0.008","0.004","0.004","0.004","0.002","0.002","0.002"
"12","0.012","0.012","0.012","0.01","0.01","0.01","0.008","0.008","0.008","0.004","0.004","0.004"
"16","0.012","0.012","0.012","0.012","0.012","0.012","0.016","0.016","0.016","0.004","0.004","0.004"
"20","0.02","0.02","0.02","0.024","0.024","0.024","0.024","0.024","0.024","0.012","0.012","0.012"
"24","0.044","0.044","0.044","0.046","0.046","0.046","0.036","0.036","0.036","0.024","0.024","0.024"
"28","0.068","0.068","0.068","0.072","0.072","0.072","0.052","0.052","0.052","0.038","0.038","0.038"
"32","0.092","0.092","0.092","0.08","0.08","0.08","0.104","0.104","0.104","0.046","0.046","0.046"
"36","0.11","0.11","0.11","0.11","0.11","0.11","0.13","0.13","0.13","0.072","0.072","0.072"
"40","0.136","0.136","0.136","0.134","0.134","0.134","0.158","0.158","0.158","0.092","0.092","0.092"
"44","0.156","0.156","0.156","0.15","0.15","0.15","0.19","0.19","0.19","0.114","0.114","0.114"
"48","0.156","0.156","0.156","0.156","0.156","0.156","0.216","0.216","0.216","0.126","0.126","0.126"
"52","0.164","0.164","0.164","0.158","0.158","0.158","0.262","0.262","0.262","0.142","0.142","0.142"
"56","0.172","0.172","0.172","0.16","0.16","0.16","0.324","0.324","0.324","0.17","0.17","0.17"
"60","0.188","0.188","0.188","0.17","0.17","0.17","0.35","0.35","0.35","0.174","0.174","0.174"
"64","0.214","0.214","0.214","0.164","0.164","0.164","0.36","0.36","0.36","0.208","0.208","0.208"
"68","0.264","0.264","0.264","0.174","0.174","0.174","0.344","0.344","0.344","0.242","0.242","0.242"
"72","0.318","0.318","0.318","0.232","0.232","0.232","0.358","0.358","0.358","0.276","0.276","0.276"
"76","0.314","0.314","0.314","0.28","0.28","0.28","0.388","0.388","0.388","0.296","0.296","0.296"
