"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val/test_score/OlympiadBench__MAX"
"0","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0","0","0","0","0","0","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188"
"4","0","0","0","0","0","0","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0","0","0"
"8","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0","0","0","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188"
"12","0.004457652303120356","0.004457652303120356","0.004457652303120356","0","0","0","0.005943536404160475","0.005943536404160475","0.005943536404160475","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188"
"16","0.007429420505200594","0.007429420505200594","0.007429420505200594","0.005943536404160475","0.005943536404160475","0.005943536404160475","0.005943536404160475","0.005943536404160475","0.005943536404160475","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188"
"20","0.010401188707280832","0.010401188707280832","0.010401188707280832","0.007429420505200594","0.007429420505200594","0.007429420505200594","0.008915304606240713","0.008915304606240713","0.008915304606240713","0.004457652303120356","0.004457652303120356","0.004457652303120356"
"24","0.019316493313521546","0.019316493313521546","0.019316493313521546","0.01634472511144131","0.01634472511144131","0.01634472511144131","0.01188707280832095","0.01188707280832095","0.01188707280832095","0.007429420505200594","0.007429420505200594","0.007429420505200594"
"28","0.03566121842496285","0.03566121842496285","0.03566121842496285","0.02823179791976226","0.02823179791976226","0.02823179791976226","0.01634472511144131","0.01634472511144131","0.01634472511144131","0.014858841010401188","0.014858841010401188","0.014858841010401188"
"32","0.0475482912332838","0.0475482912332838","0.0475482912332838","0.04309063893016345","0.04309063893016345","0.04309063893016345","0.03417533432392273","0.03417533432392273","0.03417533432392273","0.020802377414561663","0.020802377414561663","0.020802377414561663"
"36","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.05794947994056464","0.05794947994056464","0.05794947994056464","0.05943536404160475","0.05943536404160475","0.05943536404160475","0.02674591381872214","0.02674591381872214","0.02674591381872214"
"40","0.0787518573551263","0.0787518573551263","0.0787518573551263","0.0713224368499257","0.0713224368499257","0.0713224368499257","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.031203566121842496","0.031203566121842496","0.031203566121842496"
"44","0.07726597325408618","0.07726597325408618","0.07726597325408618","0.06835066864784546","0.06835066864784546","0.06835066864784546","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.04457652303120357","0.04457652303120357","0.04457652303120357"
"48","0.0787518573551263","0.0787518573551263","0.0787518573551263","0.06983655274888559","0.06983655274888559","0.06983655274888559","0.08320950965824665","0.08320950965824665","0.08320950965824665","0.0475482912332838","0.0475482912332838","0.0475482912332838"
"52","0.07578008915304606","0.07578008915304606","0.07578008915304606","0.06835066864784546","0.06835066864784546","0.06835066864784546","0.09212481426448738","0.09212481426448738","0.09212481426448738","0.05794947994056464","0.05794947994056464","0.05794947994056464"
"56","0.07429420505200594","0.07429420505200594","0.07429420505200594","0.07429420505200594","0.07429420505200594","0.07429420505200594","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.05943536404160475","0.05943536404160475","0.05943536404160475"
"60","0.0713224368499257","0.0713224368499257","0.0713224368499257","0.06686478454680535","0.06686478454680535","0.06686478454680535","0.10549777117384844","0.10549777117384844","0.10549777117384844","0.04457652303120357","0.04457652303120357","0.04457652303120357"
"64","0.07578008915304606","0.07578008915304606","0.07578008915304606","0.06983655274888559","0.06983655274888559","0.06983655274888559","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.04903417533432392","0.04903417533432392","0.04903417533432392"
"68","0.08172362555720654","0.08172362555720654","0.08172362555720654","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.0549777117384844","0.0549777117384844","0.0549777117384844"
"72","0.08469539375928678","0.08469539375928678","0.08469539375928678","0.0638930163447251","0.0638930163447251","0.0638930163447251","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.06537890044576523","0.06537890044576523","0.06537890044576523"
"76","0.09063893016344725","0.09063893016344725","0.09063893016344725","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.06835066864784546","0.06835066864784546","0.06835066864784546"
"80","0.09955423476968796","0.09955423476968796","0.09955423476968796","0.0713224368499257","0.0713224368499257","0.0713224368499257","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.0787518573551263","0.0787518573551263","0.0787518573551263"
"84","0.08915304606240713","0.08915304606240713","0.08915304606240713","0.08172362555720654","0.08172362555720654","0.08172362555720654","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.08915304606240713","0.08915304606240713","0.08915304606240713"
"88","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.08469539375928678","0.08469539375928678","0.08469539375928678","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"92","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.09955423476968796","0.09955423476968796","0.09955423476968796","0.12184249628528974","0.12184249628528974","0.12184249628528974","0.11738484398216939","0.11738484398216939","0.11738484398216939"
"96","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.1025260029717682","0.1025260029717682","0.1025260029717682","0.12332838038632987","0.12332838038632987","0.12332838038632987","0.11292719167904904","0.11292719167904904","0.11292719167904904"
"100","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.11589895988112928","0.11589895988112928","0.11589895988112928","0.1337295690936107","0.1337295690936107","0.1337295690936107","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"104","0.10104011887072809","0.10104011887072809","0.10104011887072809","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.12481426448736999","0.12481426448736999","0.12481426448736999","0.12332838038632987","0.12332838038632987","0.12332838038632987"
"108","0.10846953937592868","0.10846953937592868","0.10846953937592868","0.08766716196136701","0.08766716196136701","0.08766716196136701","0.11292719167904904","0.11292719167904904","0.11292719167904904","0.10401188707280833","0.10401188707280833","0.10401188707280833"
"112","0.11738484398216939","0.11738484398216939","0.11738484398216939","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.11589895988112928","0.11589895988112928","0.11589895988112928"
"116","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.12332838038632987","0.12332838038632987","0.12332838038632987","0.15453194650817237","0.15453194650817237","0.15453194650817237"
