"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/AMC23__MAX"
"0","10","10","10","5","5","5","5","5","5","15","15","15"
"4","10","10","10","5","5","5","266.5","266.5","266.5","10","10","10"
"8","7","7","7","5","5","5","5","5","5","110.66666666666667","110.66666666666667","110.66666666666667"
"12","7","7","7","5","5","5","5","5","5","10","10","10"
"16","178.5","178.5","178.5","9.5","9.5","9.5","5","5","5","10","10","10"
"20","6","6","6","9.5","9.5","9.5","5","5","5","290.5","290.5","290.5"
"24","6","6","6","9.5","9.5","9.5","146","146","146","231.5","231.5","231.5"
"28","6","6","6","45.666666666666664","45.666666666666664","45.666666666666664","328","328","328","191","191","191"
"32","827.4","827.4","827.4","31.6","31.6","31.6","201.25","201.25","201.25","2130.25","2130.25","2130.25"
"36","705.1666666666666","705.1666666666666","705.1666666666666","22.714285714285715","22.714285714285715","22.714285714285715","1471.3333333333333","1471.3333333333333","1471.3333333333333","4096","4096","4096"
"40","6.2","6.2","6.2","24.166666666666668","24.166666666666668","24.166666666666668","1557.6666666666667","1557.6666666666667","1557.6666666666667","3073.75","3073.75","3073.75"
"44","6","6","6","605.8571428571429","605.8571428571429","605.8571428571429","1068.6666666666667","1068.6666666666667","1068.6666666666667","3015.285714285714","3015.285714285714","3015.285714285714"
"48","6.333333333333333","6.333333333333333","6.333333333333333","5.333333333333333","5.333333333333333","5.333333333333333","426.7142857142857","426.7142857142857","426.7142857142857","2798.3333333333335","2798.3333333333335","2798.3333333333335"
"52","6.333333333333333","6.333333333333333","6.333333333333333","5","5","5","663.8","663.8","663.8","3073.75","3073.75","3073.75"
"56","51","51","51","5","5","5","383.2","383.2","383.2","2181","2181","2181"
"60","38.6","38.6","38.6","5","5","5","332","332","332","2522.8","2522.8","2522.8"
"64","5","5","5","27.2","27.2","27.2","371.85714285714283","371.85714285714283","371.85714285714283","3153.5","3153.5","3153.5"
"68","47.666666666666664","47.666666666666664","47.666666666666664","27","27","27","340.6","340.6","340.6","4096","4096","4096"
"72","102.25","102.25","102.25","108.6","108.6","108.6","471.125","471.125","471.125","2633.4","2633.4","2633.4"
"76","747.1666666666666","747.1666666666666","747.1666666666666","125","125","125","615","615","615","2616","2616","2616"
"80","1425.3333333333333","1425.3333333333333","1425.3333333333333","212.83333333333334","212.83333333333334","212.83333333333334","742.25","742.25","742.25","1386.5","1386.5","1386.5"
"84","310.8","310.8","310.8","261.7142857142857","261.7142857142857","261.7142857142857","711.125","711.125","711.125","972.5","972.5","972.5"
