"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/GSM8k__MAX"
"32","7","7","7","48","48","48","33.6","33.6","33.6","","",""
"36","50.54545454545455","50.54545454545455","50.54545454545455","29.923076923076923","29.923076923076923","29.923076923076923","37.43478260869565","37.43478260869565","37.43478260869565","136","136","136"
"40","85.07462686567165","85.07462686567165","85.07462686567165","41.81578947368421","41.81578947368421","41.81578947368421","44.06153846153846","44.06153846153846","44.06153846153846","4096","4096","4096"
"44","91.9766081871345","91.9766081871345","91.9766081871345","31.50413223140496","31.50413223140496","31.50413223140496","72.7080291970803","72.7080291970803","72.7080291970803","729.7142857142857","729.7142857142857","729.7142857142857"
"48","21.75980392156863","21.75980392156863","21.75980392156863","25.8135593220339","25.8135593220339","25.8135593220339","77.9950495049505","77.9950495049505","77.9950495049505","451.5","451.5","451.5"
"52","15.939252336448599","15.939252336448599","15.939252336448599","14.675257731958762","14.675257731958762","14.675257731958762","111.97385620915033","111.97385620915033","111.97385620915033","539.5263157894736","539.5263157894736","539.5263157894736"
"56","62.22767857142857","62.22767857142857","62.22767857142857","10.4321608040201","10.4321608040201","10.4321608040201","193.03092783505156","193.03092783505156","193.03092783505156","369.6","369.6","369.6"
"60","105.62248995983936","105.62248995983936","105.62248995983936","16.984126984126984","16.984126984126984","16.984126984126984","206.07433217189316","206.07433217189316","206.07433217189316","412.1166666666667","412.1166666666667","412.1166666666667"
"64","147.04313725490195","147.04313725490195","147.04313725490195","30.16751269035533","30.16751269035533","30.16751269035533","207.2556053811659","207.2556053811659","207.2556053811659","351.29545454545456","351.29545454545456","351.29545454545456"
"68","166.69444444444446","166.69444444444446","166.69444444444446","89.38423645320196","89.38423645320196","89.38423645320196","214.87923250564333","214.87923250564333","214.87923250564333","393.11309523809524","393.11309523809524","393.11309523809524"
