"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/MATH500__MAX"
"0","433","433","433","828.8","828.8","828.8","180","180","180","270.3333333333333","270.3333333333333","270.3333333333333"
"4","190","190","190","13.25","13.25","13.25","124","124","124","171","171","171"
"8","1071","1071","1071","1032.5","1032.5","1032.5","65.5","65.5","65.5","171","171","171"
"12","2050.8333333333335","2050.8333333333335","2050.8333333333335","830","830","830","1152.25","1152.25","1152.25","220.5","220.5","220.5"
"16","1370.5","1370.5","1370.5","743","743","743","613.625","613.625","613.625","2056","2056","2056"
"20","34.9","34.9","34.9","409.3333333333333","409.3333333333333","409.3333333333333","470.4166666666667","470.4166666666667","470.4166666666667","1381.6666666666667","1381.6666666666667","1381.6666666666667"
"24","586.4090909090909","586.4090909090909","586.4090909090909","77.1304347826087","77.1304347826087","77.1304347826087","336.94444444444446","336.94444444444446","336.94444444444446","775.1666666666666","775.1666666666666","775.1666666666666"
"28","176.38235294117646","176.38235294117646","176.38235294117646","47.861111111111114","47.861111111111114","47.861111111111114","412.3076923076923","412.3076923076923","412.3076923076923","947.9473684210526","947.9473684210526","947.9473684210526"
"32","295.45652173913044","295.45652173913044","295.45652173913044","40.75","40.75","40.75","320.2692307692308","320.2692307692308","320.2692307692308","647.5217391304348","647.5217391304348","647.5217391304348"
"36","314.1454545454545","314.1454545454545","314.1454545454545","34.70909090909091","34.70909090909091","34.70909090909091","204.47692307692307","204.47692307692307","204.47692307692307","1473.8055555555557","1473.8055555555557","1473.8055555555557"
"40","74.95588235294117","74.95588235294117","74.95588235294117","29.671641791044777","29.671641791044777","29.671641791044777","147.56962025316454","147.56962025316454","147.56962025316454","1602.0652173913043","1602.0652173913043","1602.0652173913043"
"44","117.74358974358974","117.74358974358974","117.74358974358974","65.10666666666667","65.10666666666667","65.10666666666667","149.78947368421052","149.78947368421052","149.78947368421052","1656.8245614035088","1656.8245614035088","1656.8245614035088"
"48","12.717948717948717","12.717948717948717","12.717948717948717","9.73076923076923","9.73076923076923","9.73076923076923","332.8888888888889","332.8888888888889","332.8888888888889","1785.2063492063492","1785.2063492063492","1785.2063492063492"
"52","12.097560975609756","12.097560975609756","12.097560975609756","11.291139240506329","11.291139240506329","11.291139240506329","348.6564885496183","348.6564885496183","348.6564885496183","1643.2112676056338","1643.2112676056338","1643.2112676056338"
"56","161.54651162790697","161.54651162790697","161.54651162790697","9.6875","9.6875","9.6875","319.0432098765432","319.0432098765432","319.0432098765432","1493.3764705882354","1493.3764705882354","1493.3764705882354"
"60","216.53191489361703","216.53191489361703","216.53191489361703","15.141176470588235","15.141176470588235","15.141176470588235","318.77714285714285","318.77714285714285","318.77714285714285","1260.896551724138","1260.896551724138","1260.896551724138"
"64","158.46728971962617","158.46728971962617","158.46728971962617","20.158536585365855","20.158536585365855","20.158536585365855","329.5833333333333","329.5833333333333","329.5833333333333","708.2019230769231","708.2019230769231","708.2019230769231"
"68","222.07575757575756","222.07575757575756","222.07575757575756","83.3103448275862","83.3103448275862","83.3103448275862","357.83720930232556","357.83720930232556","357.83720930232556","1005.7355371900826","1005.7355371900826","1005.7355371900826"
"72","221.49056603773585","221.49056603773585","221.49056603773585","104.21551724137932","104.21551724137932","104.21551724137932","350.2067039106145","350.2067039106145","350.2067039106145","903.4130434782609","903.4130434782609","903.4130434782609"
