"Step","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.030.10B_math.8k_0413_0042 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.040.10B_math.8k_0413_0042 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.020.10B_math.8k_0413_0040 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_stable.130b_decay.synthqa.010.10B_math.8k_0413_0040 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","12","12","12","","","","","","","289","289","289"
"4","","","","","","","601","601","601","","",""
"8","12","12","12","12","12","12","","","","319","319","319"
"12","120","120","120","","","","110.25","110.25","110.25","5","5","5"
"16","11.2","11.2","11.2","31.25","31.25","31.25","13.25","13.25","13.25","8","8","8"
"20","54.57142857142857","54.57142857142857","54.57142857142857","10.2","10.2","10.2","29","29","29","227.33333333333334","227.33333333333334","227.33333333333334"
"24","9.461538461538462","9.461538461538462","9.461538461538462","75.72727272727273","75.72727272727273","75.72727272727273","61.375","61.375","61.375","68","68","68"
"28","10.208333333333334","10.208333333333334","10.208333333333334","49.63157894736842","49.63157894736842","49.63157894736842","9.636363636363637","9.636363636363637","9.636363636363637","70.1","70.1","70.1"
"32","11.21875","11.21875","11.21875","9.655172413793103","9.655172413793103","9.655172413793103","76.1304347826087","76.1304347826087","76.1304347826087","53.42857142857143","53.42857142857143","53.42857142857143"
"36","9.772727272727273","9.772727272727273","9.772727272727273","15.153846153846153","15.153846153846153","15.153846153846153","53.15","53.15","53.15","515","515","515"
"40","17.641509433962263","17.641509433962263","17.641509433962263","7.291666666666667","7.291666666666667","7.291666666666667","53.63636363636363","53.63636363636363","53.63636363636363","1025.2380952380952","1025.2380952380952","1025.2380952380952"
"44","11.01923076923077","11.01923076923077","11.01923076923077","6.717391304347826","6.717391304347826","6.717391304347826","499.3181818181818","499.3181818181818","499.3181818181818","1033.0666666666666","1033.0666666666666","1033.0666666666666"
"48","9.584905660377359","9.584905660377359","9.584905660377359","9.361702127659575","9.361702127659575","9.361702127659575","409.23214285714283","409.23214285714283","409.23214285714283","1109.25","1109.25","1109.25"
