"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/AMC23__MAX"
"0","0","0","0","0","0","0","0.025","0.025","0.025"
"4","0","0","0","0.025","0.025","0.025","0.025","0.025","0.025"
"8","0","0","0","0.025","0.025","0.025","0.025","0.025","0.025"
"12","0","0","0","0","0","0","0.025","0.025","0.025"
"16","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025"
"20","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025"
"24","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025"
"28","0.05","0.05","0.05","0.05","0.05","0.05","0.025","0.025","0.025"
"32","0.05","0.05","0.05","0.025","0.025","0.025","0.075","0.075","0.075"
"36","0.05","0.05","0.05","0.025","0.025","0.025","0.075","0.075","0.075"
"40","0.05","0.05","0.05","0.125","0.125","0.125","0.075","0.075","0.075"
"44","0.05","0.05","0.05","0.1","0.1","0.1","0.125","0.125","0.125"
"48","0.075","0.075","0.075","0.125","0.125","0.125","0.1","0.1","0.1"
"52","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"56","0.125","0.125","0.125","0.1","0.1","0.1","0.15","0.15","0.15"
"60","0.1","0.1","0.1","0.075","0.075","0.075","0.1","0.1","0.1"
"64","0.075","0.075","0.075","0.1","0.1","0.1","0.075","0.075","0.075"
"68","0.1","0.1","0.1","0.15","0.15","0.15","0.125","0.125","0.125"
"72","0.15","0.15","0.15","0.15","0.15","0.15","0.125","0.125","0.125"
"76","0.15","0.15","0.15","0.125","0.125","0.125","0.125","0.125","0.125"
"80","0.15","0.15","0.15","0.125","0.125","0.125","0.125","0.125","0.125"
"84","0.15","0.15","0.15","0.1","0.1","0.1","0.1","0.1","0.1"
"88","0.15","0.15","0.15","0.15","0.15","0.15","0.1","0.1","0.1"
"92","0.15","0.15","0.15","0.1","0.1","0.1","0.15","0.15","0.15"
"96","0.125","0.125","0.125","0.075","0.075","0.075","0.15","0.15","0.15"
"100","0.15","0.15","0.15","0.1","0.1","0.1","0.15","0.15","0.15"
"104","0.1","0.1","0.1","0.225","0.225","0.225","0.15","0.15","0.15"
"108","0.125","0.125","0.125","0.15","0.15","0.15","0.125","0.125","0.125"
"112","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15"
"116","0.2","0.2","0.2","0.175","0.175","0.175","0.125","0.125","0.125"
"120","0.1","0.1","0.1","0.2","0.2","0.2","0.15","0.15","0.15"
"124","0.075","0.075","0.075","0.15","0.15","0.15","0.15","0.15","0.15"
"128","0.125","0.125","0.125","0.1","0.1","0.1","0.15","0.15","0.15"
"132","0.1","0.1","0.1","0.15","0.15","0.15","0.15","0.15","0.15"
"136","0.1","0.1","0.1","0.175","0.175","0.175","0.15","0.15","0.15"
"140","0.075","0.075","0.075","0.15","0.15","0.15","0.15","0.15","0.15"
"144","0.15","0.15","0.15","0.125","0.125","0.125","0.125","0.125","0.125"
"148","0.15","0.15","0.15","0.1","0.1","0.1","0.15","0.15","0.15"
"152","0.125","0.125","0.125","0.1","0.1","0.1","0.125","0.125","0.125"
"156","0.15","0.15","0.15","0.125","0.125","0.125","0.15","0.15","0.15"
"160","0.15","0.15","0.15","0.15","0.15","0.15","0.1","0.1","0.1"
"164","0.075","0.075","0.075","0.2","0.2","0.2","0.125","0.125","0.125"
"168","0.175","0.175","0.175","0.15","0.15","0.15","0.125","0.125","0.125"
"172","0.125","0.125","0.125","0.175","0.175","0.175","0.1","0.1","0.1"
"176","0.1","0.1","0.1","0.175","0.175","0.175","0.125","0.125","0.125"
"180","0.1","0.1","0.1","0.2","0.2","0.2","0.125","0.125","0.125"
"184","0.125","0.125","0.125","0.1","0.1","0.1","0.1","0.1","0.1"
