"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/GSM8k__MAX"
"0","0","0","0","0.002274450341167551","0.002274450341167551","0.002274450341167551","0","0","0"
"4","0","0","0","0.002274450341167551","0.002274450341167551","0.002274450341167551","0","0","0"
"8","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.002274450341167551","0.002274450341167551","0.002274450341167551","0","0","0"
"12","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.003032600454890068","0.003032600454890068","0.003032600454890068","0","0","0"
"16","0","0","0","0.003032600454890068","0.003032600454890068","0.003032600454890068","0","0","0"
"20","0","0","0","0.01061410159211524","0.01061410159211524","0.01061410159211524","0","0","0"
"24","0","0","0","0.02122820318423048","0.02122820318423048","0.02122820318423048","0","0","0"
"28","0.002274450341167551","0.002274450341167551","0.002274450341167551","0.04169825625473844","0.04169825625473844","0.04169825625473844","0","0","0"
"32","0.004548900682335102","0.004548900682335102","0.004548900682335102","0.09476876421531463","0.09476876421531463","0.09476876421531463","0","0","0"
"36","0.02122820318423048","0.02122820318423048","0.02122820318423048","0.16906747536012132","0.16906747536012132","0.16906747536012132","0","0","0"
"40","0.2259287338893101","0.2259287338893101","0.2259287338893101","0.27065959059893857","0.27065959059893857","0.27065959059893857","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"44","0.33358605003790753","0.33358605003790753","0.33358605003790753","0.44200151630022744","0.44200151630022744","0.44200151630022744","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"48","0.510235026535254","0.510235026535254","0.510235026535254","0.5261561789234268","0.5261561789234268","0.5261561789234268","0.0037907505686125853","0.0037907505686125853","0.0037907505686125853"
"52","0.6065200909780136","0.6065200909780136","0.6065200909780136","0.5534495830174374","0.5534495830174374","0.5534495830174374","0.006065200909780136","0.006065200909780136","0.006065200909780136"
"56","0.6034874905231236","0.6034874905231236","0.6034874905231236","0.5633055344958302","0.5633055344958302","0.5633055344958302","0.009855951478392721","0.009855951478392721","0.009855951478392721"
"60","0.6125852918877938","0.6125852918877938","0.6125852918877938","0.577710386656558","0.577710386656558","0.577710386656558","0.022744503411675512","0.022744503411675512","0.022744503411675512"
"64","0.620166793025019","0.620166793025019","0.620166793025019","0.5822592873388931","0.5822592873388931","0.5822592873388931","0.04852160727824109","0.04852160727824109","0.04852160727824109"
"68","0.621683093252464","0.621683093252464","0.621683093252464","0.5852918877937832","0.5852918877937832","0.5852918877937832","0.09931766489764973","0.09931766489764973","0.09931766489764973"
"72","0.6277482941622441","0.6277482941622441","0.6277482941622441","0.5913570887035633","0.5913570887035633","0.5913570887035633","0.13115996967399546","0.13115996967399546","0.13115996967399546"
"76","0.6277482941622441","0.6277482941622441","0.6277482941622441","0.5959059893858984","0.5959059893858984","0.5959059893858984","0.1281273692191054","0.1281273692191054","0.1281273692191054"
"80","0.6383623957543594","0.6383623957543594","0.6383623957543594","0.6034874905231236","0.6034874905231236","0.6034874905231236","0.1288855193328279","0.1288855193328279","0.1288855193328279"
"84","0.6315390447308568","0.6315390447308568","0.6315390447308568","0.6285064442759667","0.6285064442759667","0.6285064442759667","0.13115996967399546","0.13115996967399546","0.13115996967399546"
"88","0.6459438968915845","0.6459438968915845","0.6459438968915845","0.6277482941622441","0.6277482941622441","0.6277482941622441","0.13191811978771797","0.13191811978771797","0.13191811978771797"
"92","0.6421531463229719","0.6421531463229719","0.6421531463229719","0.6072782410917361","0.6072782410917361","0.6072782410917361","0.13495072024260804","0.13495072024260804","0.13495072024260804"
"96","0.6482183472327521","0.6482183472327521","0.6482183472327521","0.6141015921152388","0.6141015921152388","0.6141015921152388","0.13646702047005307","0.13646702047005307","0.13646702047005307"
"100","0.6467020470053071","0.6467020470053071","0.6467020470053071","0.5974222896133434","0.5974222896133434","0.5974222896133434","0.13419257012888552","0.13419257012888552","0.13419257012888552"
"104","0.6368460955269143","0.6368460955269143","0.6368460955269143","0.620166793025019","0.620166793025019","0.620166793025019","0.13646702047005307","0.13646702047005307","0.13646702047005307"
"108","0.6368460955269143","0.6368460955269143","0.6368460955269143","0.6330553449583017","0.6330553449583017","0.6330553449583017","0.13874147081122062","0.13874147081122062","0.13874147081122062"
"112","0.6224412433661866","0.6224412433661866","0.6224412433661866","0.6467020470053071","0.6467020470053071","0.6467020470053071","0.1470811220621683","0.1470811220621683","0.1470811220621683"
"116","0.6504927975739196","0.6504927975739196","0.6504927975739196","0.6398786959818044","0.6398786959818044","0.6398786959818044","0.1508718726307809","0.1508718726307809","0.1508718726307809"
"120","0.6603487490523123","0.6603487490523123","0.6603487490523123","0.6338134950720242","0.6338134950720242","0.6338134950720242","0.15314632297194844","0.15314632297194844","0.15314632297194844"
"124","0.6557998483699773","0.6557998483699773","0.6557998483699773","0.6504927975739196","0.6504927975739196","0.6504927975739196","0.14556482183472327","0.14556482183472327","0.14556482183472327"
"128","0.6679302501895376","0.6679302501895376","0.6679302501895376","0.6565579984836998","0.6565579984836998","0.6565579984836998","0.14404852160727824","0.14404852160727824","0.14404852160727824"
"132","0.6580742987111448","0.6580742987111448","0.6580742987111448","0.6527672479150872","0.6527672479150872","0.6527672479150872","0.1417740712661107","0.1417740712661107","0.1417740712661107"
"136","0.66868840030326","0.66868840030326","0.66868840030326","0.6565579984836998","0.6565579984836998","0.6565579984836998","0.13570887035633056","0.13570887035633056","0.13570887035633056"
"140","0.6565579984836998","0.6565579984836998","0.6565579984836998","0.6595905989385898","0.6595905989385898","0.6595905989385898","0.1379833206974981","0.1379833206974981","0.1379833206974981"
"144","0.6603487490523123","0.6603487490523123","0.6603487490523123","0.6679302501895376","0.6679302501895376","0.6679302501895376","0.13495072024260804","0.13495072024260804","0.13495072024260804"
"148","0.66868840030326","0.66868840030326","0.66868840030326","0.6679302501895376","0.6679302501895376","0.6679302501895376","0.1326762699014405","0.1326762699014405","0.1326762699014405"
"152","0.6573161485974223","0.6573161485974223","0.6573161485974223","0.6588324488248674","0.6588324488248674","0.6588324488248674","0.1197877179681577","0.1197877179681577","0.1197877179681577"
