"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/MATH500__MAX"
"0","0.002","0.002","0.002","0.008","0.008","0.008","0","0","0"
"4","0.002","0.002","0.002","0.008","0.008","0.008","0","0","0"
"8","0.008","0.008","0.008","0.006","0.006","0.006","0","0","0"
"12","0.006","0.006","0.006","0.002","0.002","0.002","0.002","0.002","0.002"
"16","0.012","0.012","0.012","0.018","0.018","0.018","0.004","0.004","0.004"
"20","0.022","0.022","0.022","0.026","0.026","0.026","0.004","0.004","0.004"
"24","0.062","0.062","0.062","0.036","0.036","0.036","0.016","0.016","0.016"
"28","0.09","0.09","0.09","0.044","0.044","0.044","0.014","0.014","0.014"
"32","0.112","0.112","0.112","0.044","0.044","0.044","0.034","0.034","0.034"
"36","0.14","0.14","0.14","0.08","0.08","0.08","0.056","0.056","0.056"
"40","0.172","0.172","0.172","0.122","0.122","0.122","0.088","0.088","0.088"
"44","0.198","0.198","0.198","0.176","0.176","0.176","0.092","0.092","0.092"
"48","0.236","0.236","0.236","0.226","0.226","0.226","0.116","0.116","0.116"
"52","0.286","0.286","0.286","0.256","0.256","0.256","0.12","0.12","0.12"
"56","0.324","0.324","0.324","0.28","0.28","0.28","0.112","0.112","0.112"
"60","0.356","0.356","0.356","0.274","0.274","0.274","0.122","0.122","0.122"
"64","0.314","0.314","0.314","0.272","0.272","0.272","0.13","0.13","0.13"
"68","0.322","0.322","0.322","0.294","0.294","0.294","0.136","0.136","0.136"
"72","0.308","0.308","0.308","0.286","0.286","0.286","0.134","0.134","0.134"
"76","0.31","0.31","0.31","0.298","0.298","0.298","0.124","0.124","0.124"
"80","0.324","0.324","0.324","0.318","0.318","0.318","0.128","0.128","0.128"
"84","0.324","0.324","0.324","0.31","0.31","0.31","0.132","0.132","0.132"
"88","0.338","0.338","0.338","0.316","0.316","0.316","0.14","0.14","0.14"
"92","0.336","0.336","0.336","0.328","0.328","0.328","0.144","0.144","0.144"
"96","0.326","0.326","0.326","0.326","0.326","0.326","0.142","0.142","0.142"
"100","0.348","0.348","0.348","0.322","0.322","0.322","0.142","0.142","0.142"
"104","0.342","0.342","0.342","0.33","0.33","0.33","0.152","0.152","0.152"
"108","0.33","0.33","0.33","0.32","0.32","0.32","0.154","0.154","0.154"
"112","0.346","0.346","0.346","0.32","0.32","0.32","0.162","0.162","0.162"
"116","0.342","0.342","0.342","0.312","0.312","0.312","0.15","0.15","0.15"
"120","0.346","0.346","0.346","0.324","0.324","0.324","0.148","0.148","0.148"
"124","0.344","0.344","0.344","0.32","0.32","0.32","0.146","0.146","0.146"
"128","0.336","0.336","0.336","0.298","0.298","0.298","0.148","0.148","0.148"
"132","0.346","0.346","0.346","0.298","0.298","0.298","0.142","0.142","0.142"
"136","0.326","0.326","0.326","0.324","0.324","0.324","0.152","0.152","0.152"
"140","0.314","0.314","0.314","0.342","0.342","0.342","0.148","0.148","0.148"
"144","0.34","0.34","0.34","0.338","0.338","0.338","0.138","0.138","0.138"
"148","0.338","0.338","0.338","0.338","0.338","0.338","0.144","0.144","0.144"
"152","0.344","0.344","0.344","0.314","0.314","0.314","0.14","0.14","0.14"
"156","0.342","0.342","0.342","0.326","0.326","0.326","0.144","0.144","0.144"
"160","0.344","0.344","0.344","0.322","0.322","0.322","0.15","0.15","0.15"
"164","0.36","0.36","0.36","0.33","0.33","0.33","0.14","0.14","0.14"
"168","0.356","0.356","0.356","0.328","0.328","0.328","0.138","0.138","0.138"
"172","0.358","0.358","0.358","0.344","0.344","0.344","0.142","0.142","0.142"
"176","0.35","0.35","0.35","0.33","0.33","0.33","0.128","0.128","0.128"
"180","0.354","0.354","0.354","0.322","0.322","0.322","0.108","0.108","0.108"
"184","0.34","0.34","0.34","0.32","0.32","0.32","0.102","0.102","0.102"
"188","0.37","0.37","0.37","0.306","0.306","0.306","0.102","0.102","0.102"
"192","0.354","0.354","0.354","0.302","0.302","0.302","0.102","0.102","0.102"
"196","0.358","0.358","0.358","0.314","0.314","0.314","0.104","0.104","0.104"
"200","0.362","0.362","0.362","0.31","0.31","0.31","0.11","0.11","0.11"
"204","0.368","0.368","0.368","0.322","0.322","0.322","0.106","0.106","0.106"
"208","0.356","0.356","0.356","0.318","0.318","0.318","0.106","0.106","0.106"
"212","0.358","0.358","0.358","0.334","0.334","0.334","0.106","0.106","0.106"
"216","0.368","0.368","0.368","0.316","0.316","0.316","0.108","0.108","0.108"
"220","0.348","0.348","0.348","0.322","0.322","0.322","0.11","0.11","0.11"
"224","0.35","0.35","0.35","0.35","0.35","0.35","","",""
"228","0.346","0.346","0.346","0.37","0.37","0.37","","",""
"232","0.366","0.366","0.366","0.328","0.328","0.328","","",""
"236","","","","0.328","0.328","0.328","","",""
"240","","","","0.338","0.338","0.338","","",""
"244","","","","0.308","0.308","0.308","","",""
"248","","","","0.324","0.324","0.324","","",""
"252","","","","0.322","0.322","0.322","","",""
"256","","","","0.348","0.348","0.348","","",""
"260","","","","0.318","0.318","0.318","","",""
