"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val/test_score/OlympiadBench__MAX"
"0","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0","0","0","0","0","0"
"4","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0","0","0"
"8","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376","0","0","0"
"12","0.008915304606240713","0.008915304606240713","0.008915304606240713","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376","0","0","0"
"16","0.010401188707280832","0.010401188707280832","0.010401188707280832","0.004457652303120356","0.004457652303120356","0.004457652303120356","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188"
"20","0.020802377414561663","0.020802377414561663","0.020802377414561663","0.005943536404160475","0.005943536404160475","0.005943536404160475","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188"
"24","0.04309063893016345","0.04309063893016345","0.04309063893016345","0.008915304606240713","0.008915304606240713","0.008915304606240713","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376"
"28","0.0638930163447251","0.0638930163447251","0.0638930163447251","0.01337295690936107","0.01337295690936107","0.01337295690936107","0.005943536404160475","0.005943536404160475","0.005943536404160475"
"32","0.0713224368499257","0.0713224368499257","0.0713224368499257","0.020802377414561663","0.020802377414561663","0.020802377414561663","0.01337295690936107","0.01337295690936107","0.01337295690936107"
"36","0.07726597325408618","0.07726597325408618","0.07726597325408618","0.0237741456166419","0.0237741456166419","0.0237741456166419","0.020802377414561663","0.020802377414561663","0.020802377414561663"
"40","0.07578008915304606","0.07578008915304606","0.07578008915304606","0.041604754829123326","0.041604754829123326","0.041604754829123326","0.03714710252600297","0.03714710252600297","0.03714710252600297"
"44","0.0787518573551263","0.0787518573551263","0.0787518573551263","0.05943536404160475","0.05943536404160475","0.05943536404160475","0.041604754829123326","0.041604754829123326","0.041604754829123326"
"48","0.09063893016344725","0.09063893016344725","0.09063893016344725","0.07280832095096583","0.07280832095096583","0.07280832095096583","0.05349182763744428","0.05349182763744428","0.05349182763744428"
"52","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.07726597325408618","0.07726597325408618","0.07726597325408618","0.06092124814264487","0.06092124814264487","0.06092124814264487"
"56","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.0861812778603269","0.0861812778603269","0.0861812778603269","0.05349182763744428","0.05349182763744428","0.05349182763744428"
"60","0.0861812778603269","0.0861812778603269","0.0861812778603269","0.09063893016344725","0.09063893016344725","0.09063893016344725","0.06240713224368499","0.06240713224368499","0.06240713224368499"
"64","0.09806835066864784","0.09806835066864784","0.09806835066864784","0.08915304606240713","0.08915304606240713","0.08915304606240713","0.06537890044576523","0.06537890044576523","0.06537890044576523"
"68","0.08915304606240713","0.08915304606240713","0.08915304606240713","0.0861812778603269","0.0861812778603269","0.0861812778603269","0.07578008915304606","0.07578008915304606","0.07578008915304606"
"72","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.10401188707280833","0.10401188707280833","0.10401188707280833","0.06835066864784546","0.06835066864784546","0.06835066864784546"
"76","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.09212481426448738","0.09212481426448738","0.09212481426448738","0.0713224368499257","0.0713224368499257","0.0713224368499257"
"80","0.09361069836552749","0.09361069836552749","0.09361069836552749","0.10104011887072809","0.10104011887072809","0.10104011887072809","0.06537890044576523","0.06537890044576523","0.06537890044576523"
"84","0.11144130757800892","0.11144130757800892","0.11144130757800892","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.0638930163447251","0.0638930163447251","0.0638930163447251"
