"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/AMC23__MAX"
"0","","","","","","","474","474","474"
"4","","","","5","5","5","436","436","436"
"8","","","","5","5","5","474","474","474"
"12","","","","","","","520","520","520"
"16","189","189","189","147","147","147","4096","4096","4096"
"20","4096","4096","4096","169","169","169","4096","4096","4096"
"24","426","426","426","357","357","357","4096","4096","4096"
"28","166.5","166.5","166.5","2176","2176","2176","4096","4096","4096"
"32","261.5","261.5","261.5","441","441","441","2772.3333333333335","2772.3333333333335","2772.3333333333335"
"36","265.5","265.5","265.5","626","626","626","2772.3333333333335","2772.3333333333335","2772.3333333333335"
"40","906.5","906.5","906.5","294.6","294.6","294.6","2776","2776","2776"
"44","2168","2168","2168","355.5","355.5","355.5","3304","3304","3304"
"48","1510","1510","1510","311.8","311.8","311.8","4096","4096","4096"
"52","1205","1205","1205","374.75","374.75","374.75","4096","4096","4096"
"56","353.8","353.8","353.8","442","442","442","4096","4096","4096"
"60","398.5","398.5","398.5","489","489","489","4096","4096","4096"
"64","467.6666666666667","467.6666666666667","467.6666666666667","485.25","485.25","485.25","4096","4096","4096"
"68","309","309","309","945.8333333333334","945.8333333333334","945.8333333333334","4096","4096","4096"
"72","322.3333333333333","322.3333333333333","322.3333333333333","523","523","523","4096","4096","4096"
"76","362.5","362.5","362.5","639.6","639.6","639.6","4096","4096","4096"
"80","588.5","588.5","588.5","600.6","600.6","600.6","4096","4096","4096"
"84","916.8333333333334","916.8333333333334","916.8333333333334","843.25","843.25","843.25","4096","4096","4096"
"88","533.1666666666666","533.1666666666666","533.1666666666666","793.5","793.5","793.5","4096","4096","4096"
"92","976","976","976","691","691","691","4096","4096","4096"
"96","405.8","405.8","405.8","541.3333333333334","541.3333333333334","541.3333333333334","4096","4096","4096"
"100","696.3333333333334","696.3333333333334","696.3333333333334","475.5","475.5","475.5","4096","4096","4096"
"104","463.75","463.75","463.75","719.3333333333334","719.3333333333334","719.3333333333334","4096","4096","4096"
"108","1575","1575","1575","605.1666666666666","605.1666666666666","605.1666666666666","4096","4096","4096"
"112","471.6666666666667","471.6666666666667","471.6666666666667","504.3333333333333","504.3333333333333","504.3333333333333","4096","4096","4096"
"116","981.375","981.375","981.375","833.4285714285714","833.4285714285714","833.4285714285714","4096","4096","4096"
"120","1292.75","1292.75","1292.75","695.25","695.25","695.25","4096","4096","4096"
"124","1655","1655","1655","693","693","693","4096","4096","4096"
"128","968.4","968.4","968.4","1024","1024","1024","3437.1666666666665","3437.1666666666665","3437.1666666666665"
"132","1458.75","1458.75","1458.75","553.3333333333334","553.3333333333334","553.3333333333334","4096","4096","4096"
"136","2184","2184","2184","1067.142857142857","1067.142857142857","1067.142857142857","4096","4096","4096"
"140","415","415","415","577.3333333333334","577.3333333333334","577.3333333333334","4096","4096","4096"
"144","416.6666666666667","416.6666666666667","416.6666666666667","704.4","704.4","704.4","4096","4096","4096"
"148","891","891","891","534","534","534","4096","4096","4096"
"152","464","464","464","908","908","908","4096","4096","4096"
"156","730.8333333333334","730.8333333333334","730.8333333333334","584.8","584.8","584.8","4096","4096","4096"
"160","596","596","596","1124.1666666666667","1124.1666666666667","1124.1666666666667","4096","4096","4096"
"164","582","582","582","702.25","702.25","702.25","4096","4096","4096"
"168","677.8571428571429","677.8571428571429","677.8571428571429","969.3333333333334","969.3333333333334","969.3333333333334","4096","4096","4096"
"172","1602.4","1602.4","1602.4","926.7142857142857","926.7142857142857","926.7142857142857","4096","4096","4096"
"176","1297","1297","1297","846","846","846","4096","4096","4096"
"180","655.75","655.75","655.75","659.125","659.125","659.125","4096","4096","4096"
"184","524","524","524","683.25","683.25","683.25","4096","4096","4096"
"188","595.6","595.6","595.6","835.2","835.2","835.2","4096","4096","4096"
"192","397.1666666666667","397.1666666666667","397.1666666666667","947.8333333333334","947.8333333333334","947.8333333333334","4096","4096","4096"
"196","615.1428571428571","615.1428571428571","615.1428571428571","656.8","656.8","656.8","4096","4096","4096"
"200","480","480","480","839.8","839.8","839.8","4096","4096","4096"
"204","590.8","590.8","590.8","997.5","997.5","997.5","4096","4096","4096"
"208","902.6","902.6","902.6","940.25","940.25","940.25","4096","4096","4096"
"212","690","690","690","1396.4","1396.4","1396.4","4096","4096","4096"
"216","780.2","780.2","780.2","973.8571428571429","973.8571428571429","973.8571428571429","4096","4096","4096"
"220","308.75","308.75","308.75","1161","1161","1161","4096","4096","4096"
"224","901","901","901","835.8","835.8","835.8","","",""
"228","1497.8333333333333","1497.8333333333333","1497.8333333333333","1320.6666666666667","1320.6666666666667","1320.6666666666667","","",""
"232","992.4285714285714","992.4285714285714","992.4285714285714","637.5","637.5","637.5","","",""
"236","","","","1228.8","1228.8","1228.8","","",""
"240","","","","1495.2","1495.2","1495.2","","",""
"244","","","","610.5","610.5","610.5","","",""
"248","","","","1060.1666666666667","1060.1666666666667","1060.1666666666667","","",""
"252","","","","895.1428571428571","895.1428571428571","895.1428571428571","","",""
"256","","","","1523.5","1523.5","1523.5","","",""
"260","","","","652.1666666666666","652.1666666666666","652.1666666666666","","",""
