"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/GSM8k__MAX"
"0","","","","233.33333333333334","233.33333333333334","233.33333333333334","","",""
"4","","","","233.33333333333334","233.33333333333334","233.33333333333334","","",""
"8","90","90","90","233.33333333333334","233.33333333333334","233.33333333333334","","",""
"12","90","90","90","1046.75","1046.75","1046.75","","",""
"16","","","","714.25","714.25","714.25","","",""
"20","","","","1091.7142857142858","1091.7142857142858","1091.7142857142858","","",""
"24","","","","929.8928571428571","929.8928571428571","929.8928571428571","","",""
"28","239.66666666666666","239.66666666666666","239.66666666666666","664.2181818181818","664.2181818181818","664.2181818181818","","",""
"32","254.66666666666666","254.66666666666666","254.66666666666666","587.576","587.576","587.576","","",""
"36","183.25","183.25","183.25","515.5336322869955","515.5336322869955","515.5336322869955","","",""
"40","232.4765100671141","232.4765100671141","232.4765100671141","367.54901960784315","367.54901960784315","367.54901960784315","52","52","52"
"44","237.5772727272727","237.5772727272727","237.5772727272727","277.6518010291595","277.6518010291595","277.6518010291595","87","87","87"
"48","199.27934621099556","199.27934621099556","199.27934621099556","356.8025936599424","356.8025936599424","356.8025936599424","1684.2","1684.2","1684.2"
"52","207.4775","207.4775","207.4775","253.1917808219178","253.1917808219178","253.1917808219178","1092.125","1092.125","1092.125"
"56","215.8643216080402","215.8643216080402","215.8643216080402","232.43606998654104","232.43606998654104","232.43606998654104","2853.769230769231","2853.769230769231","2853.769230769231"
"60","211.31930693069307","211.31930693069307","211.31930693069307","251.9698162729659","251.9698162729659","251.9698162729659","3319.0333333333333","3319.0333333333333","3319.0333333333333"
"64","219.8288508557457","219.8288508557457","219.8288508557457","276.3893229166667","276.3893229166667","276.3893229166667","2983.6875","2983.6875","2983.6875"
"68","222.56341463414634","222.56341463414634","222.56341463414634","279.2681347150259","279.2681347150259","279.2681347150259","3484.381679389313","3484.381679389313","3484.381679389313"
"72","225.0084541062802","225.0084541062802","225.0084541062802","292.45512820512823","292.45512820512823","292.45512820512823","3540.676300578035","3540.676300578035","3540.676300578035"
"76","232.93961352657004","232.93961352657004","232.93961352657004","303.2773536895674","303.2773536895674","303.2773536895674","3481.1242603550295","3481.1242603550295","3481.1242603550295"
"80","232.49406175771972","232.49406175771972","232.49406175771972","291.83668341708545","291.83668341708545","291.83668341708545","3601.423529411765","3601.423529411765","3601.423529411765"
"84","221.21848739495798","221.21848739495798","221.21848739495798","301.4800965018094","301.4800965018094","301.4800965018094","3681.150289017341","3681.150289017341","3681.150289017341"
"88","231.75352112676057","231.75352112676057","231.75352112676057","304.31400966183577","304.31400966183577","304.31400966183577","3888.603448275862","3888.603448275862","3888.603448275862"
"92","235.16883116883116","235.16883116883116","235.16883116883116","301.3957553058677","301.3957553058677","301.3957553058677","3848.1404494382023","3848.1404494382023","3848.1404494382023"
"96","222.13216374269007","222.13216374269007","222.13216374269007","295.0283950617284","295.0283950617284","295.0283950617284","3895.427777777778","3895.427777777778","3895.427777777778"
"100","218.75263774912074","218.75263774912074","218.75263774912074","282.8921319796954","282.8921319796954","282.8921319796954","3959.5593220338983","3959.5593220338983","3959.5593220338983"
"104","249.59761904761905","249.59761904761905","249.59761904761905","290.02322738386306","290.02322738386306","290.02322738386306","3939.6277777777777","3939.6277777777777","3939.6277777777777"
"108","249.83333333333334","249.83333333333334","249.83333333333334","290.97005988023955","290.97005988023955","290.97005988023955","3964.273224043716","3964.273224043716","3964.273224043716"
"112","232.34470158343484","232.34470158343484","232.34470158343484","297.8698710433763","297.8698710433763","297.8698710433763","3848.855670103093","3848.855670103093","3848.855670103093"
"116","265.34149184149186","265.34149184149186","265.34149184149186","314.20023696682466","314.20023696682466","314.20023696682466","3894.778894472362","3894.778894472362","3894.778894472362"
"120","266.0126291618829","266.0126291618829","266.0126291618829","322.261961722488","322.261961722488","322.261961722488","3738.69801980198","3738.69801980198","3738.69801980198"
"124","245.18150289017342","245.18150289017342","245.18150289017342","335.6934731934732","335.6934731934732","335.6934731934732","3928.1614583333335","3928.1614583333335","3928.1614583333335"
"128","244.94324631101023","244.94324631101023","244.94324631101023","346.48960739030025","346.48960739030025","346.48960739030025","3884.5526315789475","3884.5526315789475","3884.5526315789475"
"132","234.73387096774192","234.73387096774192","234.73387096774192","344.0917537746806","344.0917537746806","344.0917537746806","3903.4545454545455","3903.4545454545455","3903.4545454545455"
"136","242.90362811791383","242.90362811791383","242.90362811791383","341.4769053117783","341.4769053117783","341.4769053117783","3826.709497206704","3826.709497206704","3826.709497206704"
"140","239.3348729792148","239.3348729792148","239.3348729792148","349.7712643678161","349.7712643678161","349.7712643678161","3875.8516483516482","3875.8516483516482","3875.8516483516482"
"144","258.82548794489094","258.82548794489094","258.82548794489094","340.27809307604997","340.27809307604997","340.27809307604997","4005.9157303370785","4005.9157303370785","4005.9157303370785"
"148","256.9047619047619","256.9047619047619","256.9047619047619","345.2894438138479","345.2894438138479","345.2894438138479","4027.7885714285712","4027.7885714285712","4027.7885714285712"
"152","271.2156862745098","271.2156862745098","271.2156862745098","337.4200230149597","337.4200230149597","337.4200230149597","4045.76582278481","4045.76582278481","4045.76582278481"
"156","278.6369785794814","278.6369785794814","278.6369785794814","347.4791666666667","347.4791666666667","347.4791666666667","4096","4096","4096"
"160","271.69933184855233","271.69933184855233","271.69933184855233","346.6821266968326","346.6821266968326","346.6821266968326","4026.6705202312137","4026.6705202312137","4026.6705202312137"
"164","263.60091220068415","263.60091220068415","263.60091220068415","350.2802259887006","350.2802259887006","350.2802259887006","3988.8933333333334","3988.8933333333334","3988.8933333333334"
"168","272.45912653975364","272.45912653975364","272.45912653975364","349.2658371040724","349.2658371040724","349.2658371040724","4044.6898734177216","4044.6898734177216","4044.6898734177216"
