"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/MATH500__MAX"
"0","5","5","5","314.75","314.75","314.75","","",""
"4","5","5","5","421","421","421","","",""
"8","216.25","216.25","216.25","448","448","448","","",""
"12","341","341","341","200","200","200","32","32","32"
"16","263.3333333333333","263.3333333333333","263.3333333333333","697.4444444444445","697.4444444444445","697.4444444444445","79","79","79"
"20","244.45454545454547","244.45454545454547","244.45454545454547","267.0769230769231","267.0769230769231","267.0769230769231","2064","2064","2064"
"24","582.1612903225806","582.1612903225806","582.1612903225806","243.05555555555554","243.05555555555554","243.05555555555554","2584","2584","2584"
"28","807.9777777777778","807.9777777777778","807.9777777777778","352.04545454545456","352.04545454545456","352.04545454545456","2361.4285714285716","2361.4285714285716","2361.4285714285716"
"32","669.5714285714286","669.5714285714286","669.5714285714286","762.5","762.5","762.5","1995.5294117647059","1995.5294117647059","1995.5294117647059"
"36","620.1571428571428","620.1571428571428","620.1571428571428","803.35","803.35","803.35","2087.3928571428573","2087.3928571428573","2087.3928571428573"
"40","340.04651162790697","340.04651162790697","340.04651162790697","520.7049180327868","520.7049180327868","520.7049180327868","1751.1136363636363","1751.1136363636363","1751.1136363636363"
"44","324.6868686868687","324.6868686868687","324.6868686868687","307.8068181818182","307.8068181818182","307.8068181818182","2620.021739130435","2620.021739130435","2620.021739130435"
"48","361.77966101694915","361.77966101694915","361.77966101694915","536.3805309734513","536.3805309734513","536.3805309734513","3206.2586206896553","3206.2586206896553","3206.2586206896553"
"52","267.993006993007","267.993006993007","267.993006993007","324.65625","324.65625","324.65625","2905.233333333333","2905.233333333333","2905.233333333333"
"56","344.641975308642","344.641975308642","344.641975308642","309.2142857142857","309.2142857142857","309.2142857142857","3163.6428571428573","3163.6428571428573","3163.6428571428573"
"60","407.42134831460675","407.42134831460675","407.42134831460675","375.9051094890511","375.9051094890511","375.9051094890511","2851.6721311475408","2851.6721311475408","2851.6721311475408"
"64","386.97452229299364","386.97452229299364","386.97452229299364","358.6985294117647","358.6985294117647","358.6985294117647","3166.3384615384616","3166.3384615384616","3166.3384615384616"
"68","458.3105590062112","458.3105590062112","458.3105590062112","368.7482993197279","368.7482993197279","368.7482993197279","3442.573529411765","3442.573529411765","3442.573529411765"
"72","431.02597402597405","431.02597402597405","431.02597402597405","438.4895104895105","438.4895104895105","438.4895104895105","3674.4776119402986","3674.4776119402986","3674.4776119402986"
"76","428.8451612903226","428.8451612903226","428.8451612903226","521.3691275167786","521.3691275167786","521.3691275167786","3711.6451612903224","3711.6451612903224","3711.6451612903224"
"80","442.2716049382716","442.2716049382716","442.2716049382716","437.5660377358491","437.5660377358491","437.5660377358491","3969.828125","3969.828125","3969.828125"
"84","433.87654320987656","433.87654320987656","433.87654320987656","466.7032258064516","466.7032258064516","466.7032258064516","3828.348484848485","3828.348484848485","3828.348484848485"
"88","435.50887573964496","435.50887573964496","435.50887573964496","491.00632911392404","491.00632911392404","491.00632911392404","3980.2714285714287","3980.2714285714287","3980.2714285714287"
"92","445.6666666666667","445.6666666666667","445.6666666666667","475.6829268292683","475.6829268292683","475.6829268292683","4039.6944444444443","4039.6944444444443","4039.6944444444443"
"96","428.1717791411043","428.1717791411043","428.1717791411043","435.81595092024537","435.81595092024537","435.81595092024537","4038.9718309859154","4038.9718309859154","4038.9718309859154"
"100","461.37931034482756","461.37931034482756","461.37931034482756","471.9751552795031","471.9751552795031","471.9751552795031","4096","4096","4096"
"104","514.5029239766081","514.5029239766081","514.5029239766081","492.5090909090909","492.5090909090909","492.5090909090909","3989.5131578947367","3989.5131578947367","3989.5131578947367"
"108","526.1151515151515","526.1151515151515","526.1151515151515","498.0875","498.0875","498.0875","3887.116883116883","3887.116883116883","3887.116883116883"
"112","527.2080924855492","527.2080924855492","527.2080924855492","478.06875","478.06875","478.06875","3996.3456790123455","3996.3456790123455","3996.3456790123455"
"116","541.0175438596491","541.0175438596491","541.0175438596491","502.06410256410254","502.06410256410254","502.06410256410254","4042.3333333333335","4042.3333333333335","4042.3333333333335"
