"Step","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.20B_math.8k_0411_1333 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_1331 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_fm4p.20B_math.8k_0411_1327 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","10","10","10","","","","","",""
"4","194.5","194.5","194.5","44","44","44","","",""
"8","7.5","7.5","7.5","328","328","328","","",""
"12","55","55","55","267.5","267.5","267.5","","",""
"16","86.71428571428571","86.71428571428571","86.71428571428571","238.33333333333334","238.33333333333334","238.33333333333334","4096","4096","4096"
"20","656.0714285714286","656.0714285714286","656.0714285714286","150.5","150.5","150.5","4096","4096","4096"
"24","185.82758620689654","185.82758620689654","185.82758620689654","289.1666666666667","289.1666666666667","289.1666666666667","4096","4096","4096"
"28","200.1627906976744","200.1627906976744","200.1627906976744","178.22222222222223","178.22222222222223","178.22222222222223","4096","4096","4096"
"32","430.1875","430.1875","430.1875","681.3571428571429","681.3571428571429","681.3571428571429","3673.6666666666665","3673.6666666666665","3673.6666666666665"
"36","128.71153846153845","128.71153846153845","128.71153846153845","440","440","440","2921","2921","2921"
"40","49.31372549019608","49.31372549019608","49.31372549019608","408.2142857142857","408.2142857142857","408.2142857142857","2663.72","2663.72","2663.72"
"44","92.32075471698113","92.32075471698113","92.32075471698113","633.475","633.475","633.475","3538.8214285714284","3538.8214285714284","3538.8214285714284"
"48","314.2295081967213","314.2295081967213","314.2295081967213","721.5918367346939","721.5918367346939","721.5918367346939","3278.6666666666665","3278.6666666666665","3278.6666666666665"
"52","413.6190476190476","413.6190476190476","413.6190476190476","589.6923076923077","589.6923076923077","589.6923076923077","3182.5365853658536","3182.5365853658536","3182.5365853658536"
"56","427.5238095238095","427.5238095238095","427.5238095238095","694.7758620689655","694.7758620689655","694.7758620689655","3549.222222222222","3549.222222222222","3549.222222222222"
"60","697.3275862068965","697.3275862068965","697.3275862068965","503.3606557377049","503.3606557377049","503.3606557377049","3431.2619047619046","3431.2619047619046","3431.2619047619046"
"64","743.1060606060606","743.1060606060606","743.1060606060606","589.0166666666667","589.0166666666667","589.0166666666667","3646.318181818182","3646.318181818182","3646.318181818182"
"68","762.3","762.3","762.3","436.5689655172414","436.5689655172414","436.5689655172414","3862.6470588235293","3862.6470588235293","3862.6470588235293"
"72","839.3809523809524","839.3809523809524","839.3809523809524","593.5571428571428","593.5571428571428","593.5571428571428","3921.5434782608695","3921.5434782608695","3921.5434782608695"
"76","762.4920634920635","762.4920634920635","762.4920634920635","636.7741935483871","636.7741935483871","636.7741935483871","4096","4096","4096"
"80","738.4285714285714","738.4285714285714","738.4285714285714","707.8529411764706","707.8529411764706","707.8529411764706","4012.7272727272725","4012.7272727272725","4012.7272727272725"
"84","733.72","733.72","733.72","699.9375","699.9375","699.9375","4096","4096","4096"
"88","784.955223880597","784.955223880597","784.955223880597","700.6833333333333","700.6833333333333","700.6833333333333","4096","4096","4096"
"92","815.7014925373135","815.7014925373135","815.7014925373135","674.2571428571429","674.2571428571429","674.2571428571429","4096","4096","4096"
"96","842.375","842.375","842.375","793.2786885245902","793.2786885245902","793.2786885245902","4096","4096","4096"
"100","676.276923076923","676.276923076923","676.276923076923","723.1176470588235","723.1176470588235","723.1176470588235","4096","4096","4096"
"104","839","839","839","818.2285714285714","818.2285714285714","818.2285714285714","4001.3809523809523","4001.3809523809523","4001.3809523809523"
"108","835.0147058823529","835.0147058823529","835.0147058823529","759.5555555555555","759.5555555555555","759.5555555555555","4005.681818181818","4005.681818181818","4005.681818181818"
"112","963.1038961038961","963.1038961038961","963.1038961038961","791.3333333333334","791.3333333333334","791.3333333333334","4001.3809523809523","4001.3809523809523","4001.3809523809523"
"116","869.0133333333333","869.0133333333333","869.0133333333333","821.5342465753424","821.5342465753424","821.5342465753424","4009.608695652174","4009.608695652174","4009.608695652174"
"120","730.6052631578947","730.6052631578947","730.6052631578947","697.6363636363636","697.6363636363636","697.6363636363636","4005.681818181818","4005.681818181818","4005.681818181818"
"124","731.8205128205128","731.8205128205128","731.8205128205128","713.3058823529411","713.3058823529411","713.3058823529411","4005.681818181818","4005.681818181818","4005.681818181818"
"128","911.931506849315","911.931506849315","911.931506849315","792.4556962025316","792.4556962025316","792.4556962025316","3999.5","3999.5","3999.5"
"132","743","743","743","778.8533333333334","778.8533333333334","778.8533333333334","3997.1463414634145","3997.1463414634145","3997.1463414634145"
"136","982.5714285714286","982.5714285714286","982.5714285714286","858.3108108108108","858.3108108108108","858.3108108108108","3994.675","3994.675","3994.675"
"140","933.1857142857143","933.1857142857143","933.1857142857143","837.9367088607595","837.9367088607595","837.9367088607595","4096","4096","4096"
"144","926.9516129032259","926.9516129032259","926.9516129032259","851.0235294117647","851.0235294117647","851.0235294117647","4096","4096","4096"
"148","950.7027027027027","950.7027027027027","950.7027027027027","931.560975609756","931.560975609756","931.560975609756","4096","4096","4096"
"152","929.2903225806451","929.2903225806451","929.2903225806451","729.6493506493506","729.6493506493506","729.6493506493506","4096","4096","4096"
"156","1140.4027777777778","1140.4027777777778","1140.4027777777778","734.7536231884058","734.7536231884058","734.7536231884058","4096","4096","4096"
"160","1304.7076923076922","1304.7076923076922","1304.7076923076922","809.671052631579","809.671052631579","809.671052631579","4096","4096","4096"
"164","1001.2205882352941","1001.2205882352941","1001.2205882352941","853.4675324675325","853.4675324675325","853.4675324675325","4096","4096","4096"
"168","939.3456790123457","939.3456790123457","939.3456790123457","816.6428571428571","816.6428571428571","816.6428571428571","4096","4096","4096"
"172","1011.9054054054054","1011.9054054054054","1011.9054054054054","739.9285714285714","739.9285714285714","739.9285714285714","4096","4096","4096"
"176","967","967","967","916.0405405405405","916.0405405405405","916.0405405405405","4096","4096","4096"
"180","1084.3815789473683","1084.3815789473683","1084.3815789473683","1005.5074626865671","1005.5074626865671","1005.5074626865671","4096","4096","4096"
"184","912.3734939759037","912.3734939759037","912.3734939759037","821.6027397260274","821.6027397260274","821.6027397260274","4096","4096","4096"
"188","924.0571428571428","924.0571428571428","924.0571428571428","867.0972222222222","867.0972222222222","867.0972222222222","4096","4096","4096"
"192","1036.8481012658228","1036.8481012658228","1036.8481012658228","855.4929577464789","855.4929577464789","855.4929577464789","4096","4096","4096"
"196","1000.5116279069767","1000.5116279069767","1000.5116279069767","779.0714285714286","779.0714285714286","779.0714285714286","4096","4096","4096"
"200","1075.6951219512196","1075.6951219512196","1075.6951219512196","937.2837837837837","937.2837837837837","937.2837837837837","4096","4096","4096"
"204","1024.1927710843374","1024.1927710843374","1024.1927710843374","832.7164179104477","832.7164179104477","832.7164179104477","4096","4096","4096"
"208","974.2337662337662","974.2337662337662","974.2337662337662","937.4166666666666","937.4166666666666","937.4166666666666","4096","4096","4096"
"212","1071.945945945946","1071.945945945946","1071.945945945946","902.3766233766233","902.3766233766233","902.3766233766233","4096","4096","4096"
"216","995.0125","995.0125","995.0125","833.2083333333334","833.2083333333334","833.2083333333334","4096","4096","4096"
"220","977.0759493670886","977.0759493670886","977.0759493670886","812.6486486486486","812.6486486486486","812.6486486486486","4096","4096","4096"
"224","1194.3026315789473","1194.3026315789473","1194.3026315789473","776.1973684210526","776.1973684210526","776.1973684210526","","",""
"228","1138.5","1138.5","1138.5","869.8115942028985","869.8115942028985","869.8115942028985","","",""
"232","1078.7631578947369","1078.7631578947369","1078.7631578947369","839.768115942029","839.768115942029","839.768115942029","","",""
"236","","","","823.972972972973","823.972972972973","823.972972972973","","",""
"240","","","","873.6266666666667","873.6266666666667","873.6266666666667","","",""
"244","","","","865.5277777777778","865.5277777777778","865.5277777777778","","",""
"248","","","","939.3582089552239","939.3582089552239","939.3582089552239","","",""
"252","","","","946.9855072463768","946.9855072463768","946.9855072463768","","",""
"256","","","","962.1447368421053","962.1447368421053","962.1447368421053","","",""
"260","","","","930.1315789473684","930.1315789473684","930.1315789473684","","",""
