"Step","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/AMC23__MAX"
"0","0.025","0.025","0.025","0.025","0.025","0.025","0.05","0.05","0.05"
"4","0.025","0.025","0.025","0.05","0.05","0.05","0.075","0.075","0.075"
"8","0.025","0.025","0.025","0.025","0.025","0.025","0.05","0.05","0.05"
"12","0","0","0","0","0","0","0.025","0.025","0.025"
"16","0","0","0","0.025","0.025","0.025","0.05","0.05","0.05"
"20","0","0","0","0.025","0.025","0.025","0.05","0.05","0.05"
"24","0.025","0.025","0.025","0.05","0.05","0.05","0.075","0.075","0.075"
"28","0.1","0.1","0.1","0.05","0.05","0.05","0.05","0.05","0.05"
"32","0.075","0.075","0.075","0.05","0.05","0.05","0.075","0.075","0.075"
"36","0.05","0.05","0.05","0.025","0.025","0.025","0.075","0.075","0.075"
"40","0.075","0.075","0.075","0.025","0.025","0.025","0.075","0.075","0.075"
"44","0.05","0.05","0.05","0.125","0.125","0.125","0.1","0.1","0.1"
"48","0.025","0.025","0.025","0.125","0.125","0.125","0.075","0.075","0.075"
"52","0.025","0.025","0.025","0.1","0.1","0.1","0.15","0.15","0.15"
"56","0.025","0.025","0.025","0.1","0.1","0.1","0.1","0.1","0.1"
"60","0.025","0.025","0.025","0.125","0.125","0.125","0.175","0.175","0.175"
"64","0.075","0.075","0.075","0.175","0.175","0.175","0.125","0.125","0.125"
"68","0.125","0.125","0.125","0.125","0.125","0.125","0.15","0.15","0.15"
"72","0.175","0.175","0.175","0.1","0.1","0.1","0.1","0.1","0.1"
"76","0.15","0.15","0.15","0.1","0.1","0.1","0.125","0.125","0.125"
"80","0.175","0.175","0.175","0.075","0.075","0.075","0.1","0.1","0.1"
"84","0.2","0.2","0.2","0.15","0.15","0.15","0.1","0.1","0.1"
"88","0.2","0.2","0.2","0.175","0.175","0.175","0.075","0.075","0.075"
"92","0.15","0.15","0.15","0.2","0.2","0.2","0.175","0.175","0.175"
"96","0.075","0.075","0.075","0.25","0.25","0.25","0.125","0.125","0.125"
"100","0.125","0.125","0.125","0.175","0.175","0.175","0.15","0.15","0.15"
"104","0.075","0.075","0.075","0.15","0.15","0.15","0.175","0.175","0.175"
"108","0.125","0.125","0.125","0.2","0.2","0.2","0.15","0.15","0.15"
"112","0.125","0.125","0.125","0.15","0.15","0.15","0.1","0.1","0.1"
"116","0.2","0.2","0.2","0.1","0.1","0.1","0.15","0.15","0.15"
"120","0.1","0.1","0.1","0.125","0.125","0.125","0.175","0.175","0.175"
"124","0.125","0.125","0.125","0.275","0.275","0.275","0.1","0.1","0.1"
"128","0.175","0.175","0.175","0.225","0.225","0.225","0.1","0.1","0.1"
"132","0.125","0.125","0.125","0.175","0.175","0.175","0.2","0.2","0.2"
"136","0.15","0.15","0.15","0.225","0.225","0.225","0.15","0.15","0.15"
"140","0.175","0.175","0.175","0.225","0.225","0.225","0.175","0.175","0.175"
"144","0.15","0.15","0.15","0.15","0.15","0.15","0.075","0.075","0.075"
"148","0.125","0.125","0.125","0.2","0.2","0.2","0.15","0.15","0.15"
"152","0.15","0.15","0.15","0.175","0.175","0.175","0.175","0.175","0.175"
"156","0.15","0.15","0.15","0.175","0.175","0.175","0.25","0.25","0.25"
"160","0.15","0.15","0.15","0.225","0.225","0.225","0.175","0.175","0.175"
"164","0.15","0.15","0.15","0.2","0.2","0.2","0.25","0.25","0.25"
"168","0.125","0.125","0.125","0.15","0.15","0.15","0.1","0.1","0.1"
"172","0.175","0.175","0.175","0.15","0.15","0.15","0.125","0.125","0.125"
"176","0.175","0.175","0.175","0.125","0.125","0.125","0.125","0.125","0.125"
"180","0.125","0.125","0.125","0.15","0.15","0.15","0.15","0.15","0.15"
"184","0.15","0.15","0.15","0.225","0.225","0.225","0.1","0.1","0.1"
"188","0.15","0.15","0.15","0.15","0.15","0.15","0.1","0.1","0.1"
"192","0.1","0.1","0.1","0.2","0.2","0.2","0.15","0.15","0.15"
"196","0.125","0.125","0.125","0.175","0.175","0.175","0.15","0.15","0.15"
"200","0.175","0.175","0.175","0.15","0.15","0.15","0.125","0.125","0.125"
"204","0.125","0.125","0.125","0.15","0.15","0.15","0.15","0.15","0.15"
"208","0.125","0.125","0.125","0.15","0.15","0.15","0.2","0.2","0.2"
"212","0.25","0.25","0.25","","","","0.15","0.15","0.15"
"216","0.15","0.15","0.15","","","","0.125","0.125","0.125"
"220","0.1","0.1","0.1","","","","0.1","0.1","0.1"
"224","0.1","0.1","0.1","","","","0.1","0.1","0.1"
"228","0.15","0.15","0.15","","","","0.05","0.05","0.05"
"232","0.125","0.125","0.125","","","","","",""
