"Step","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/GSM8k__MAX"
"0","0","0","0","0.014404852160727824","0.014404852160727824","0.014404852160727824","0.022744503411675512","0.022744503411675512","0.022744503411675512"
"4","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.01288855193328279","0.01288855193328279","0.01288855193328279","0.02047005307050796","0.02047005307050796","0.02047005307050796"
"8","0","0","0","0.014404852160727824","0.014404852160727824","0.014404852160727824","0.02880970432145565","0.02880970432145565","0.02880970432145565"
"12","0","0","0","0.01592115238817286","0.01592115238817286","0.01592115238817286","0.04852160727824109","0.04852160727824109","0.04852160727824109"
"16","0","0","0","0.017437452615617893","0.017437452615617893","0.017437452615617893","0.06368460955269144","0.06368460955269144","0.06368460955269144"
"20","0","0","0","0.024260803639120546","0.024260803639120546","0.024260803639120546","0.09628506444275967","0.09628506444275967","0.09628506444275967"
"24","0","0","0","0.030326004548900682","0.030326004548900682","0.030326004548900682","0.13874147081122062","0.13874147081122062","0.13874147081122062"
"28","0","0","0","0.04169825625473844","0.04169825625473844","0.04169825625473844","0.18423047763457165","0.18423047763457165","0.18423047763457165"
"32","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.0841546626231994","0.0841546626231994","0.0841546626231994","0.28658074298711145","0.28658074298711145","0.28658074298711145"
"36","0.003032600454890068","0.003032600454890068","0.003032600454890068","0.17437452615617893","0.17437452615617893","0.17437452615617893","0.31387414708112205","0.31387414708112205","0.31387414708112205"
"40","0.006065200909780136","0.006065200909780136","0.006065200909780136","0.20166793025018953","0.20166793025018953","0.20166793025018953","0.514783927217589","0.514783927217589","0.514783927217589"
"44","0.0576194086429113","0.0576194086429113","0.0576194086429113","0.6277482941622441","0.6277482941622441","0.6277482941622441","0.6027293404094011","0.6027293404094011","0.6027293404094011"
"48","0.1516300227445034","0.1516300227445034","0.1516300227445034","0.6504927975739196","0.6504927975739196","0.6504927975739196","0.6322971948445792","0.6322971948445792","0.6322971948445792"
"52","0.17134192570128887","0.17134192570128887","0.17134192570128887","0.6557998483699773","0.6557998483699773","0.6557998483699773","0.6474601971190296","0.6474601971190296","0.6474601971190296"
"56","0.14025777103866566","0.14025777103866566","0.14025777103866566","0.6633813495072024","0.6633813495072024","0.6633813495072024","0.6512509476876421","0.6512509476876421","0.6512509476876421"
"60","0.1288855193328279","0.1288855193328279","0.1288855193328279","0.6709628506444276","0.6709628506444276","0.6709628506444276","0.6322971948445792","0.6322971948445792","0.6322971948445792"
"64","0.16906747536012132","0.16906747536012132","0.16906747536012132","0.6747536012130402","0.6747536012130402","0.6747536012130402","0.6376042456406369","0.6376042456406369","0.6376042456406369"
"68","0.5428354814253222","0.5428354814253222","0.5428354814253222","0.6793025018953753","0.6793025018953753","0.6793025018953753","0.6482183472327521","0.6482183472327521","0.6482183472327521"
"72","0.6050037907505686","0.6050037907505686","0.6050037907505686","0.6929492039423806","0.6929492039423806","0.6929492039423806","0.6626231993934799","0.6626231993934799","0.6626231993934799"
"76","0.620166793025019","0.620166793025019","0.620166793025019","0.686125852918878","0.686125852918878","0.686125852918878","0.6550416982562547","0.6550416982562547","0.6550416982562547"
"80","0.6186504927975739","0.6186504927975739","0.6186504927975739","0.6868840030326004","0.6868840030326004","0.6868840030326004","0.6648976497346475","0.6648976497346475","0.6648976497346475"
"84","0.6178923426838514","0.6178923426838514","0.6178923426838514","0.6929492039423806","0.6929492039423806","0.6929492039423806","0.6732373009855952","0.6732373009855952","0.6732373009855952"
"88","0.6163760424564063","0.6163760424564063","0.6163760424564063","0.7043214556482184","0.7043214556482184","0.7043214556482184","0.6793025018953753","0.6793025018953753","0.6793025018953753"
"92","0.6194086429112965","0.6194086429112965","0.6194086429112965","0.6830932524639879","0.6830932524639879","0.6830932524639879","0.6899166034874905","0.6899166034874905","0.6899166034874905"
"96","0.6315390447308568","0.6315390447308568","0.6315390447308568","0.6853677028051555","0.6853677028051555","0.6853677028051555","0.6800606520090978","0.6800606520090978","0.6800606520090978"
"100","0.620166793025019","0.620166793025019","0.620166793025019","0.6762699014404853","0.6762699014404853","0.6762699014404853","0.6777862016679302","0.6777862016679302","0.6777862016679302"
"104","0.6178923426838514","0.6178923426838514","0.6178923426838514","0.689158453373768","0.689158453373768","0.689158453373768","0.6914329037149356","0.6914329037149356","0.6914329037149356"
"108","0.624715693707354","0.624715693707354","0.624715693707354","0.7073540561031084","0.7073540561031084","0.7073540561031084","0.6732373009855952","0.6732373009855952","0.6732373009855952"
"112","0.6330553449583017","0.6330553449583017","0.6330553449583017","0.7058377558756633","0.7058377558756633","0.7058377558756633","0.6724791508718726","0.6724791508718726","0.6724791508718726"
"116","0.6269901440485216","0.6269901440485216","0.6269901440485216","0.7035633055344959","0.7035633055344959","0.7035633055344959","0.6853677028051555","0.6853677028051555","0.6853677028051555"
"120","0.6080363912054587","0.6080363912054587","0.6080363912054587","0.7020470053070508","0.7020470053070508","0.7020470053070508","0.6793025018953753","0.6793025018953753","0.6793025018953753"
"124","0.6133434420015162","0.6133434420015162","0.6133434420015162","0.7028051554207733","0.7028051554207733","0.7028051554207733","0.6671721000758151","0.6671721000758151","0.6671721000758151"
"128","0.6277482941622441","0.6277482941622441","0.6277482941622441","0.6959818043972706","0.6959818043972706","0.6959818043972706","0.6580742987111448","0.6580742987111448","0.6580742987111448"
"132","0.6391205458680819","0.6391205458680819","0.6391205458680819","0.7050796057619408","0.7050796057619408","0.7050796057619408","0.6717210007581501","0.6717210007581501","0.6717210007581501"
"136","0.6163760424564063","0.6163760424564063","0.6163760424564063","0.6959818043972706","0.6959818043972706","0.6959818043972706","0.6755117513267627","0.6755117513267627","0.6755117513267627"
"140","0.6262319939347991","0.6262319939347991","0.6262319939347991","0.6937073540561031","0.6937073540561031","0.6937073540561031","0.6914329037149356","0.6914329037149356","0.6914329037149356"
"144","0.6307808946171342","0.6307808946171342","0.6307808946171342","0.7103866565579985","0.7103866565579985","0.7103866565579985","0.6914329037149356","0.6914329037149356","0.6914329037149356"
