"Step","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/MATH500__MAX"
"0","0.002","0.002","0.002","0.02","0.02","0.02","0.016","0.016","0.016"
"4","0.002","0.002","0.002","0.022","0.022","0.022","0.02","0.02","0.02"
"8","0.008","0.008","0.008","0.03","0.03","0.03","0.03","0.03","0.03"
"12","0.006","0.006","0.006","0.024","0.024","0.024","0.05","0.05","0.05"
"16","0.004","0.004","0.004","0.032","0.032","0.032","0.054","0.054","0.054"
"20","0.01","0.01","0.01","0.05","0.05","0.05","0.07","0.07","0.07"
"24","0.024","0.024","0.024","0.072","0.072","0.072","0.082","0.082","0.082"
"28","0.058","0.058","0.058","0.106","0.106","0.106","0.108","0.108","0.108"
"32","0.076","0.076","0.076","0.13","0.13","0.13","0.134","0.134","0.134"
"36","0.102","0.102","0.102","0.138","0.138","0.138","0.156","0.156","0.156"
"40","0.096","0.096","0.096","0.166","0.166","0.166","0.262","0.262","0.262"
"44","0.124","0.124","0.124","0.292","0.292","0.292","0.312","0.312","0.312"
"48","0.122","0.122","0.122","0.318","0.318","0.318","0.346","0.346","0.346"
"52","0.136","0.136","0.136","0.346","0.346","0.346","0.368","0.368","0.368"
"56","0.132","0.132","0.132","0.352","0.352","0.352","0.336","0.336","0.336"
"60","0.14","0.14","0.14","0.354","0.354","0.354","0.368","0.368","0.368"
"64","0.156","0.156","0.156","0.348","0.348","0.348","0.356","0.356","0.356"
"68","0.238","0.238","0.238","0.378","0.378","0.378","0.354","0.354","0.354"
"72","0.276","0.276","0.276","0.366","0.366","0.366","0.356","0.356","0.356"
"76","0.286","0.286","0.286","0.384","0.384","0.384","0.37","0.37","0.37"
"80","0.29","0.29","0.29","0.388","0.388","0.388","0.398","0.398","0.398"
"84","0.29","0.29","0.29","0.39","0.39","0.39","0.38","0.38","0.38"
"88","0.306","0.306","0.306","0.37","0.37","0.37","0.368","0.368","0.368"
"92","0.296","0.296","0.296","0.39","0.39","0.39","0.388","0.388","0.388"
"96","0.326","0.326","0.326","0.356","0.356","0.356","0.402","0.402","0.402"
"100","0.3","0.3","0.3","0.382","0.382","0.382","0.398","0.398","0.398"
"104","0.316","0.316","0.316","0.388","0.388","0.388","0.37","0.37","0.37"
"108","0.32","0.32","0.32","0.372","0.372","0.372","0.368","0.368","0.368"
"112","0.33","0.33","0.33","0.366","0.366","0.366","0.384","0.384","0.384"
"116","0.342","0.342","0.342","0.39","0.39","0.39","0.376","0.376","0.376"
"120","0.338","0.338","0.338","0.416","0.416","0.416","0.392","0.392","0.392"
"124","0.318","0.318","0.318","0.404","0.404","0.404","0.382","0.382","0.382"
"128","0.318","0.318","0.318","0.404","0.404","0.404","0.376","0.376","0.376"
"132","0.328","0.328","0.328","0.388","0.388","0.388","0.364","0.364","0.364"
"136","0.334","0.334","0.334","0.412","0.412","0.412","0.36","0.36","0.36"
"140","0.338","0.338","0.338","0.41","0.41","0.41","0.37","0.37","0.37"
"144","0.326","0.326","0.326","0.402","0.402","0.402","0.36","0.36","0.36"
"148","0.332","0.332","0.332","0.424","0.424","0.424","0.37","0.37","0.37"
"152","0.348","0.348","0.348","0.382","0.382","0.382","0.384","0.384","0.384"
"156","0.324","0.324","0.324","0.376","0.376","0.376","0.386","0.386","0.386"
"160","0.316","0.316","0.316","0.384","0.384","0.384","0.366","0.366","0.366"
"164","0.314","0.314","0.314","0.368","0.368","0.368","0.376","0.376","0.376"
"168","0.316","0.316","0.316","0.394","0.394","0.394","0.396","0.396","0.396"
"172","0.308","0.308","0.308","0.4","0.4","0.4","0.376","0.376","0.376"
"176","0.316","0.316","0.316","0.406","0.406","0.406","0.378","0.378","0.378"
"180","0.318","0.318","0.318","0.406","0.406","0.406","0.394","0.394","0.394"
"184","0.314","0.314","0.314","0.392","0.392","0.392","0.38","0.38","0.38"
"188","0.328","0.328","0.328","0.4","0.4","0.4","0.344","0.344","0.344"
"192","0.33","0.33","0.33","0.42","0.42","0.42","0.386","0.386","0.386"
"196","0.354","0.354","0.354","0.422","0.422","0.422","0.384","0.384","0.384"
"200","0.334","0.334","0.334","0.402","0.402","0.402","0.386","0.386","0.386"
"204","0.348","0.348","0.348","0.412","0.412","0.412","0.394","0.394","0.394"
"208","0.346","0.346","0.346","0.394","0.394","0.394","0.4","0.4","0.4"
"212","0.354","0.354","0.354","","","","0.388","0.388","0.388"
"216","0.336","0.336","0.336","","","","0.39","0.39","0.39"
"220","0.318","0.318","0.318","","","","0.38","0.38","0.38"
"224","0.308","0.308","0.308","","","","0.404","0.404","0.404"
"228","0.328","0.328","0.328","","","","0.388","0.388","0.388"
"232","0.346","0.346","0.346","","","","","",""
"236","0.338","0.338","0.338","","","","","",""
"240","0.33","0.33","0.33","","","","","",""
"244","0.334","0.334","0.334","","","","","",""
"248","0.348","0.348","0.348","","","","","",""
"252","0.338","0.338","0.338","","","","","",""
"256","0.31","0.31","0.31","","","","","",""
"260","0.34","0.34","0.34","","","","","",""
"264","0.33","0.33","0.33","","","","","",""
"268","0.328","0.328","0.328","","","","","",""
"272","0.344","0.344","0.344","","","","","",""
"276","0.33","0.33","0.33","","","","","",""
