"Step","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val/test_score/OlympiadBench__MAX"
"0","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376","0","0","0","0.005943536404160475","0.005943536404160475","0.005943536404160475"
"4","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.004457652303120356","0.004457652303120356","0.004457652303120356"
"8","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188","0.004457652303120356","0.004457652303120356","0.004457652303120356","0.007429420505200594","0.007429420505200594","0.007429420505200594"
"12","0.004457652303120356","0.004457652303120356","0.004457652303120356","0.005943536404160475","0.005943536404160475","0.005943536404160475","0.008915304606240713","0.008915304606240713","0.008915304606240713"
"16","0.01188707280832095","0.01188707280832095","0.01188707280832095","0.01634472511144131","0.01634472511144131","0.01634472511144131","0.008915304606240713","0.008915304606240713","0.008915304606240713"
"20","0.02526002971768202","0.02526002971768202","0.02526002971768202","0.02674591381872214","0.02674591381872214","0.02674591381872214","0.01337295690936107","0.01337295690936107","0.01337295690936107"
"24","0.03417533432392273","0.03417533432392273","0.03417533432392273","0.04309063893016345","0.04309063893016345","0.04309063893016345","0.03268945022288262","0.03268945022288262","0.03268945022288262"
"28","0.05200594353640416","0.05200594353640416","0.05200594353640416","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.04606240713224369","0.04606240713224369","0.04606240713224369"
"32","0.06983655274888559","0.06983655274888559","0.06983655274888559","0.08320950965824665","0.08320950965824665","0.08320950965824665","0.08172362555720654","0.08172362555720654","0.08172362555720654"
"36","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.07726597325408618","0.07726597325408618","0.07726597325408618","0.08320950965824665","0.08320950965824665","0.08320950965824665"
"40","0.07429420505200594","0.07429420505200594","0.07429420505200594","0.08172362555720654","0.08172362555720654","0.08172362555720654","0.09361069836552749","0.09361069836552749","0.09361069836552749"
"44","0.06240713224368499","0.06240713224368499","0.06240713224368499","0.10104011887072809","0.10104011887072809","0.10104011887072809","0.09658246656760773","0.09658246656760773","0.09658246656760773"
"48","0.07280832095096583","0.07280832095096583","0.07280832095096583","0.0950965824665676","0.0950965824665676","0.0950965824665676","0.11144130757800892","0.11144130757800892","0.11144130757800892"
"52","0.07578008915304606","0.07578008915304606","0.07578008915304606","0.11441307578008915","0.11441307578008915","0.11441307578008915","0.09806835066864784","0.09806835066864784","0.09806835066864784"
