"Step","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/AMC23__MAX"
"0","5","5","5","219","219","219","114","114","114"
"4","5","5","5","151.5","151.5","151.5","395.3333333333333","395.3333333333333","395.3333333333333"
"8","5","5","5","303","303","303","111.5","111.5","111.5"
"12","","","","","","","5","5","5"
"16","","","","368","368","368","108.5","108.5","108.5"
"20","","","","93","93","93","124.5","124.5","124.5"
"24","285","285","285","4096","4096","4096","444.3333333333333","444.3333333333333","444.3333333333333"
"28","1098.25","1098.25","1098.25","160","160","160","208","208","208"
"32","99","99","99","213.5","213.5","213.5","66.66666666666667","66.66666666666667","66.66666666666667"
"36","90","90","90","7","7","7","91.33333333333333","91.33333333333333","91.33333333333333"
"40","140.33333333333334","140.33333333333334","140.33333333333334","7","7","7","538.6666666666666","538.6666666666666","538.6666666666666"
"44","2051.5","2051.5","2051.5","408.8","408.8","408.8","627.25","627.25","627.25"
"48","5","5","5","403.8","403.8","403.8","292","292","292"
"52","5","5","5","432.5","432.5","432.5","673.5","673.5","673.5"
"56","5","5","5","455","455","455","272","272","272"
"60","5","5","5","713","713","713","377.85714285714283","377.85714285714283","377.85714285714283"
"64","5","5","5","804.5714285714286","804.5714285714286","804.5714285714286","484.6","484.6","484.6"
"68","1677","1677","1677","495.2","495.2","495.2","968.1666666666666","968.1666666666666","968.1666666666666"
"72","992.8571428571429","992.8571428571429","992.8571428571429","677.75","677.75","677.75","861.25","861.25","861.25"
"76","1720","1720","1720","428.5","428.5","428.5","691.6","691.6","691.6"
"80","1042.857142857143","1042.857142857143","1042.857142857143","374","374","374","594.75","594.75","594.75"
"84","1285.375","1285.375","1285.375","713","713","713","716.25","716.25","716.25"
"88","798.75","798.75","798.75","615.4285714285714","615.4285714285714","615.4285714285714","451.3333333333333","451.3333333333333","451.3333333333333"
"92","942.1666666666666","942.1666666666666","942.1666666666666","687.5","687.5","687.5","609.2857142857143","609.2857142857143","609.2857142857143"
"96","657.3333333333334","657.3333333333334","657.3333333333334","597.7","597.7","597.7","746","746","746"
"100","625.2","625.2","625.2","559.1428571428571","559.1428571428571","559.1428571428571","888","888","888"
"104","306.3333333333333","306.3333333333333","306.3333333333333","556.6666666666666","556.6666666666666","556.6666666666666","1138.857142857143","1138.857142857143","1138.857142857143"
"108","776.6","776.6","776.6","616.75","616.75","616.75","1321","1321","1321"
"112","780.4","780.4","780.4","723.3333333333334","723.3333333333334","723.3333333333334","600.25","600.25","600.25"
"116","818.625","818.625","818.625","608.25","608.25","608.25","722.1666666666666","722.1666666666666","722.1666666666666"
"120","735.25","735.25","735.25","967.2","967.2","967.2","516.2857142857143","516.2857142857143","516.2857142857143"
"124","1435.2","1435.2","1435.2","1246.2727272727273","1246.2727272727273","1246.2727272727273","339.25","339.25","339.25"
"128","568","568","568","1947","1947","1947","508.25","508.25","508.25"
"132","1381.8","1381.8","1381.8","498.7142857142857","498.7142857142857","498.7142857142857","960.875","960.875","960.875"
"136","777.3333333333334","777.3333333333334","777.3333333333334","822.7777777777778","822.7777777777778","822.7777777777778","1193.3333333333333","1193.3333333333333","1193.3333333333333"
"140","763.4285714285714","763.4285714285714","763.4285714285714","1009.7777777777778","1009.7777777777778","1009.7777777777778","937.7142857142857","937.7142857142857","937.7142857142857"
"144","928.1666666666666","928.1666666666666","928.1666666666666","594.1666666666666","594.1666666666666","594.1666666666666","1188.3333333333333","1188.3333333333333","1188.3333333333333"
"148","934.6","934.6","934.6","1320.25","1320.25","1320.25","634","634","634"
"152","501","501","501","646.4285714285714","646.4285714285714","646.4285714285714","779.4285714285714","779.4285714285714","779.4285714285714"
"156","1642.1666666666667","1642.1666666666667","1642.1666666666667","752","752","752","975.1","975.1","975.1"
"160","1690.1666666666667","1690.1666666666667","1690.1666666666667","1041.7777777777778","1041.7777777777778","1041.7777777777778","778","778","778"
"164","1128.6666666666667","1128.6666666666667","1128.6666666666667","850.125","850.125","850.125","593.6","593.6","593.6"
"168","728.8","728.8","728.8","717.1666666666666","717.1666666666666","717.1666666666666","1303.25","1303.25","1303.25"
"172","1194.5714285714287","1194.5714285714287","1194.5714285714287","873.3333333333334","873.3333333333334","873.3333333333334","1008","1008","1008"
"176","1160.5714285714287","1160.5714285714287","1160.5714285714287","694.8","694.8","694.8","951","951","951"
"180","1120","1120","1120","1348.5","1348.5","1348.5","686.3333333333334","686.3333333333334","686.3333333333334"
"184","1253.3333333333333","1253.3333333333333","1253.3333333333333","1149.5555555555557","1149.5555555555557","1149.5555555555557","633.5","633.5","633.5"
"188","1076","1076","1076","1299.5","1299.5","1299.5","393.5","393.5","393.5"
"192","892","892","892","2276.375","2276.375","2276.375","611.1666666666666","611.1666666666666","611.1666666666666"
"196","1326.6","1326.6","1326.6","1132","1132","1132","782","782","782"
"200","952.7142857142857","952.7142857142857","952.7142857142857","509.6666666666667","509.6666666666667","509.6666666666667","808","808","808"
"204","1575.4","1575.4","1575.4","1684","1684","1684","533.5","533.5","533.5"
"208","1676.6","1676.6","1676.6","2287.8333333333335","2287.8333333333335","2287.8333333333335","998","998","998"
"212","1050.1","1050.1","1050.1","","","","1046.5","1046.5","1046.5"
"216","1240.8333333333333","1240.8333333333333","1240.8333333333333","","","","874.8","874.8","874.8"
"220","1264.25","1264.25","1264.25","","","","1177.5","1177.5","1177.5"
"224","1692.75","1692.75","1692.75","","","","503.75","503.75","503.75"
"228","777.3333333333334","777.3333333333334","777.3333333333334","","","","276.5","276.5","276.5"
"232","785.4","785.4","785.4","","","","","",""
"236","1687.1666666666667","1687.1666666666667","1687.1666666666667","","","","","",""
"240","1422.75","1422.75","1422.75","","","","","",""
"244","1415.1666666666667","1415.1666666666667","1415.1666666666667","","","","","",""
"248","890.1428571428571","890.1428571428571","890.1428571428571","","","","","",""
"252","955.8888888888889","955.8888888888889","955.8888888888889","","","","","",""
"256","1340.3333333333333","1340.3333333333333","1340.3333333333333","","","","","",""
"260","1791.6","1791.6","1791.6","","","","","",""
"264","1394.1666666666667","1394.1666666666667","1394.1666666666667","","","","","",""
"268","1207.6","1207.6","1207.6","","","","","",""
"272","687.25","687.25","687.25","","","","","",""
"276","980.6666666666666","980.6666666666666","980.6666666666666","","","","","",""
