"Step","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/GSM8k__MAX"
"0","","","","172.78947368421052","172.78947368421052","172.78947368421052","147.8","147.8","147.8"
"4","200","200","200","152.23529411764707","152.23529411764707","152.23529411764707","153","153","153"
"8","","","","168.42105263157896","168.42105263157896","168.42105263157896","158.26315789473685","158.26315789473685","158.26315789473685"
"12","","","","157.57142857142858","157.57142857142858","157.57142857142858","162.484375","162.484375","162.484375"
"16","","","","174.69565217391303","174.69565217391303","174.69565217391303","186.92857142857142","186.92857142857142","186.92857142857142"
"20","","","","155.34375","155.34375","155.34375","165.03149606299212","165.03149606299212","165.03149606299212"
"24","","","","175.3","175.3","175.3","181.11475409836066","181.11475409836066","181.11475409836066"
"28","","","","220.54545454545453","220.54545454545453","220.54545454545453","192.30041152263374","192.30041152263374","192.30041152263374"
"32","89","89","89","216.73873873873873","216.73873873873873","216.73873873873873","226.87301587301587","226.87301587301587","226.87301587301587"
"36","178.25","178.25","178.25","136.0782608695652","136.0782608695652","136.0782608695652","216.63768115942028","216.63768115942028","216.63768115942028"
"40","194.375","194.375","194.375","93.9812030075188","93.9812030075188","93.9812030075188","200.0721649484536","200.0721649484536","200.0721649484536"
"44","278.38157894736844","278.38157894736844","278.38157894736844","196.7548309178744","196.7548309178744","196.7548309178744","224.05786163522012","224.05786163522012","224.05786163522012"
"48","205.23","205.23","205.23","215.53146853146853","215.53146853146853","215.53146853146853","180.19424460431654","180.19424460431654","180.19424460431654"
"52","197.22566371681415","197.22566371681415","197.22566371681415","222.06011560693642","222.06011560693642","222.06011560693642","191.1463700234192","191.1463700234192","191.1463700234192"
"56","49.25945945945946","49.25945945945946","49.25945945945946","230.33257142857144","230.33257142857144","230.33257142857144","194.48544819557625","194.48544819557625","194.48544819557625"
"60","21.541176470588237","21.541176470588237","21.541176470588237","239.73220338983052","239.73220338983052","239.73220338983052","200.47242206235012","200.47242206235012","200.47242206235012"
"64","71.11659192825113","71.11659192825113","71.11659192825113","248.04157303370786","248.04157303370786","248.04157303370786","214.78359096313912","214.78359096313912","214.78359096313912"
"68","196.2667597765363","196.2667597765363","196.2667597765363","260.04910714285717","260.04910714285717","260.04910714285717","222.12280701754386","222.12280701754386","222.12280701754386"
