"Step","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/MATH500__MAX"
"0","291","291","291","309.5","309.5","309.5","166.125","166.125","166.125"
"4","384","384","384","314.45454545454544","314.45454545454544","314.45454545454544","467.9","467.9","467.9"
"8","279.25","279.25","279.25","410.8","410.8","410.8","269.6","269.6","269.6"
"12","245.33333333333334","245.33333333333334","245.33333333333334","467.1666666666667","467.1666666666667","467.1666666666667","272.48","272.48","272.48"
"16","126.5","126.5","126.5","315.3125","315.3125","315.3125","374","374","374"
"20","89.8","89.8","89.8","291.36","291.36","291.36","232.45714285714286","232.45714285714286","232.45714285714286"
"24","119.08333333333333","119.08333333333333","119.08333333333333","253.19444444444446","253.19444444444446","253.19444444444446","250.8048780487805","250.8048780487805","250.8048780487805"
"28","456.7931034482759","456.7931034482759","456.7931034482759","371.4339622641509","371.4339622641509","371.4339622641509","338.1111111111111","338.1111111111111","338.1111111111111"
"32","436.5263157894737","436.5263157894737","436.5263157894737","266.44615384615383","266.44615384615383","266.44615384615383","385.14925373134326","385.14925373134326","385.14925373134326"
"36","530.1372549019608","530.1372549019608","530.1372549019608","65.53623188405797","65.53623188405797","65.53623188405797","275.1666666666667","275.1666666666667","275.1666666666667"
"40","737.75","737.75","737.75","106.144578313253","106.144578313253","106.144578313253","244.16030534351145","244.16030534351145","244.16030534351145"
"44","675.6290322580645","675.6290322580645","675.6290322580645","294.95205479452056","294.95205479452056","294.95205479452056","323.65384615384613","323.65384615384613","323.65384615384613"
"48","89.36065573770492","89.36065573770492","89.36065573770492","289.66037735849056","289.66037735849056","289.66037735849056","339.3815028901734","339.3815028901734","339.3815028901734"
"52","34.98529411764706","34.98529411764706","34.98529411764706","381.2080924855491","381.2080924855491","381.2080924855491","389.9673913043478","389.9673913043478","389.9673913043478"
"56","22.015151515151516","22.015151515151516","22.015151515151516","378.91477272727275","378.91477272727275","378.91477272727275","396.38690476190476","396.38690476190476","396.38690476190476"
"60","20.057142857142857","20.057142857142857","20.057142857142857","417.96045197740114","417.96045197740114","417.96045197740114","365.3097826086956","365.3097826086956","365.3097826086956"
"64","130.23076923076923","130.23076923076923","130.23076923076923","426.4712643678161","426.4712643678161","426.4712643678161","411.0280898876405","411.0280898876405","411.0280898876405"
"68","261.10084033613447","261.10084033613447","261.10084033613447","442.0740740740741","442.0740740740741","442.0740740740741","423.01129943502826","423.01129943502826","423.01129943502826"
"72","362.57246376811594","362.57246376811594","362.57246376811594","454.4918032786885","454.4918032786885","454.4918032786885","409.3370786516854","409.3370786516854","409.3370786516854"
"76","397.8111888111888","397.8111888111888","397.8111888111888","457.8541666666667","457.8541666666667","457.8541666666667","442.03783783783786","442.03783783783786","442.03783783783786"
"80","376.63448275862066","376.63448275862066","376.63448275862066","433.5103092783505","433.5103092783505","433.5103092783505","511.99497487437185","511.99497487437185","511.99497487437185"
"84","423.49655172413793","423.49655172413793","423.49655172413793","474.5692307692308","474.5692307692308","474.5692307692308","473.4736842105263","473.4736842105263","473.4736842105263"
"88","382.60130718954247","382.60130718954247","382.60130718954247","487.92432432432435","487.92432432432435","487.92432432432435","500.9945652173913","500.9945652173913","500.9945652173913"
"92","425.85135135135135","425.85135135135135","425.85135135135135","475.3897435897436","475.3897435897436","475.3897435897436","497.0360824742268","497.0360824742268","497.0360824742268"
"96","392.87116564417175","392.87116564417175","392.87116564417175","484.41011235955057","484.41011235955057","484.41011235955057","492.00995024875624","492.00995024875624","492.00995024875624"
"100","380.88666666666666","380.88666666666666","380.88666666666666","541.17277486911","541.17277486911","541.17277486911","506.89447236180905","506.89447236180905","506.89447236180905"
"104","406.0632911392405","406.0632911392405","406.0632911392405","480.8453608247423","480.8453608247423","480.8453608247423","507.85945945945946","507.85945945945946","507.85945945945946"
"108","389.24375","389.24375","389.24375","516.8548387096774","516.8548387096774","516.8548387096774","460.1521739130435","460.1521739130435","460.1521739130435"
"112","401.1515151515151","401.1515151515151","401.1515151515151","475.3606557377049","475.3606557377049","475.3606557377049","519.4479166666666","519.4479166666666","519.4479166666666"
