"Step","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.20B_math.8k_0411_2209 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.100B_math.8k_0411_1425 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mm.web.pro.plus.70B_math.8k_0411_1425 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","7.5","7.5","7.5","","","","228.25","228.25","228.25"
"4","10","10","10","172","172","172","717.6666666666666","717.6666666666666","717.6666666666666"
"8","10","10","10","79.66666666666667","79.66666666666667","79.66666666666667","202.8","202.8","202.8"
"12","41.666666666666664","41.666666666666664","41.666666666666664","144","144","144","214.5","214.5","214.5"
"16","523","523","523","148.72727272727272","148.72727272727272","148.72727272727272","182","182","182"
"20","43.76470588235294","43.76470588235294","43.76470588235294","482.1111111111111","482.1111111111111","482.1111111111111","673.6666666666666","673.6666666666666","673.6666666666666"
"24","453.60869565217394","453.60869565217394","453.60869565217394","293.86206896551727","293.86206896551727","293.86206896551727","594.2727272727273","594.2727272727273","594.2727272727273"
"28","682.8285714285714","682.8285714285714","682.8285714285714","480.90909090909093","480.90909090909093","480.90909090909093","439.0967741935484","439.0967741935484","439.0967741935484"
"32","909.2765957446809","909.2765957446809","909.2765957446809","150.64285714285714","150.64285714285714","150.64285714285714","375.5090909090909","375.5090909090909","375.5090909090909"
"36","668.4090909090909","668.4090909090909","668.4090909090909","13.48076923076923","13.48076923076923","13.48076923076923","270.07142857142856","270.07142857142856","270.07142857142856"
"40","693.06","693.06","693.06","72.96363636363637","72.96363636363637","72.96363636363637","416.3333333333333","416.3333333333333","416.3333333333333"
"44","603.8809523809524","603.8809523809524","603.8809523809524","567.0294117647059","567.0294117647059","567.0294117647059","482.6","482.6","482.6"
"48","328.48979591836735","328.48979591836735","328.48979591836735","482.46875","482.46875","482.46875","690.4266666666666","690.4266666666666","690.4266666666666"
"52","84.29411764705883","84.29411764705883","84.29411764705883","496.2987012987013","496.2987012987013","496.2987012987013","645.8484848484849","645.8484848484849","645.8484848484849"
"56","5.673913043478261","5.673913043478261","5.673913043478261","590.3037974683544","590.3037974683544","590.3037974683544","499.13793103448273","499.13793103448273","499.13793103448273"
"60","94.58695652173913","94.58695652173913","94.58695652173913","746.8214285714286","746.8214285714286","746.8214285714286","603.1506849315068","603.1506849315068","603.1506849315068"
"64","15.911111111111111","15.911111111111111","15.911111111111111","741.5875","741.5875","741.5875","642.90625","642.90625","642.90625"
"68","400.9433962264151","400.9433962264151","400.9433962264151","631.8611111111111","631.8611111111111","631.8611111111111","720.7105263157895","720.7105263157895","720.7105263157895"
"72","362.859649122807","362.859649122807","362.859649122807","711.560975609756","711.560975609756","711.560975609756","666.96","666.96","666.96"
"76","502.21153846153845","502.21153846153845","502.21153846153845","804.6741573033707","804.6741573033707","804.6741573033707","780.25","780.25","780.25"
"80","505.968253968254","505.968253968254","505.968253968254","894.6585365853658","894.6585365853658","894.6585365853658","1005.7209302325581","1005.7209302325581","1005.7209302325581"
"84","514.7966101694915","514.7966101694915","514.7966101694915","736.8928571428571","736.8928571428571","736.8928571428571","1021.1428571428571","1021.1428571428571","1021.1428571428571"
"88","431.87719298245617","431.87719298245617","431.87719298245617","943.5368421052632","943.5368421052632","943.5368421052632","933.5","933.5","933.5"
"92","508.94545454545454","508.94545454545454","508.94545454545454","855.4148936170212","855.4148936170212","855.4148936170212","1037.4615384615386","1037.4615384615386","1037.4615384615386"
"96","496.17543859649123","496.17543859649123","496.17543859649123","980.3636363636364","980.3636363636364","980.3636363636364","1070.3734939759036","1070.3734939759036","1070.3734939759036"
"100","537.3636363636364","537.3636363636364","537.3636363636364","897.2527472527472","897.2527472527472","897.2527472527472","1088.9529411764706","1088.9529411764706","1088.9529411764706"
"104","495.1875","495.1875","495.1875","811.4823529411765","811.4823529411765","811.4823529411765","1148.3291139240507","1148.3291139240507","1148.3291139240507"
"108","673.2833333333333","673.2833333333333","673.2833333333333","796.4803921568628","796.4803921568628","796.4803921568628","934.65","934.65","934.65"
"112","494.241935483871","494.241935483871","494.241935483871","835.722891566265","835.722891566265","835.722891566265","949.7011494252873","949.7011494252873","949.7011494252873"
"116","608.7887323943662","608.7887323943662","608.7887323943662","1059.83908045977","1059.83908045977","1059.83908045977","1043.6436781609195","1043.6436781609195","1043.6436781609195"
"120","589.2142857142857","589.2142857142857","589.2142857142857","1068.5172413793102","1068.5172413793102","1068.5172413793102","1102.75","1102.75","1102.75"
"124","616.796875","616.796875","616.796875","1143.132530120482","1143.132530120482","1143.132530120482","1029.7790697674418","1029.7790697674418","1029.7790697674418"
"128","576.063492063492","576.063492063492","576.063492063492","1031.5934065934066","1031.5934065934066","1031.5934065934066","935.8415841584158","935.8415841584158","935.8415841584158"
"132","636.8235294117648","636.8235294117648","636.8235294117648","1020.974358974359","1020.974358974359","1020.974358974359","954.5108695652174","954.5108695652174","954.5108695652174"
"136","685.1929824561404","685.1929824561404","685.1929824561404","1027.0487804878048","1027.0487804878048","1027.0487804878048","1051.6781609195402","1051.6781609195402","1051.6781609195402"
"140","665","665","665","1066.6627906976744","1066.6627906976744","1066.6627906976744","892.3255813953489","892.3255813953489","892.3255813953489"
"144","594.1617647058823","594.1617647058823","594.1617647058823","988.7647058823529","988.7647058823529","988.7647058823529","1022.0941176470589","1022.0941176470589","1022.0941176470589"
"148","665.8405797101449","665.8405797101449","665.8405797101449","910.1590909090909","910.1590909090909","910.1590909090909","830","830","830"
"152","796.0138888888889","796.0138888888889","796.0138888888889","960.8877551020408","960.8877551020408","960.8877551020408","833.5512820512821","833.5512820512821","833.5512820512821"
"156","647.1486486486486","647.1486486486486","647.1486486486486","963.9684210526316","963.9684210526316","963.9684210526316","938.2183908045977","938.2183908045977","938.2183908045977"
