"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/AMC23","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/AMC23","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/AMC23__MAX"
"0","0","0","0","0","0","0"
"4","0.025","0.025","0.025","0","0","0"
"8","0.05","0.05","0.05","0.025","0.025","0.025"
"12","0.05","0.05","0.05","0.025","0.025","0.025"
"16","0.05","0.05","0.05","0.025","0.025","0.025"
"20","0.05","0.05","0.05","0.025","0.025","0.025"
"24","0.025","0.025","0.025","0.025","0.025","0.025"
"28","0.125","0.125","0.125","0.05","0.05","0.05"
"32","0.1","0.1","0.1","0.075","0.075","0.075"
"36","0.1","0.1","0.1","0.075","0.075","0.075"
"40","0.1","0.1","0.1","0.075","0.075","0.075"
"44","0.15","0.15","0.15","0.075","0.075","0.075"
"48","0.15","0.15","0.15","0.1","0.1","0.1"
"52","0.15","0.15","0.15","0.1","0.1","0.1"
"56","0.125","0.125","0.125","0.1","0.1","0.1"
"60","0.125","0.125","0.125","0.1","0.1","0.1"
"64","0.05","0.05","0.05","0.1","0.1","0.1"
"68","0.1","0.1","0.1","0.1","0.1","0.1"
"72","0.125","0.125","0.125","0.1","0.1","0.1"
"76","0.15","0.15","0.15","0.125","0.125","0.125"
"80","0.15","0.15","0.15","0.2","0.2","0.2"
"84","0.075","0.075","0.075","0.175","0.175","0.175"
"88","0.1","0.1","0.1","0.075","0.075","0.075"
"92","0.075","0.075","0.075","0.15","0.15","0.15"
"96","0.1","0.1","0.1","0.175","0.175","0.175"
"100","0.175","0.175","0.175","0.125","0.125","0.125"
"104","0.2","0.2","0.2","0.2","0.2","0.2"
"108","0.15","0.15","0.15","0.175","0.175","0.175"
"112","0.125","0.125","0.125","0.2","0.2","0.2"
"116","0.125","0.125","0.125","0.125","0.125","0.125"
"120","0.1","0.1","0.1","0.175","0.175","0.175"
"124","0.175","0.175","0.175","0.225","0.225","0.225"
"128","0.175","0.175","0.175","0.15","0.15","0.15"
"132","0.175","0.175","0.175","0.225","0.225","0.225"
"136","0.2","0.2","0.2","0.275","0.275","0.275"
"140","0.15","0.15","0.15","0.225","0.225","0.225"
"144","0.175","0.175","0.175","0.175","0.175","0.175"
"148","0.2","0.2","0.2","0.175","0.175","0.175"
"152","0.175","0.175","0.175","0.225","0.225","0.225"
"156","0.15","0.15","0.15","0.125","0.125","0.125"
"160","0.175","0.175","0.175","0.25","0.25","0.25"
"164","0.175","0.175","0.175","0.175","0.175","0.175"
"168","0.175","0.175","0.175","0.225","0.225","0.225"
"172","0.15","0.15","0.15","0.125","0.125","0.125"
"176","0.125","0.125","0.125","0.225","0.225","0.225"
"180","0.125","0.125","0.125","0.175","0.175","0.175"
"184","0.1","0.1","0.1","0.225","0.225","0.225"
"188","0.15","0.15","0.15","0.1","0.1","0.1"
"192","0.05","0.05","0.05","0.125","0.125","0.125"
"196","0.1","0.1","0.1","0.125","0.125","0.125"
"200","0.15","0.15","0.15","0.15","0.15","0.15"
"204","0.15","0.15","0.15","0.175","0.175","0.175"
"208","0.15","0.15","0.15","0.125","0.125","0.125"
"212","0.175","0.175","0.175","0.15","0.15","0.15"
"216","0.125","0.125","0.125","0.175","0.175","0.175"
"220","0.125","0.125","0.125","0.15","0.15","0.15"
"224","0.125","0.125","0.125","0.175","0.175","0.175"
"228","0.125","0.125","0.125","0.15","0.15","0.15"
"232","0.175","0.175","0.175","0.175","0.175","0.175"
"236","0.1","0.1","0.1","0.225","0.225","0.225"
"240","0.075","0.075","0.075","0.2","0.2","0.2"
"244","0.175","0.175","0.175","0.2","0.2","0.2"
"248","0.05","0.05","0.05","0.225","0.225","0.225"
"252","0.075","0.075","0.075","0.125","0.125","0.125"
"256","0.15","0.15","0.15","0.175","0.175","0.175"
"260","","","","0.125","0.125","0.125"
"264","","","","0.175","0.175","0.175"
"268","","","","0.175","0.175","0.175"
"272","","","","0.175","0.175","0.175"
"276","","","","0.175","0.175","0.175"
"280","","","","0.175","0.175","0.175"
"284","","","","0.15","0.15","0.15"
"288","","","","0.175","0.175","0.175"
"292","","","","0.2","0.2","0.2"
"296","","","","0.15","0.15","0.15"
"300","","","","0.1","0.1","0.1"
"304","","","","0.1","0.1","0.1"
"308","","","","0.2","0.2","0.2"
"312","","","","0.125","0.125","0.125"
"316","","","","0.2","0.2","0.2"
"320","","","","0.15","0.15","0.15"
"324","","","","0.175","0.175","0.175"
"328","","","","0.15","0.15","0.15"
"332","","","","0.175","0.175","0.175"
"336","","","","0.125","0.125","0.125"
"340","","","","0.125","0.125","0.125"
"344","","","","0.2","0.2","0.2"
"348","","","","0.1","0.1","0.1"
"352","","","","0.15","0.15","0.15"
"356","","","","0.2","0.2","0.2"
"360","","","","0.1","0.1","0.1"
"364","","","","0.275","0.275","0.275"
"368","","","","0.125","0.125","0.125"
