"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/MATH500","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/MATH500","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/MATH500__MAX"
"0","0.002","0.002","0.002","0.002","0.002","0.002"
"4","0.004","0.004","0.004","0.008","0.008","0.008"
"8","0.004","0.004","0.004","0.006","0.006","0.006"
"12","0.008","0.008","0.008","0.006","0.006","0.006"
"16","0.008","0.008","0.008","0.006","0.006","0.006"
"20","0.016","0.016","0.016","0.01","0.01","0.01"
"24","0.044","0.044","0.044","0.02","0.02","0.02"
"28","0.068","0.068","0.068","0.03","0.03","0.03"
"32","0.098","0.098","0.098","0.052","0.052","0.052"
"36","0.128","0.128","0.128","0.07","0.07","0.07"
"40","0.158","0.158","0.158","0.082","0.082","0.082"
"44","0.162","0.162","0.162","0.1","0.1","0.1"
"48","0.204","0.204","0.204","0.11","0.11","0.11"
"52","0.216","0.216","0.216","0.136","0.136","0.136"
"56","0.222","0.222","0.222","0.136","0.136","0.136"
"60","0.252","0.252","0.252","0.172","0.172","0.172"
"64","0.234","0.234","0.234","0.176","0.176","0.176"
"68","0.246","0.246","0.246","0.208","0.208","0.208"
"72","0.266","0.266","0.266","0.204","0.204","0.204"
"76","0.288","0.288","0.288","0.224","0.224","0.224"
"80","0.278","0.278","0.278","0.242","0.242","0.242"
"84","0.264","0.264","0.264","0.25","0.25","0.25"
"88","0.292","0.292","0.292","0.284","0.284","0.284"
"92","0.3","0.3","0.3","0.306","0.306","0.306"
"96","0.306","0.306","0.306","0.308","0.308","0.308"
"100","0.302","0.302","0.302","0.34","0.34","0.34"
"104","0.306","0.306","0.306","0.34","0.34","0.34"
"108","0.304","0.304","0.304","0.346","0.346","0.346"
"112","0.318","0.318","0.318","0.338","0.338","0.338"
"116","0.312","0.312","0.312","0.354","0.354","0.354"
"120","0.326","0.326","0.326","0.346","0.346","0.346"
"124","0.346","0.346","0.346","0.364","0.364","0.364"
"128","0.328","0.328","0.328","0.36","0.36","0.36"
"132","0.334","0.334","0.334","0.364","0.364","0.364"
"136","0.344","0.344","0.344","0.36","0.36","0.36"
"140","0.322","0.322","0.322","0.396","0.396","0.396"
"144","0.312","0.312","0.312","0.382","0.382","0.382"
"148","0.324","0.324","0.324","0.368","0.368","0.368"
"152","0.344","0.344","0.344","0.37","0.37","0.37"
"156","0.356","0.356","0.356","0.384","0.384","0.384"
"160","0.356","0.356","0.356","0.372","0.372","0.372"
"164","0.348","0.348","0.348","0.362","0.362","0.362"
"168","0.346","0.346","0.346","0.37","0.37","0.37"
"172","0.328","0.328","0.328","0.368","0.368","0.368"
"176","0.336","0.336","0.336","0.378","0.378","0.378"
"180","0.336","0.336","0.336","0.376","0.376","0.376"
"184","0.344","0.344","0.344","0.382","0.382","0.382"
"188","0.352","0.352","0.352","0.382","0.382","0.382"
"192","0.336","0.336","0.336","0.37","0.37","0.37"
"196","0.334","0.334","0.334","0.38","0.38","0.38"
"200","0.354","0.354","0.354","0.4","0.4","0.4"
"204","0.346","0.346","0.346","0.386","0.386","0.386"
"208","0.356","0.356","0.356","0.402","0.402","0.402"
"212","0.338","0.338","0.338","0.394","0.394","0.394"
"216","0.352","0.352","0.352","0.406","0.406","0.406"
"220","0.352","0.352","0.352","0.394","0.394","0.394"
"224","0.35","0.35","0.35","0.396","0.396","0.396"
"228","0.346","0.346","0.346","0.368","0.368","0.368"
"232","0.332","0.332","0.332","0.366","0.366","0.366"
"236","0.336","0.336","0.336","0.376","0.376","0.376"
"240","0.33","0.33","0.33","0.392","0.392","0.392"
"244","0.356","0.356","0.356","0.376","0.376","0.376"
"248","0.36","0.36","0.36","0.404","0.404","0.404"
"252","0.324","0.324","0.324","0.398","0.398","0.398"
"256","0.346","0.346","0.346","0.402","0.402","0.402"
"260","","","","0.408","0.408","0.408"
"264","","","","0.422","0.422","0.422"
"268","","","","0.398","0.398","0.398"
"272","","","","0.408","0.408","0.408"
"276","","","","0.386","0.386","0.386"
"280","","","","0.412","0.412","0.412"
"284","","","","0.404","0.404","0.404"
"288","","","","0.386","0.386","0.386"
"292","","","","0.406","0.406","0.406"
"296","","","","0.396","0.396","0.396"
"300","","","","0.42","0.42","0.42"
"304","","","","0.414","0.414","0.414"
"308","","","","0.42","0.42","0.42"
"312","","","","0.394","0.394","0.394"
"316","","","","0.382","0.382","0.382"
"320","","","","0.402","0.402","0.402"
"324","","","","0.408","0.408","0.408"
"328","","","","0.394","0.394","0.394"
"332","","","","0.384","0.384","0.384"
"336","","","","0.404","0.404","0.404"
"340","","","","0.41","0.41","0.41"
"344","","","","0.418","0.418","0.418"
"348","","","","0.402","0.402","0.402"
"352","","","","0.404","0.404","0.404"
"356","","","","0.408","0.408","0.408"
"360","","","","0.396","0.396","0.396"
"364","","","","0.398","0.398","0.398"
"368","","","","0.408","0.408","0.408"
