"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/OlympiadBench__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/OlympiadBench","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/OlympiadBench__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val/test_score/OlympiadBench__MAX"
"0","0","0","0","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188"
"4","0","0","0","0","0","0"
"8","0","0","0","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188"
"12","0.0029717682020802376","0.0029717682020802376","0.0029717682020802376","0.0014858841010401188","0.0014858841010401188","0.0014858841010401188"
"16","0.004457652303120356","0.004457652303120356","0.004457652303120356","0.008915304606240713","0.008915304606240713","0.008915304606240713"
"20","0.010401188707280832","0.010401188707280832","0.010401188707280832","0.010401188707280832","0.010401188707280832","0.010401188707280832"
"24","0.02674591381872214","0.02674591381872214","0.02674591381872214","0.014858841010401188","0.014858841010401188","0.014858841010401188"
"28","0.05943536404160475","0.05943536404160475","0.05943536404160475","0.02674591381872214","0.02674591381872214","0.02674591381872214"
"32","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.03714710252600297","0.03714710252600297","0.03714710252600297"
"36","0.06092124814264487","0.06092124814264487","0.06092124814264487","0.05052005943536404","0.05052005943536404","0.05052005943536404"
"40","0.06983655274888559","0.06983655274888559","0.06983655274888559","0.05646359583952452","0.05646359583952452","0.05646359583952452"
"44","0.06686478454680535","0.06686478454680535","0.06686478454680535","0.07280832095096583","0.07280832095096583","0.07280832095096583"
"48","0.06537890044576523","0.06537890044576523","0.06537890044576523","0.0787518573551263","0.0787518573551263","0.0787518573551263"
"52","0.06092124814264487","0.06092124814264487","0.06092124814264487","0.07280832095096583","0.07280832095096583","0.07280832095096583"
"56","0.06240713224368499","0.06240713224368499","0.06240713224368499","0.06983655274888559","0.06983655274888559","0.06983655274888559"
