"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/AMC23__MAX"
"4","5","5","5","","",""
"8","6","6","6","7","7","7"
"12","6","6","6","5","5","5"
"16","6","6","6","5","5","5"
"20","6","6","6","5","5","5"
"24","7","7","7","5","5","5"
"28","62","62","62","145","145","145"
"32","37.25","37.25","37.25","779.3333333333334","779.3333333333334","779.3333333333334"
"36","33","33","33","141.66666666666666","141.66666666666666","141.66666666666666"
"40","39","39","39","151.33333333333334","151.33333333333334","151.33333333333334"
"44","75.33333333333333","75.33333333333333","75.33333333333333","731.3333333333334","731.3333333333334","731.3333333333334"
"48","760.5","760.5","760.5","125.25","125.25","125.25"
"52","1457.5","1457.5","1457.5","516","516","516"
"56","897","897","897","516","516","516"
"60","237.2","237.2","237.2","5.25","5.25","5.25"
"64","268.5","268.5","268.5","633.5","633.5","633.5"
"68","1214.25","1214.25","1214.25","569","569","569"
"72","1069.2","1069.2","1069.2","142.25","142.25","142.25"
"76","916.5","916.5","916.5","100.8","100.8","100.8"
"80","932","932","932","164.875","164.875","164.875"
"84","299","299","299","451.2857142857143","451.2857142857143","451.2857142857143"
"88","391.5","391.5","391.5","377.3333333333333","377.3333333333333","377.3333333333333"
"92","335.6666666666667","335.6666666666667","335.6666666666667","520.1666666666666","520.1666666666666","520.1666666666666"
"96","1212.5","1212.5","1212.5","426.2857142857143","426.2857142857143","426.2857142857143"
"100","310.42857142857144","310.42857142857144","310.42857142857144","236.6","236.6","236.6"
"104","342.75","342.75","342.75","425.875","425.875","425.875"
"108","523.8333333333334","523.8333333333334","523.8333333333334","284.42857142857144","284.42857142857144","284.42857142857144"
"112","380.8","380.8","380.8","378.75","378.75","378.75"
"116","390.2","390.2","390.2","311.4","311.4","311.4"
"120","216.75","216.75","216.75","252.14285714285714","252.14285714285714","252.14285714285714"
"124","937.5714285714286","937.5714285714286","937.5714285714286","306.55555555555554","306.55555555555554","306.55555555555554"
"128","325.57142857142856","325.57142857142856","325.57142857142856","438.6666666666667","438.6666666666667","438.6666666666667"
"132","312.7142857142857","312.7142857142857","312.7142857142857","545.3333333333334","545.3333333333334","545.3333333333334"
"136","185","185","185","541.0909090909091","541.0909090909091","541.0909090909091"
"140","198.83333333333334","198.83333333333334","198.83333333333334","442.3333333333333","442.3333333333333","442.3333333333333"
"144","241.14285714285714","241.14285714285714","241.14285714285714","441","441","441"
"148","365.5","365.5","365.5","545.7142857142857","545.7142857142857","545.7142857142857"
"152","878.7142857142857","878.7142857142857","878.7142857142857","494","494","494"
