"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/GSM8k__MAX"
"32","108","108","108","302","302","302"
"36","534.05","534.05","534.05","","",""
"40","182.05084745762713","182.05084745762713","182.05084745762713","","",""
"44","285.6525423728813","285.6525423728813","285.6525423728813","141","141","141"
"48","174.21243523316062","174.21243523316062","174.21243523316062","163.66666666666666","163.66666666666666","163.66666666666666"
"52","227.27246376811595","227.27246376811595","227.27246376811595","160.3","160.3","160.3"
"56","241.01202404809618","241.01202404809618","241.01202404809618","161.09677419354838","161.09677419354838","161.09677419354838"
"60","249.82363315696648","249.82363315696648","249.82363315696648","107","107","107"
"64","298.25728155339806","298.25728155339806","298.25728155339806","177.55172413793105","177.55172413793105","177.55172413793105"
"68","351.19174041297936","351.19174041297936","351.19174041297936","168.73958333333334","168.73958333333334","168.73958333333334"
"72","288.72578444747614","288.72578444747614","288.72578444747614","181.76296296296297","181.76296296296297","181.76296296296297"
"76","187.1718120805369","187.1718120805369","187.1718120805369","182.77777777777777","182.77777777777777","182.77777777777777"
"80","165.73257287705957","165.73257287705957","165.73257287705957","149.865","149.865","149.865"
"84","135.59948979591837","135.59948979591837","135.59948979591837","149.82394366197184","149.82394366197184","149.82394366197184"
"88","143.76381909547737","143.76381909547737","143.76381909547737","147.46153846153845","147.46153846153845","147.46153846153845"
"92","142.96139476961395","142.96139476961395","142.96139476961395","149.80838323353294","149.80838323353294","149.80838323353294"
"96","145.389486260454","145.389486260454","145.389486260454","151.59030100334448","151.59030100334448","151.59030100334448"
"100","159.23424494649228","159.23424494649228","159.23424494649228","152.49652294853965","152.49652294853965","152.49652294853965"
"104","171.2794292508918","171.2794292508918","171.2794292508918","149.4729907773386","149.4729907773386","149.4729907773386"
"108","160.53623188405797","160.53623188405797","160.53623188405797","151.98803827751198","151.98803827751198","151.98803827751198"
"112","144.17995169082127","144.17995169082127","144.17995169082127","155.3981588032221","155.3981588032221","155.3981588032221"
"116","150.49940546967895","150.49940546967895","150.49940546967895","155.1371237458194","155.1371237458194","155.1371237458194"
"120","146.03533568904592","146.03533568904592","146.03533568904592","152.04954954954954","152.04954954954954","152.04954954954954"
"124","144.78307508939213","144.78307508939213","144.78307508939213","162.81270536692224","162.81270536692224","162.81270536692224"
"128","147.93509615384616","147.93509615384616","147.93509615384616","157.6803455723542","157.6803455723542","157.6803455723542"
"132","147.70760233918128","147.70760233918128","147.70760233918128","154.7910284463895","154.7910284463895","154.7910284463895"
"136","141.55516014234877","141.55516014234877","141.55516014234877","161.16813186813187","161.16813186813187","161.16813186813187"
"140","138.698224852071","138.698224852071","138.698224852071","155.9719730941704","155.9719730941704","155.9719730941704"
"144","150.9266589057043","150.9266589057043","150.9266589057043","160.5902004454343","160.5902004454343","160.5902004454343"
"148","152.5143184421535","152.5143184421535","152.5143184421535","164.3626251390434","164.3626251390434","164.3626251390434"
"152","144.25514874141876","144.25514874141876","144.25514874141876","168.94788273615634","168.94788273615634","168.94788273615634"
"156","146.52981651376146","146.52981651376146","146.52981651376146","170.47052401746726","170.47052401746726","170.47052401746726"
"160","147.86651583710406","147.86651583710406","147.86651583710406","170.31973539140023","170.31973539140023","170.31973539140023"
"164","154.2541993281075","154.2541993281075","154.2541993281075","178.08078602620088","178.08078602620088","178.08078602620088"
"168","153.9362912400455","153.9362912400455","153.9362912400455","176.3362255965293","176.3362255965293","176.3362255965293"
"172","165.98637911464246","165.98637911464246","165.98637911464246","179.17305585980284","179.17305585980284","179.17305585980284"
"176","160.6211251435132","160.6211251435132","160.6211251435132","186.30401737242127","186.30401737242127","186.30401737242127"
"180","149.5752625437573","149.5752625437573","149.5752625437573","189.7198697068404","189.7198697068404","189.7198697068404"
"184","150.72280701754386","150.72280701754386","150.72280701754386","193.4796573875803","193.4796573875803","193.4796573875803"
"188","161.40500568828213","161.40500568828213","161.40500568828213","201.83531960996748","201.83531960996748","201.83531960996748"
"192","153.71774193548387","153.71774193548387","153.71774193548387","206.374865735768","206.374865735768","206.374865735768"
"196","149.94171428571428","149.94171428571428","149.94171428571428","197.6509635974304","197.6509635974304","197.6509635974304"
"200","147.9738041002278","147.9738041002278","147.9738041002278","216.37340425531914","216.37340425531914","216.37340425531914"
"204","146.74161073825502","146.74161073825502","146.74161073825502","203.2555910543131","203.2555910543131","203.2555910543131"
"208","152.84396355353076","152.84396355353076","152.84396355353076","205.17438105489774","205.17438105489774","205.17438105489774"
"212","145.4067415730337","145.4067415730337","145.4067415730337","213.79087048832272","213.79087048832272","213.79087048832272"
"216","146.84375","146.84375","146.84375","223.5896076352068","223.5896076352068","223.5896076352068"
"220","143.65750286368842","143.65750286368842","143.65750286368842","227.6978417266187","227.6978417266187","227.6978417266187"
"224","145.7232346241458","145.7232346241458","145.7232346241458","226.82878151260505","226.82878151260505","226.82878151260505"
