"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_mmwebpro.synqa.ins.89101_math.8k_0410_1935 - val_response_length/test_length_correct/MATH500__MAX"
"0","5","5","5","5","5","5"
"4","51.5","51.5","51.5","137","137","137"
"8","51.5","51.5","51.5","10.333333333333334","10.333333333333334","10.333333333333334"
"12","28.25","28.25","28.25","99.66666666666667","99.66666666666667","99.66666666666667"
"16","80.5","80.5","80.5","89.66666666666667","89.66666666666667","89.66666666666667"
"20","51.375","51.375","51.375","464.6","464.6","464.6"
"24","89.18181818181819","89.18181818181819","89.18181818181819","295","295","295"
"28","410.02941176470586","410.02941176470586","410.02941176470586","357.06666666666666","357.06666666666666","357.06666666666666"
"32","556.1632653061224","556.1632653061224","556.1632653061224","268.11538461538464","268.11538461538464","268.11538461538464"
"36","407.84375","407.84375","407.84375","300.51428571428573","300.51428571428573","300.51428571428573"
"40","142.86075949367088","142.86075949367088","142.86075949367088","262.6829268292683","262.6829268292683","262.6829268292683"
"44","287.8888888888889","287.8888888888889","287.8888888888889","302.14","302.14","302.14"
"48","264.80392156862746","264.80392156862746","264.80392156862746","244","244","244"
"52","452.6296296296296","452.6296296296296","452.6296296296296","247.01470588235293","247.01470588235293","247.01470588235293"
"56","507.15315315315314","507.15315315315314","507.15315315315314","221.72058823529412","221.72058823529412","221.72058823529412"
"60","555.5952380952381","555.5952380952381","555.5952380952381","191.06976744186048","191.06976744186048","191.06976744186048"
"64","527.042735042735","527.042735042735","527.042735042735","137.77272727272728","137.77272727272728","137.77272727272728"
"68","763.9430894308944","763.9430894308944","763.9430894308944","195.71153846153845","195.71153846153845","195.71153846153845"
"72","538.1127819548872","538.1127819548872","538.1127819548872","190.66666666666666","190.66666666666666","190.66666666666666"
