"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val/test_score/MATH500__MAX"
"0","0.33","0.33","0.33","0.33","0.33","0.33"
"4","0.37","0.37","0.37","0.368","0.368","0.368"
"8","0.368","0.368","0.368","0.374","0.374","0.374"
"12","0.398","0.398","0.398","0.376","0.376","0.376"
"16","0.388","0.388","0.388","0.38","0.38","0.38"
"20","0.384","0.384","0.384","0.372","0.372","0.372"
"24","0.392","0.392","0.392","0.426","0.426","0.426"
"28","0.418","0.418","0.418","0.408","0.408","0.408"
"32","0.424","0.424","0.424","0.412","0.412","0.412"
"36","0.436","0.436","0.436","0.454","0.454","0.454"
"40","0.434","0.434","0.434","0.454","0.454","0.454"
"44","0.444","0.444","0.444","0.448","0.448","0.448"
"48","0.436","0.436","0.436","0.466","0.466","0.466"
"52","0.462","0.462","0.462","0.446","0.446","0.446"
"56","0.46","0.46","0.46","0.466","0.466","0.466"
"60","0.458","0.458","0.458","0.478","0.478","0.478"
"64","0.444","0.444","0.444","0.468","0.468","0.468"
"68","0.48","0.48","0.48","0.48","0.48","0.48"
"72","0.47","0.47","0.47","0.404","0.404","0.404"
"76","0.486","0.486","0.486","0.404","0.404","0.404"
"80","0.468","0.468","0.468","0.37","0.37","0.37"
"84","0.488","0.488","0.488","","",""
"88","0.464","0.464","0.464","","",""
"92","0.486","0.486","0.486","","",""
"96","0.486","0.486","0.486","","",""
"100","0.494","0.494","0.494","","",""
"104","0.484","0.484","0.484","","",""
"108","0.504","0.504","0.504","","",""
"112","0.51","0.51","0.51","","",""
"116","0.484","0.484","0.484","","",""
"120","0.488","0.488","0.488","","",""
"124","0.49","0.49","0.49","","",""
"128","0.484","0.484","0.484","","",""
"132","0.512","0.512","0.512","","",""
"136","0.5","0.5","0.5","","",""
"140","0.494","0.494","0.494","","",""
"144","0.526","0.526","0.526","","",""
"148","0.518","0.518","0.518","","",""
"152","0.514","0.514","0.514","","",""
"156","0.522","0.522","0.522","","",""
"160","0.508","0.508","0.508","","",""
"164","0.478","0.478","0.478","","",""
"168","0.512","0.512","0.512","","",""
"172","0.512","0.512","0.512","","",""
"176","0.528","0.528","0.528","","",""
"180","0.528","0.528","0.528","","",""
"184","0.532","0.532","0.532","","",""
"188","0.552","0.552","0.552","","",""
"192","0.554","0.554","0.554","","",""
"196","0.554","0.554","0.554","","",""
"200","0.554","0.554","0.554","","",""
"204","0.524","0.524","0.524","","",""
