"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/AMC23__MAX"
"0","598.6","598.6","598.6","598.6","598.6","598.6"
"4","655","655","655","911.4","911.4","911.4"
"8","566","566","566","516.75","516.75","516.75"
"12","476.25","476.25","476.25","616.125","616.125","616.125"
"16","572.6","572.6","572.6","732.6666666666666","732.6666666666666","732.6666666666666"
"20","862.4","862.4","862.4","851.4","851.4","851.4"
"24","678.8333333333334","678.8333333333334","678.8333333333334","828.375","828.375","828.375"
"28","640.6","640.6","640.6","707.1","707.1","707.1"
"32","594.625","594.625","594.625","1193.4545454545455","1193.4545454545455","1193.4545454545455"
"36","667.5384615384615","667.5384615384615","667.5384615384615","1224.5555555555557","1224.5555555555557","1224.5555555555557"
"40","538.2857142857143","538.2857142857143","538.2857142857143","1878","1878","1878"
"44","732.5","732.5","732.5","1820.1818181818182","1820.1818181818182","1820.1818181818182"
"48","570.1111111111111","570.1111111111111","570.1111111111111","2527.0666666666666","2527.0666666666666","2527.0666666666666"
"52","606.375","606.375","606.375","2585.0833333333335","2585.0833333333335","2585.0833333333335"
"56","559.1666666666666","559.1666666666666","559.1666666666666","2728.9","2728.9","2728.9"
"60","767.3636363636364","767.3636363636364","767.3636363636364","2212.4545454545455","2212.4545454545455","2212.4545454545455"
"64","683.2727272727273","683.2727272727273","683.2727272727273","2976.3636363636365","2976.3636363636365","2976.3636363636365"
"68","559.6666666666666","559.6666666666666","559.6666666666666","1618.6666666666667","1618.6666666666667","1618.6666666666667"
"72","673.875","673.875","673.875","2952.375","2952.375","2952.375"
"76","660.75","660.75","660.75","1356.6","1356.6","1356.6"
"80","626.5833333333334","626.5833333333334","626.5833333333334","1393.75","1393.75","1393.75"
"84","660.4","660.4","660.4","","",""
"88","723","723","723","","",""
"92","655","655","655","","",""
"96","506.8888888888889","506.8888888888889","506.8888888888889","","",""
"100","846.6875","846.6875","846.6875","","",""
"104","1007","1007","1007","","",""
"108","861","861","861","","",""
"112","919.6666666666666","919.6666666666666","919.6666666666666","","",""
"116","1069.642857142857","1069.642857142857","1069.642857142857","","",""
"120","1047.3","1047.3","1047.3","","",""
"124","582.4285714285714","582.4285714285714","582.4285714285714","","",""
"128","811.4","811.4","811.4","","",""
"132","916.1428571428571","916.1428571428571","916.1428571428571","","",""
"136","960.1","960.1","960.1","","",""
"140","663.5714285714286","663.5714285714286","663.5714285714286","","",""
"144","817.9166666666666","817.9166666666666","817.9166666666666","","",""
"148","791.6363636363636","791.6363636363636","791.6363636363636","","",""
"152","620.7777777777778","620.7777777777778","620.7777777777778","","",""
"156","972.1818181818181","972.1818181818181","972.1818181818181","","",""
"160","1175.2727272727273","1175.2727272727273","1175.2727272727273","","",""
"164","1248.923076923077","1248.923076923077","1248.923076923077","","",""
"168","1044.5","1044.5","1044.5","","",""
"172","1712","1712","1712","","",""
"176","1943.909090909091","1943.909090909091","1943.909090909091","","",""
"180","1784.2142857142858","1784.2142857142858","1784.2142857142858","","",""
"184","714.5454545454545","714.5454545454545","714.5454545454545","","",""
"188","2682.769230769231","2682.769230769231","2682.769230769231","","",""
"192","1685.357142857143","1685.357142857143","1685.357142857143","","",""
"196","1223.6666666666667","1223.6666666666667","1223.6666666666667","","",""
"200","1257.2","1257.2","1257.2","","",""
"204","2411.181818181818","2411.181818181818","2411.181818181818","","",""
