"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/GSM8k__MAX"
"0","213.70287539936103","213.70287539936103","213.70287539936103","213.70287539936103","213.70287539936103","213.70287539936103"
"4","215.69912609238452","215.69912609238452","215.69912609238452","210.63766233766233","210.63766233766233","210.63766233766233"
"8","221.734375","221.734375","221.734375","231.43010752688173","231.43010752688173","231.43010752688173"
"12","228.58363417569194","228.58363417569194","228.58363417569194","222.13475177304966","222.13475177304966","222.13475177304966"
"16","210.49418604651163","210.49418604651163","210.49418604651163","224.45432977461448","224.45432977461448","224.45432977461448"
"20","191.7360465116279","191.7360465116279","191.7360465116279","241.9697322467986","241.9697322467986","241.9697322467986"
"24","181.39673278879815","181.39673278879815","181.39673278879815","242.3748558246828","242.3748558246828","242.3748558246828"
"28","188.47092360319272","188.47092360319272","188.47092360319272","291.1156462585034","291.1156462585034","291.1156462585034"
"32","202.3471444568869","202.3471444568869","202.3471444568869","270.00341296928326","270.00341296928326","270.00341296928326"
"36","211.11941964285714","211.11941964285714","211.11941964285714","295.71843575418995","295.71843575418995","295.71843575418995"
"40","217.64277839029768","217.64277839029768","217.64277839029768","345.11995515695065","345.11995515695065","345.11995515695065"
"44","223.76273022751897","223.76273022751897","223.76273022751897","376.8314977973568","376.8314977973568","376.8314977973568"
"48","230.78601694915255","230.78601694915255","230.78601694915255","569.446898002103","569.446898002103","569.446898002103"
"52","232.82283884738527","232.82283884738527","232.82283884738527","586.3907216494846","586.3907216494846","586.3907216494846"
"56","236.63859275053304","236.63859275053304","236.63859275053304","723.0099502487562","723.0099502487562","723.0099502487562"
"60","243.57972544878564","243.57972544878564","243.57972544878564","710.6022494887526","710.6022494887526","710.6022494887526"
"64","245.57700421940928","245.57700421940928","245.57700421940928","724.5195071868583","724.5195071868583","724.5195071868583"
"68","239.01268498942918","239.01268498942918","239.01268498942918","702.1702344546381","702.1702344546381","702.1702344546381"
"72","233.78868729989327","233.78868729989327","233.78868729989327","694.5526315789474","694.5526315789474","694.5526315789474"
"76","242.39361702127658","242.39361702127658","242.39361702127658","671.5708289611753","671.5708289611753","671.5708289611753"
"80","249.3049040511727","249.3049040511727","249.3049040511727","580.6618784530386","580.6618784530386","580.6618784530386"
"84","247.96226415094338","247.96226415094338","247.96226415094338","","",""
"88","252.88340336134453","252.88340336134453","252.88340336134453","","",""
"92","248.0468262226847","248.0468262226847","248.0468262226847","","",""
"96","248.89092762487257","248.89092762487257","248.89092762487257","","",""
"100","260.6120777891505","260.6120777891505","260.6120777891505","","",""
"104","252.33333333333334","252.33333333333334","252.33333333333334","","",""
"108","270.5672097759674","270.5672097759674","270.5672097759674","","",""
"112","270.3748743718593","270.3748743718593","270.3748743718593","","",""
"116","265.0470941883768","265.0470941883768","265.0470941883768","","",""
"120","264.81717171717173","264.81717171717173","264.81717171717173","","",""
"124","289.88934010152286","289.88934010152286","289.88934010152286","","",""
"128","273.61451942740285","273.61451942740285","273.61451942740285","","",""
"132","275.37252861602497","275.37252861602497","275.37252861602497","","",""
"136","271.846949327818","271.846949327818","271.846949327818","","",""
"140","291.30862944162436","291.30862944162436","291.30862944162436","","",""
"144","285.2899287894201","285.2899287894201","285.2899287894201","","",""
"148","285.7210953346856","285.7210953346856","285.7210953346856","","",""
"152","290.4542682926829","290.4542682926829","290.4542682926829","","",""
"156","301.3880597014925","301.3880597014925","301.3880597014925","","",""
"160","303.436","303.436","303.436","","",""
"164","345.8336653386454","345.8336653386454","345.8336653386454","","",""
"168","353.72011952191235","353.72011952191235","353.72011952191235","","",""
"172","351.59559559559557","351.59559559559557","351.59559559559557","","",""
"176","367.1159563924678","367.1159563924678","367.1159563924678","","",""
"180","371.7733990147783","371.7733990147783","371.7733990147783","","",""
"184","409.2981243830207","409.2981243830207","409.2981243830207","","",""
"188","422.03648915187375","422.03648915187375","422.03648915187375","","",""
"192","423.1095890410959","423.1095890410959","423.1095890410959","","",""
"196","416.0920792079208","416.0920792079208","416.0920792079208","","",""
"200","430.56150793650795","430.56150793650795","430.56150793650795","","",""
"204","460.49514563106794","460.49514563106794","460.49514563106794","","",""
