"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/MATH500__MAX"
"0","336.4909090909091","336.4909090909091","336.4909090909091","336.4909090909091","336.4909090909091","336.4909090909091"
"4","373.14054054054054","373.14054054054054","373.14054054054054","364.67934782608694","364.67934782608694","364.67934782608694"
"8","349.9891304347826","349.9891304347826","349.9891304347826","340.4438502673797","340.4438502673797","340.4438502673797"
"12","385.5577889447236","385.5577889447236","385.5577889447236","381.3510638297872","381.3510638297872","381.3510638297872"
"16","344.1443298969072","344.1443298969072","344.1443298969072","394.9157894736842","394.9157894736842","394.9157894736842"
"20","341.9635416666667","341.9635416666667","341.9635416666667","488.9516129032258","488.9516129032258","488.9516129032258"
"24","333.25","333.25","333.25","557.9530516431925","557.9530516431925","557.9530516431925"
"28","371.5693779904306","371.5693779904306","371.5693779904306","648.593137254902","648.593137254902","648.593137254902"
"32","393.41509433962267","393.41509433962267","393.41509433962267","565.1067961165048","565.1067961165048","565.1067961165048"
"36","390.8256880733945","390.8256880733945","390.8256880733945","722.9383259911895","722.9383259911895","722.9383259911895"
"40","397.2304147465438","397.2304147465438","397.2304147465438","971.7533039647577","971.7533039647577","971.7533039647577"
"44","448.5900900900901","448.5900900900901","448.5900900900901","1156.4955357142858","1156.4955357142858","1156.4955357142858"
"48","443.0642201834862","443.0642201834862","443.0642201834862","1316.8969957081545","1316.8969957081545","1316.8969957081545"
"52","479.8051948051948","479.8051948051948","479.8051948051948","1575.4170403587443","1575.4170403587443","1575.4170403587443"
"56","453.1478260869565","453.1478260869565","453.1478260869565","1689.1201716738196","1689.1201716738196","1689.1201716738196"
"60","455.7991266375546","455.7991266375546","455.7991266375546","1686.5271966527196","1686.5271966527196","1686.5271966527196"
"64","448.47747747747746","448.47747747747746","448.47747747747746","1433.679487179487","1433.679487179487","1433.679487179487"
"68","434.24583333333334","434.24583333333334","434.24583333333334","1462.7333333333333","1462.7333333333333","1462.7333333333333"
"72","428.34468085106386","428.34468085106386","428.34468085106386","1392.549504950495","1392.549504950495","1392.549504950495"
"76","498.62139917695475","498.62139917695475","498.62139917695475","1305","1305","1305"
"80","482.77777777777777","482.77777777777777","482.77777777777777","1235.0324324324324","1235.0324324324324","1235.0324324324324"
"84","506.90983606557376","506.90983606557376","506.90983606557376","","",""
"88","476.6465517241379","476.6465517241379","476.6465517241379","","",""
"92","475.10699588477365","475.10699588477365","475.10699588477365","","",""
"96","504.5761316872428","504.5761316872428","504.5761316872428","","",""
"100","545.0242914979757","545.0242914979757","545.0242914979757","","",""
"104","515.7107438016529","515.7107438016529","515.7107438016529","","",""
"108","608.1706349206349","608.1706349206349","608.1706349206349","","",""
"112","572.5843137254902","572.5843137254902","572.5843137254902","","",""
"116","546.9628099173553","546.9628099173553","546.9628099173553","","",""
"120","542.7909836065573","542.7909836065573","542.7909836065573","","",""
"124","550.0734693877552","550.0734693877552","550.0734693877552","","",""
"128","598.3760330578513","598.3760330578513","598.3760330578513","","",""
"132","631.078125","631.078125","631.078125","","",""
"136","682.792","682.792","682.792","","",""
"140","646.5991902834008","646.5991902834008","646.5991902834008","","",""
"144","666.7832699619772","666.7832699619772","666.7832699619772","","",""
"148","693.8455598455598","693.8455598455598","693.8455598455598","","",""
"152","660.9105058365759","660.9105058365759","660.9105058365759","","",""
"156","662.3295019157088","662.3295019157088","662.3295019157088","","",""
"160","657.7795275590552","657.7795275590552","657.7795275590552","","",""
"164","779.3347280334729","779.3347280334729","779.3347280334729","","",""
"168","863.91015625","863.91015625","863.91015625","","",""
"172","1050.2578125","1050.2578125","1050.2578125","","",""
"176","977.5151515151515","977.5151515151515","977.5151515151515","","",""
"180","1112.8030303030303","1112.8030303030303","1112.8030303030303","","",""
"184","1012.4661654135339","1012.4661654135339","1012.4661654135339","","",""
"188","1023.0615942028985","1023.0615942028985","1023.0615942028985","","",""
"192","1022.9314079422383","1022.9314079422383","1022.9314079422383","","",""
"196","1139.379061371841","1139.379061371841","1139.379061371841","","",""
"200","1182.2527075812275","1182.2527075812275","1182.2527075812275","","",""
"204","1172.0229007633588","1172.0229007633588","1172.0229007633588","","",""
