"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl2.4k_math.8k_orztemplate_0419_0135 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_orztemplate_0419_0137 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","539.031746031746","539.031746031746","539.031746031746","539.031746031746","539.031746031746","539.031746031746"
"4","555.2615384615384","555.2615384615384","555.2615384615384","680.5151515151515","680.5151515151515","680.5151515151515"
"8","617.0128205128206","617.0128205128206","617.0128205128206","669.5538461538462","669.5538461538462","669.5538461538462"
"12","619.5820895522388","619.5820895522388","619.5820895522388","762.6835443037975","762.6835443037975","762.6835443037975"
"16","541.7808219178082","541.7808219178082","541.7808219178082","819.7590361445783","819.7590361445783","819.7590361445783"
"20","575.9302325581396","575.9302325581396","575.9302325581396","803.578947368421","803.578947368421","803.578947368421"
"24","524.3478260869565","524.3478260869565","524.3478260869565","904.7582417582418","904.7582417582418","904.7582417582418"
"28","561.0555555555555","561.0555555555555","561.0555555555555","1155.9117647058824","1155.9117647058824","1155.9117647058824"
"32","562.4117647058823","562.4117647058823","562.4117647058823","1371.0754716981132","1371.0754716981132","1371.0754716981132"
"36","663.29203539823","663.29203539823","663.29203539823","1195.0978260869565","1195.0978260869565","1195.0978260869565"
"40","691.6037735849056","691.6037735849056","691.6037735849056","1518.923076923077","1518.923076923077","1518.923076923077"
"44","720.9739130434782","720.9739130434782","720.9739130434782","2156.122641509434","2156.122641509434","2156.122641509434"
"48","696.7524752475248","696.7524752475248","696.7524752475248","2606.5894736842106","2606.5894736842106","2606.5894736842106"
"52","759.7745098039215","759.7745098039215","759.7745098039215","2820.108910891089","2820.108910891089","2820.108910891089"
"56","706.8350515463917","706.8350515463917","706.8350515463917","2420.5151515151515","2420.5151515151515","2420.5151515151515"
"60","745.1272727272727","745.1272727272727","745.1272727272727","2311.1894736842105","2311.1894736842105","2311.1894736842105"
"64","699.858407079646","699.858407079646","699.858407079646","2682.3076923076924","2682.3076923076924","2682.3076923076924"
"68","717.4561403508771","717.4561403508771","717.4561403508771","2367.3333333333335","2367.3333333333335","2367.3333333333335"
"72","732.7698412698413","732.7698412698413","732.7698412698413","2107.883116883117","2107.883116883117","2107.883116883117"
"76","766.9237288135594","766.9237288135594","766.9237288135594","2145.8333333333335","2145.8333333333335","2145.8333333333335"
"80","776.265625","776.265625","776.265625","2114.8591549295775","2114.8591549295775","2114.8591549295775"
"84","782.2018348623853","782.2018348623853","782.2018348623853","","",""
"88","747.3145161290323","747.3145161290323","747.3145161290323","","",""
"92","720.3589743589744","720.3589743589744","720.3589743589744","","",""
"96","757.9763779527559","757.9763779527559","757.9763779527559","","",""
"100","788.1968503937007","788.1968503937007","788.1968503937007","","",""
"104","809.8421052631579","809.8421052631579","809.8421052631579","","",""
"108","899.4518518518519","899.4518518518519","899.4518518518519","","",""
"112","898.7925925925925","898.7925925925925","898.7925925925925","","",""
"116","872.2713178294574","872.2713178294574","872.2713178294574","","",""
"120","812.8671875","812.8671875","812.8671875","","",""
"124","860.2411347517731","860.2411347517731","860.2411347517731","","",""
"128","897.5785714285714","897.5785714285714","897.5785714285714","","",""
"132","933.95","933.95","933.95","","",""
"136","911.9389312977099","911.9389312977099","911.9389312977099","","",""
"140","1011.6335877862596","1011.6335877862596","1011.6335877862596","","",""
"144","1031.3435114503816","1031.3435114503816","1031.3435114503816","","",""
"148","1028.4117647058824","1028.4117647058824","1028.4117647058824","","",""
"152","954.3379310344827","954.3379310344827","954.3379310344827","","",""
"156","995.8602941176471","995.8602941176471","995.8602941176471","","",""
"160","1294.9477124183006","1294.9477124183006","1294.9477124183006","","",""
"164","1392.0588235294117","1392.0588235294117","1392.0588235294117","","",""
"168","1389.7887323943662","1389.7887323943662","1389.7887323943662","","",""
"172","1567.5460992907801","1567.5460992907801","1567.5460992907801","","",""
"176","1678.7210884353742","1678.7210884353742","1678.7210884353742","","",""
"180","1720.7777777777778","1720.7777777777778","1720.7777777777778","","",""
"184","1737.593984962406","1737.593984962406","1737.593984962406","","",""
"188","1620.5955882352941","1620.5955882352941","1620.5955882352941","","",""
"192","1999.94","1999.94","1999.94","","",""
"196","1894.5608108108108","1894.5608108108108","1894.5608108108108","","",""
"200","1788.1543624161075","1788.1543624161075","1788.1543624161075","","",""
"204","1935.7194244604316","1935.7194244604316","1935.7194244604316","","",""
