"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/MATH500","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/MATH500__MAX"
"0","0.002","0.002","0.002","0","0","0"
"4","0.004","0.004","0.004","0.002","0.002","0.002"
"8","0.004","0.004","0.004","0.004","0.004","0.004"
"12","0.008","0.008","0.008","0.008","0.008","0.008"
"16","0.008","0.008","0.008","0.018","0.018","0.018"
"20","0.016","0.016","0.016","0.036","0.036","0.036"
"24","0.044","0.044","0.044","0.066","0.066","0.066"
"28","0.068","0.068","0.068","0.154","0.154","0.154"
"32","0.098","0.098","0.098","0.24","0.24","0.24"
"36","0.128","0.128","0.128","0.314","0.314","0.314"
"40","0.158","0.158","0.158","0.372","0.372","0.372"
"44","0.162","0.162","0.162","0.408","0.408","0.408"
"48","0.204","0.204","0.204","0.462","0.462","0.462"
"52","0.216","0.216","0.216","0.468","0.468","0.468"
"56","0.222","0.222","0.222","0.454","0.454","0.454"
"60","0.252","0.252","0.252","0.466","0.466","0.466"
"64","0.234","0.234","0.234","0.472","0.472","0.472"
"68","0.246","0.246","0.246","0.476","0.476","0.476"
"72","0.266","0.266","0.266","0.458","0.458","0.458"
"76","0.288","0.288","0.288","0.454","0.454","0.454"
"80","0.278","0.278","0.278","0.418","0.418","0.418"
"84","0.264","0.264","0.264","0.282","0.282","0.282"
"88","0.292","0.292","0.292","0.084","0.084","0.084"
"92","0.3","0.3","0.3","0.072","0.072","0.072"
"96","0.306","0.306","0.306","","",""
"100","0.302","0.302","0.302","","",""
"104","0.306","0.306","0.306","","",""
"108","0.304","0.304","0.304","","",""
"112","0.318","0.318","0.318","","",""
"116","0.312","0.312","0.312","","",""
"120","0.326","0.326","0.326","","",""
"124","0.346","0.346","0.346","","",""
"128","0.328","0.328","0.328","","",""
"132","0.334","0.334","0.334","","",""
"136","0.344","0.344","0.344","","",""
"140","0.322","0.322","0.322","","",""
"144","0.312","0.312","0.312","","",""
"148","0.324","0.324","0.324","","",""
"152","0.344","0.344","0.344","","",""
"156","0.356","0.356","0.356","","",""
"160","0.356","0.356","0.356","","",""
"164","0.348","0.348","0.348","","",""
"168","0.346","0.346","0.346","","",""
"172","0.328","0.328","0.328","","",""
"176","0.336","0.336","0.336","","",""
"180","0.336","0.336","0.336","","",""
"184","0.344","0.344","0.344","","",""
"188","0.352","0.352","0.352","","",""
"192","0.336","0.336","0.336","","",""
"196","0.334","0.334","0.334","","",""
"200","0.354","0.354","0.354","","",""
"204","0.346","0.346","0.346","","",""
"208","0.356","0.356","0.356","","",""
"212","0.338","0.338","0.338","","",""
"216","0.352","0.352","0.352","","",""
"220","0.352","0.352","0.352","","",""
"224","0.35","0.35","0.35","","",""
"228","0.346","0.346","0.346","","",""
"232","0.332","0.332","0.332","","",""
"236","0.336","0.336","0.336","","",""
"240","0.33","0.33","0.33","","",""
"244","0.356","0.356","0.356","","",""
"248","0.36","0.36","0.36","","",""
"252","0.324","0.324","0.324","","",""
"256","0.346","0.346","0.346","","",""
