"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/AMC23","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/AMC23__MAX"
"0","0","0","0","0.05","0.05","0.05"
"4","0.025","0.025","0.025","0.05","0.05","0.05"
"8","0.05","0.05","0.05","0.05","0.05","0.05"
"12","0.05","0.05","0.05","0.025","0.025","0.025"
"16","0.05","0.05","0.05","0.05","0.05","0.05"
"20","0.05","0.05","0.05","0.05","0.05","0.05"
"24","0.025","0.025","0.025","0.05","0.05","0.05"
"28","0.125","0.125","0.125","0.05","0.05","0.05"
"32","0.1","0.1","0.1","0.075","0.075","0.075"
"36","0.1","0.1","0.1","0.125","0.125","0.125"
"40","0.1","0.1","0.1","0.15","0.15","0.15"
"44","0.15","0.15","0.15","0.225","0.225","0.225"
"48","0.15","0.15","0.15","0.225","0.225","0.225"
"52","0.15","0.15","0.15","0.175","0.175","0.175"
"56","0.125","0.125","0.125","0.225","0.225","0.225"
"60","0.125","0.125","0.125","0.2","0.2","0.2"
"64","0.05","0.05","0.05","0.2","0.2","0.2"
"68","0.1","0.1","0.1","0.3","0.3","0.3"
"72","0.125","0.125","0.125","0.225","0.225","0.225"
"76","0.15","0.15","0.15","0.125","0.125","0.125"
"80","0.15","0.15","0.15","0.225","0.225","0.225"
"84","0.075","0.075","0.075","0.15","0.15","0.15"
"88","0.1","0.1","0.1","0.075","0.075","0.075"
"92","0.075","0.075","0.075","0.05","0.05","0.05"
"96","0.1","0.1","0.1","","",""
"100","0.175","0.175","0.175","","",""
"104","0.2","0.2","0.2","","",""
"108","0.15","0.15","0.15","","",""
"112","0.125","0.125","0.125","","",""
"116","0.125","0.125","0.125","","",""
"120","0.1","0.1","0.1","","",""
"124","0.175","0.175","0.175","","",""
"128","0.175","0.175","0.175","","",""
"132","0.175","0.175","0.175","","",""
"136","0.2","0.2","0.2","","",""
"140","0.15","0.15","0.15","","",""
"144","0.175","0.175","0.175","","",""
"148","0.2","0.2","0.2","","",""
"152","0.175","0.175","0.175","","",""
"156","0.15","0.15","0.15","","",""
"160","0.175","0.175","0.175","","",""
"164","0.175","0.175","0.175","","",""
"168","0.175","0.175","0.175","","",""
"172","0.15","0.15","0.15","","",""
"176","0.125","0.125","0.125","","",""
"180","0.125","0.125","0.125","","",""
"184","0.1","0.1","0.1","","",""
"188","0.15","0.15","0.15","","",""
"192","0.05","0.05","0.05","","",""
"196","0.1","0.1","0.1","","",""
"200","0.15","0.15","0.15","","",""
"204","0.15","0.15","0.15","","",""
"208","0.15","0.15","0.15","","",""
"212","0.175","0.175","0.175","","",""
"216","0.125","0.125","0.125","","",""
"220","0.125","0.125","0.125","","",""
"224","0.125","0.125","0.125","","",""
"228","0.125","0.125","0.125","","",""
"232","0.175","0.175","0.175","","",""
"236","0.1","0.1","0.1","","",""
"240","0.075","0.075","0.075","","",""
"244","0.175","0.175","0.175","","",""
"248","0.05","0.05","0.05","","",""
"252","0.075","0.075","0.075","","",""
"256","0.15","0.15","0.15","","",""
