"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/OlympiadBench__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/OlympiadBench","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/OlympiadBench__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/OlympiadBench__MAX"
"0","","","","96.33333333333333","96.33333333333333","96.33333333333333"
"4","","","","197.5","197.5","197.5"
"8","","","","1276.8333333333333","1276.8333333333333","1276.8333333333333"
"12","7","7","7","1501.2","1501.2","1501.2"
"16","8","8","8","1321.0625","1321.0625","1321.0625"
"20","22.142857142857142","22.142857142857142","22.142857142857142","2196.8076923076924","2196.8076923076924","2196.8076923076924"
"24","482.3333333333333","482.3333333333333","482.3333333333333","3819.8260869565215","3819.8260869565215","3819.8260869565215"
"28","746.95","746.95","746.95","3991.283582089552","3991.283582089552","3991.283582089552"
"32","484.22727272727275","484.22727272727275","484.22727272727275","4605.465753424657","4605.465753424657","4605.465753424657"
"36","216.41463414634146","216.41463414634146","216.41463414634146","3848.6555555555556","3848.6555555555556","3848.6555555555556"
"40","103.44680851063829","103.44680851063829","103.44680851063829","4123.2","4123.2","4123.2"
"44","195.13333333333333","195.13333333333333","195.13333333333333","4504.482352941176","4504.482352941176","4504.482352941176"
"48","215.29545454545453","215.29545454545453","215.29545454545453","4338.754901960784","4338.754901960784","4338.754901960784"
"52","36.97560975609756","36.97560975609756","36.97560975609756","3746.5247524752476","3746.5247524752476","3746.5247524752476"
"56","240.76190476190476","240.76190476190476","240.76190476190476","3564.6129032258063","3564.6129032258063","3564.6129032258063"
"60","546.3023255813954","546.3023255813954","546.3023255813954","3665.7672413793102","3665.7672413793102","3665.7672413793102"
"64","565.7021276595744","565.7021276595744","565.7021276595744","3386.9457364341083","3386.9457364341083","3386.9457364341083"
"68","798.7333333333333","798.7333333333333","798.7333333333333","3965.9910714285716","3965.9910714285716","3965.9910714285716"
"72","622.1428571428571","622.1428571428571","622.1428571428571","3614.0446428571427","3614.0446428571427","3614.0446428571427"
"76","528.9183673469388","528.9183673469388","528.9183673469388","4125.457627118644","4125.457627118644","4125.457627118644"
"80","452.8125","452.8125","452.8125","3635.838383838384","3635.838383838384","3635.838383838384"
"84","318.7241379310345","318.7241379310345","318.7241379310345","4880.135135135135","4880.135135135135","4880.135135135135"
"88","283.4925373134328","283.4925373134328","283.4925373134328","5751.976190476191","5751.976190476191","5751.976190476191"
"92","221.41666666666666","221.41666666666666","221.41666666666666","6044.454545454545","6044.454545454545","6044.454545454545"
"96","269.296875","269.296875","269.296875","","",""
"100","272.7142857142857","272.7142857142857","272.7142857142857","","",""
"104","325.55555555555554","325.55555555555554","325.55555555555554","","",""
"108","242.58823529411765","242.58823529411765","242.58823529411765","","",""
"112","420.9344262295082","420.9344262295082","420.9344262295082","","",""
"116","381.8787878787879","381.8787878787879","381.8787878787879","","",""
"120","420.3392857142857","420.3392857142857","420.3392857142857","","",""
"124","332.7704918032787","332.7704918032787","332.7704918032787","","",""
"128","381.7358490566038","381.7358490566038","381.7358490566038","","",""
"132","260.921568627451","260.921568627451","260.921568627451","","",""
"136","382.93220338983053","382.93220338983053","382.93220338983053","","",""
"140","299.5964912280702","299.5964912280702","299.5964912280702","","",""
"144","398.2307692307692","398.2307692307692","398.2307692307692","","",""
"148","322.578125","322.578125","322.578125","","",""
"152","418.04761904761904","418.04761904761904","418.04761904761904","","",""
"156","378.6923076923077","378.6923076923077","378.6923076923077","","",""
"160","315","315","315","","",""
"164","265.05797101449275","265.05797101449275","265.05797101449275","","",""
"168","287.3285714285714","287.3285714285714","287.3285714285714","","",""
"172","304.87142857142857","304.87142857142857","304.87142857142857","","",""
"176","321.61971830985914","321.61971830985914","321.61971830985914","","",""
"180","255.8695652173913","255.8695652173913","255.8695652173913","","",""
"184","384.53521126760563","384.53521126760563","384.53521126760563","","",""
"188","528.25","528.25","528.25","","",""
"192","448.1267605633803","448.1267605633803","448.1267605633803","","",""
"196","377.4923076923077","377.4923076923077","377.4923076923077","","",""
"200","374.94594594594594","374.94594594594594","374.94594594594594","","",""
"204","445.7307692307692","445.7307692307692","445.7307692307692","","",""
"208","319.88732394366195","319.88732394366195","319.88732394366195","","",""
"212","313.07936507936506","313.07936507936506","313.07936507936506","","",""
"216","324.75384615384615","324.75384615384615","324.75384615384615","","",""
"220","404.32758620689657","404.32758620689657","404.32758620689657","","",""
"224","415.1212121212121","415.1212121212121","415.1212121212121","","",""
"228","313","313","313","","",""
"232","304.71232876712327","304.71232876712327","304.71232876712327","","",""
"236","422.64102564102564","422.64102564102564","422.64102564102564","","",""
"240","387.0921052631579","387.0921052631579","387.0921052631579","","",""
"244","361.125","361.125","361.125","","",""
"248","405.4594594594595","405.4594594594595","405.4594594594595","","",""
"252","357.97222222222223","357.97222222222223","357.97222222222223","","",""
"256","429.9166666666667","429.9166666666667","429.9166666666667","","",""
