"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/MATH500__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/MATH500__MAX"
"0","5","5","5","","",""
"4","51.5","51.5","51.5","335","335","335"
"8","51.5","51.5","51.5","295.5","295.5","295.5"
"12","28.25","28.25","28.25","2830.5","2830.5","2830.5"
"16","80.5","80.5","80.5","1583.2222222222222","1583.2222222222222","1583.2222222222222"
"20","51.375","51.375","51.375","3004.222222222222","3004.222222222222","3004.222222222222"
"24","89.18181818181819","89.18181818181819","89.18181818181819","1891.909090909091","1891.909090909091","1891.909090909091"
"28","410.02941176470586","410.02941176470586","410.02941176470586","2850.3766233766232","2850.3766233766232","2850.3766233766232"
"32","556.1632653061224","556.1632653061224","556.1632653061224","2881.75","2881.75","2881.75"
"36","407.84375","407.84375","407.84375","2598.019108280255","2598.019108280255","2598.019108280255"
"40","142.86075949367088","142.86075949367088","142.86075949367088","2403.6021505376343","2403.6021505376343","2403.6021505376343"
"44","287.8888888888889","287.8888888888889","287.8888888888889","2417.1127450980393","2417.1127450980393","2417.1127450980393"
"48","264.80392156862746","264.80392156862746","264.80392156862746","2303.5584415584417","2303.5584415584417","2303.5584415584417"
"52","452.6296296296296","452.6296296296296","452.6296296296296","2161.769230769231","2161.769230769231","2161.769230769231"
"56","507.15315315315314","507.15315315315314","507.15315315315314","2048.7356828193833","2048.7356828193833","2048.7356828193833"
"60","555.5952380952381","555.5952380952381","555.5952380952381","2225.244635193133","2225.244635193133","2225.244635193133"
"64","527.042735042735","527.042735042735","527.042735042735","2270.6101694915255","2270.6101694915255","2270.6101694915255"
"68","763.9430894308944","763.9430894308944","763.9430894308944","2370.81512605042","2370.81512605042","2370.81512605042"
"72","538.1127819548872","538.1127819548872","538.1127819548872","2264.4192139737993","2264.4192139737993","2264.4192139737993"
"76","455.9861111111111","455.9861111111111","455.9861111111111","2115.1057268722466","2115.1057268722466","2115.1057268722466"
"80","371","371","371","2136.0191387559807","2136.0191387559807","2136.0191387559807"
"84","248.02272727272728","248.02272727272728","248.02272727272728","2485.0921985815603","2485.0921985815603","2485.0921985815603"
"88","279.041095890411","279.041095890411","279.041095890411","3054.904761904762","3054.904761904762","3054.904761904762"
"92","299.7866666666667","299.7866666666667","299.7866666666667","4453.888888888889","4453.888888888889","4453.888888888889"
"96","230.98692810457516","230.98692810457516","230.98692810457516","","",""
"100","232.56953642384107","232.56953642384107","232.56953642384107","","",""
"104","292.9934640522876","292.9934640522876","292.9934640522876","","",""
"108","230.7565789473684","230.7565789473684","230.7565789473684","","",""
"112","282.9937106918239","282.9937106918239","282.9937106918239","","",""
"116","223.71153846153845","223.71153846153845","223.71153846153845","","",""
"120","230.7361963190184","230.7361963190184","230.7361963190184","","",""
"124","272.4971098265896","272.4971098265896","272.4971098265896","","",""
"128","245.46341463414635","245.46341463414635","245.46341463414635","","",""
"132","227.4251497005988","227.4251497005988","227.4251497005988","","",""
"136","284.13953488372096","284.13953488372096","284.13953488372096","","",""
"140","257.9875776397516","257.9875776397516","257.9875776397516","","",""
"144","279.20512820512823","279.20512820512823","279.20512820512823","","",""
"148","248.30864197530863","248.30864197530863","248.30864197530863","","",""
"152","242.5174418604651","242.5174418604651","242.5174418604651","","",""
"156","255.36516853932585","255.36516853932585","255.36516853932585","","",""
"160","214.06179775280899","214.06179775280899","214.06179775280899","","",""
"164","222.8448275862069","222.8448275862069","222.8448275862069","","",""
"168","242.34682080924856","242.34682080924856","242.34682080924856","","",""
"172","226.96951219512195","226.96951219512195","226.96951219512195","","",""
"176","259.7559523809524","259.7559523809524","259.7559523809524","","",""
"180","254.10714285714286","254.10714285714286","254.10714285714286","","",""
"184","239.31976744186048","239.31976744186048","239.31976744186048","","",""
"188","332.4375","332.4375","332.4375","","",""
"192","252.33333333333334","252.33333333333334","252.33333333333334","","",""
"196","231.47904191616766","231.47904191616766","231.47904191616766","","",""
"200","243.9774011299435","243.9774011299435","243.9774011299435","","",""
"204","253.84393063583815","253.84393063583815","253.84393063583815","","",""
"208","276.73595505617976","276.73595505617976","276.73595505617976","","",""
"212","212.7041420118343","212.7041420118343","212.7041420118343","","",""
"216","228.26704545454547","228.26704545454547","228.26704545454547","","",""
"220","261.64204545454544","261.64204545454544","261.64204545454544","","",""
"224","280.16","280.16","280.16","","",""
"228","278.60115606936415","278.60115606936415","278.60115606936415","","",""
"232","317.32530120481925","317.32530120481925","317.32530120481925","","",""
"236","216.20833333333334","216.20833333333334","216.20833333333334","","",""
"240","246.1878787878788","246.1878787878788","246.1878787878788","","",""
"244","285.5674157303371","285.5674157303371","285.5674157303371","","",""
"248","311.4888888888889","311.4888888888889","311.4888888888889","","",""
"252","284.14814814814815","284.14814814814815","284.14814814814815","","",""
"256","324.4393063583815","324.4393063583815","324.4393063583815","","",""
