"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/GSM8k__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/GSM8k__MAX"
"0","","","","370","370","370"
"8","","","","159","159","159"
"20","","","","1404","1404","1404"
"24","","","","580","580","580"
"28","","","","1168.5333333333333","1168.5333333333333","1168.5333333333333"
"32","108","108","108","1134.179487179487","1134.179487179487","1134.179487179487"
"36","534.05","534.05","534.05","974.9213197969543","974.9213197969543","974.9213197969543"
"40","182.05084745762713","182.05084745762713","182.05084745762713","909.8613569321534","909.8613569321534","909.8613569321534"
"44","285.6525423728813","285.6525423728813","285.6525423728813","945.793491864831","945.793491864831","945.793491864831"
"48","174.21243523316062","174.21243523316062","174.21243523316062","1006.6527149321267","1006.6527149321267","1006.6527149321267"
"52","227.27246376811595","227.27246376811595","227.27246376811595","982.2084233261339","982.2084233261339","982.2084233261339"
"56","241.01202404809618","241.01202404809618","241.01202404809618","955.3371488033299","955.3371488033299","955.3371488033299"
"60","249.82363315696648","249.82363315696648","249.82363315696648","1044.094680851064","1044.094680851064","1044.094680851064"
"64","298.25728155339806","298.25728155339806","298.25728155339806","1036.160083160083","1036.160083160083","1036.160083160083"
"68","351.19174041297936","351.19174041297936","351.19174041297936","1052.0976890756303","1052.0976890756303","1052.0976890756303"
"72","288.72578444747614","288.72578444747614","288.72578444747614","1029.634069400631","1029.634069400631","1029.634069400631"
"76","187.1718120805369","187.1718120805369","187.1718120805369","1112.9926854754442","1112.9926854754442","1112.9926854754442"
"80","165.73257287705957","165.73257287705957","165.73257287705957","1057.457627118644","1057.457627118644","1057.457627118644"
"84","135.59948979591837","135.59948979591837","135.59948979591837","1107.6222547584186","1107.6222547584186","1107.6222547584186"
"88","143.76381909547737","143.76381909547737","143.76381909547737","979.1491228070175","979.1491228070175","979.1491228070175"
"92","142.96139476961395","142.96139476961395","142.96139476961395","1199.0142857142857","1199.0142857142857","1199.0142857142857"
"96","145.389486260454","145.389486260454","145.389486260454","","",""
"100","159.23424494649228","159.23424494649228","159.23424494649228","","",""
"104","171.2794292508918","171.2794292508918","171.2794292508918","","",""
"108","160.53623188405797","160.53623188405797","160.53623188405797","","",""
"112","144.17995169082127","144.17995169082127","144.17995169082127","","",""
"116","150.49940546967895","150.49940546967895","150.49940546967895","","",""
"120","146.03533568904592","146.03533568904592","146.03533568904592","","",""
"124","144.78307508939213","144.78307508939213","144.78307508939213","","",""
"128","147.93509615384616","147.93509615384616","147.93509615384616","","",""
"132","147.70760233918128","147.70760233918128","147.70760233918128","","",""
"136","141.55516014234877","141.55516014234877","141.55516014234877","","",""
"140","138.698224852071","138.698224852071","138.698224852071","","",""
"144","150.9266589057043","150.9266589057043","150.9266589057043","","",""
"148","152.5143184421535","152.5143184421535","152.5143184421535","","",""
"152","144.25514874141876","144.25514874141876","144.25514874141876","","",""
"156","146.52981651376146","146.52981651376146","146.52981651376146","","",""
"160","147.86651583710406","147.86651583710406","147.86651583710406","","",""
"164","154.2541993281075","154.2541993281075","154.2541993281075","","",""
"168","153.9362912400455","153.9362912400455","153.9362912400455","","",""
"172","165.98637911464246","165.98637911464246","165.98637911464246","","",""
"176","160.6211251435132","160.6211251435132","160.6211251435132","","",""
"180","149.5752625437573","149.5752625437573","149.5752625437573","","",""
"184","150.72280701754386","150.72280701754386","150.72280701754386","","",""
"188","161.40500568828213","161.40500568828213","161.40500568828213","","",""
"192","153.71774193548387","153.71774193548387","153.71774193548387","","",""
"196","149.94171428571428","149.94171428571428","149.94171428571428","","",""
"200","147.9738041002278","147.9738041002278","147.9738041002278","","",""
"204","146.74161073825502","146.74161073825502","146.74161073825502","","",""
"208","152.84396355353076","152.84396355353076","152.84396355353076","","",""
"212","145.4067415730337","145.4067415730337","145.4067415730337","","",""
"216","146.84375","146.84375","146.84375","","",""
"220","143.65750286368842","143.65750286368842","143.65750286368842","","",""
"224","145.7232346241458","145.7232346241458","145.7232346241458","","",""
"228","159.54370034052212","159.54370034052212","159.54370034052212","","",""
"232","151.72480181200453","151.72480181200453","151.72480181200453","","",""
"236","149.24067796610169","149.24067796610169","149.24067796610169","","",""
"240","151.97058823529412","151.97058823529412","151.97058823529412","","",""
"244","145.87721238938053","145.87721238938053","145.87721238938053","","",""
"248","153.20575221238937","153.20575221238937","153.20575221238937","","",""
"252","155.74690663667042","155.74690663667042","155.74690663667042","","",""
"256","149.28932261768082","149.28932261768082","149.28932261768082","","",""
