"Step","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_mmwebpro.synqa.91_math.8k_0411_2017 - val_response_length/test_length_correct/AMC23__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val_response_length/test_length_correct/AMC23__MAX"
"0","","","","5","5","5"
"4","5","5","5","5","5","5"
"8","6","6","6","5","5","5"
"12","6","6","6","5","5","5"
"16","6","6","6","5","5","5"
"20","6","6","6","5","5","5"
"24","7","7","7","1198","1198","1198"
"28","62","62","62","4098.5","4098.5","4098.5"
"32","37.25","37.25","37.25","2733","2733","2733"
"36","33","33","33","2015.4","2015.4","2015.4"
"40","39","39","39","1794.8333333333333","1794.8333333333333","1794.8333333333333"
"44","75.33333333333333","75.33333333333333","75.33333333333333","2126.5555555555557","2126.5555555555557","2126.5555555555557"
"48","760.5","760.5","760.5","3120.3333333333335","3120.3333333333335","3120.3333333333335"
"52","1457.5","1457.5","1457.5","2727.714285714286","2727.714285714286","2727.714285714286"
"56","897","897","897","3044.6666666666665","3044.6666666666665","3044.6666666666665"
"60","237.2","237.2","237.2","3280.375","3280.375","3280.375"
"64","268.5","268.5","268.5","2900.5","2900.5","2900.5"
"68","1214.25","1214.25","1214.25","4743","4743","4743"
"72","1069.2","1069.2","1069.2","3417","3417","3417"
"76","916.5","916.5","916.5","2652.4","2652.4","2652.4"
"80","932","932","932","2636.6666666666665","2636.6666666666665","2636.6666666666665"
"84","299","299","299","4116.666666666667","4116.666666666667","4116.666666666667"
"88","391.5","391.5","391.5","2447","2447","2447"
"92","335.6666666666667","335.6666666666667","335.6666666666667","3259","3259","3259"
"96","1212.5","1212.5","1212.5","","",""
"100","310.42857142857144","310.42857142857144","310.42857142857144","","",""
"104","342.75","342.75","342.75","","",""
"108","523.8333333333334","523.8333333333334","523.8333333333334","","",""
"112","380.8","380.8","380.8","","",""
"116","390.2","390.2","390.2","","",""
"120","216.75","216.75","216.75","","",""
"124","937.5714285714286","937.5714285714286","937.5714285714286","","",""
"128","325.57142857142856","325.57142857142856","325.57142857142856","","",""
"132","312.7142857142857","312.7142857142857","312.7142857142857","","",""
"136","185","185","185","","",""
"140","198.83333333333334","198.83333333333334","198.83333333333334","","",""
"144","241.14285714285714","241.14285714285714","241.14285714285714","","",""
"148","365.5","365.5","365.5","","",""
"152","878.7142857142857","878.7142857142857","878.7142857142857","","",""
"156","840.5","840.5","840.5","","",""
"160","321.2857142857143","321.2857142857143","321.2857142857143","","",""
"164","262.57142857142856","262.57142857142856","262.57142857142856","","",""
"168","222","222","222","","",""
"172","424.6666666666667","424.6666666666667","424.6666666666667","","",""
"176","307","307","307","","",""
"180","368.6","368.6","368.6","","",""
"184","404.5","404.5","404.5","","",""
"188","593","593","593","","",""
"192","225","225","225","","",""
"196","384.75","384.75","384.75","","",""
"200","633","633","633","","",""
"204","198.16666666666666","198.16666666666666","198.16666666666666","","",""
"208","308.1666666666667","308.1666666666667","308.1666666666667","","",""
"212","429","429","429","","",""
"216","267","267","267","","",""
"220","290.8","290.8","290.8","","",""
"224","537","537","537","","",""
"228","301","301","301","","",""
"232","296.57142857142856","296.57142857142856","296.57142857142856","","",""
"236","403.75","403.75","403.75","","",""
"240","318.6666666666667","318.6666666666667","318.6666666666667","","",""
"244","574","574","574","","",""
"248","446.5","446.5","446.5","","",""
"252","304.3333333333333","304.3333333333333","304.3333333333333","","",""
"256","421.8333333333333","421.8333333333333","421.8333333333333","","",""
