"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/AMC23__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/AMC23","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/AMC23__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/AMC23__MAX"
"0","0","0","0","0.05","0.05","0.05"
"4","0","0","0","0.05","0.05","0.05"
"8","0","0","0","0.05","0.05","0.05"
"12","0","0","0","0.025","0.025","0.025"
"16","0","0","0","0.05","0.05","0.05"
"20","0","0","0","0.05","0.05","0.05"
"24","0.025","0.025","0.025","0.05","0.05","0.05"
"28","0.05","0.05","0.05","0.05","0.05","0.05"
"32","0.05","0.05","0.05","0.075","0.075","0.075"
"36","0.125","0.125","0.125","0.125","0.125","0.125"
"40","0.225","0.225","0.225","0.15","0.15","0.15"
"44","0.225","0.225","0.225","0.225","0.225","0.225"
"48","0.125","0.125","0.125","0.225","0.225","0.225"
"52","0.2","0.2","0.2","0.175","0.175","0.175"
"56","0.175","0.175","0.175","0.225","0.225","0.225"
"60","0.225","0.225","0.225","0.2","0.2","0.2"
"64","0.2","0.2","0.2","0.2","0.2","0.2"
"68","0.275","0.275","0.275","0.3","0.3","0.3"
"72","0.325","0.325","0.325","0.225","0.225","0.225"
"76","0.35","0.35","0.35","0.125","0.125","0.125"
"80","0.3","0.3","0.3","0.225","0.225","0.225"
"84","0.25","0.25","0.25","0.15","0.15","0.15"
"88","0.275","0.275","0.275","0.075","0.075","0.075"
"92","0.25","0.25","0.25","0.05","0.05","0.05"
"96","0.2","0.2","0.2","","",""
"100","0","0","0","","",""
