"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/GSM8k__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/GSM8k__MAX"
"0","0","0","0","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"4","0","0","0","0","0","0"
"8","0","0","0","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"12","0","0","0","0","0","0"
"16","0","0","0","0","0","0"
"20","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"24","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.000758150113722517"
"28","0.000758150113722517","0.000758150113722517","0.000758150113722517","0.011372251705837756","0.011372251705837756","0.011372251705837756"
"32","0.016679302501895376","0.016679302501895376","0.016679302501895376","0.0887035633055345","0.0887035633055345","0.0887035633055345"
"36","0.17437452615617893","0.17437452615617893","0.17437452615617893","0.2987111448066717","0.2987111448066717","0.2987111448066717"
"40","0.41546626231993933","0.41546626231993933","0.41546626231993933","0.5140257771038665","0.5140257771038665","0.5140257771038665"
"44","0.5140257771038665","0.5140257771038665","0.5140257771038665","0.6057619408642911","0.6057619408642911","0.6057619408642911"
"48","0.5822592873388931","0.5822592873388931","0.5822592873388931","0.6702047005307051","0.6702047005307051","0.6702047005307051"
"52","0.6315390447308568","0.6315390447308568","0.6315390447308568","0.7020470053070508","0.7020470053070508","0.7020470053070508"
"56","0.645185746777862","0.645185746777862","0.645185746777862","0.7285822592873389","0.7285822592873389","0.7285822592873389"
"60","0.6846095526914329","0.6846095526914329","0.6846095526914329","0.7126611068991661","0.7126611068991661","0.7126611068991661"
"64","0.7225170583775588","0.7225170583775588","0.7225170583775588","0.7293404094010614","0.7293404094010614","0.7293404094010614"
"68","0.7391963608794542","0.7391963608794542","0.7391963608794542","0.7217589082638363","0.7217589082638363","0.7217589082638363"
"72","0.7490523123578469","0.7490523123578469","0.7490523123578469","0.7210007581501138","0.7210007581501138","0.7210007581501138"
"76","0.7528430629264594","0.7528430629264594","0.7528430629264594","0.7255496588324488","0.7255496588324488","0.7255496588324488"
"80","0.7429871114480667","0.7429871114480667","0.7429871114480667","0.7156937073540561","0.7156937073540561","0.7156937073540561"
"84","0.7384382107657316","0.7384382107657316","0.7384382107657316","0.5178165276724791","0.5178165276724791","0.5178165276724791"
"88","0.7475360121304018","0.7475360121304018","0.7475360121304018","0.08642911296436695","0.08642911296436695","0.08642911296436695"
"92","0.6959818043972706","0.6959818043972706","0.6959818043972706","0.05307050796057619","0.05307050796057619","0.05307050796057619"
"96","0.3570887035633055","0.3570887035633055","0.3570887035633055","","",""
"100","0","0","0","","",""
