"Step","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.ins.89101_cpt8k_rl8k_math.8k_0411_2035 - val/test_score/MATH500__MAX","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/MATH500","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/MATH500__MIN","rl.grpo_llama.3b_analysis_mmwebpro.openr1.91_math.8k_0411_2030 - val/test_score/MATH500__MAX"
"0","0.002","0.002","0.002","0","0","0"
"4","0.004","0.004","0.004","0.002","0.002","0.002"
"8","0.004","0.004","0.004","0.004","0.004","0.004"
"12","0.006","0.006","0.006","0.008","0.008","0.008"
"16","0.01","0.01","0.01","0.018","0.018","0.018"
"20","0.028","0.028","0.028","0.036","0.036","0.036"
"24","0.05","0.05","0.05","0.066","0.066","0.066"
"28","0.102","0.102","0.102","0.154","0.154","0.154"
"32","0.168","0.168","0.168","0.24","0.24","0.24"
"36","0.308","0.308","0.308","0.314","0.314","0.314"
"40","0.356","0.356","0.356","0.372","0.372","0.372"
"44","0.368","0.368","0.368","0.408","0.408","0.408"
"48","0.416","0.416","0.416","0.462","0.462","0.462"
"52","0.43","0.43","0.43","0.468","0.468","0.468"
"56","0.446","0.446","0.446","0.454","0.454","0.454"
"60","0.468","0.468","0.468","0.466","0.466","0.466"
"64","0.472","0.472","0.472","0.472","0.472","0.472"
"68","0.494","0.494","0.494","0.476","0.476","0.476"
"72","0.488","0.488","0.488","0.458","0.458","0.458"
"76","0.506","0.506","0.506","0.454","0.454","0.454"
"80","0.486","0.486","0.486","0.418","0.418","0.418"
"84","0.468","0.468","0.468","0.282","0.282","0.282"
"88","0.442","0.442","0.442","0.084","0.084","0.084"
"92","0.374","0.374","0.374","0.072","0.072","0.072"
"96","0.232","0.232","0.232","","",""
"100","0","0","0","","",""
